arm	run	subrun	evt	shower	n_mem	n_mu	n_oth	L_mu_cm	L_oth_cm	L_chain_cm	L_unchained_cm	dQ_frac_oth	kine_range	kine_dQdx	kine_charge	kine_best	best_is	fallback_why	dqdx_all_MeV	dqdx_chain_MeV	dqdx_shift_MeV	total_length_cm	ratio_dqdx_range	n_deg3_internal	min_arm_cm	start_pdg
mcp2k	18255	1	395597	20001	1	1	0	142.9	0	142.9	0	0	342.9	329.6	251.3	342.9	range		329.6	329.6	0	142.9	0.9611	0	-1	13
mcp2k	18255	1	395597	20002	1	1	0	113.4	0	113.4	1.421e-14	0	279.8	252.4	185.5	279.8	range		252.4	252.4	0	113.4	0.902	0	-1	13
mcp2k	18255	1	395695	11016	2	2	0	103.2	0	103.2	1.421e-14	0	258.2	254.2	194.2	258.2	range		254.2	254.2	0	103.2	0.9843	0	-1	13
mcp2k	18255	1	395695	59035	6	2	4	41.85	37.61	0	41.85	0.4572	0	241.7	190.8	190.8	charge	range_zero	241.7	129.9	111.8	79.46	-1	0	-1	13
mcp2k	18255	1	395837	74005	1	1	0	2.149	0	2.149	0	0	18.83	19.43	12.9	19.43	dQdx	end_degree_or_override	19.43	19.43	0	2.149	1.032	0	-1	13
mcp2k	18255	1	396323	10009	2	2	0	54.71	0	54.71	0	0	154.5	105.2	130.4	105.2	dQdx	ratio_outside	105.2	105.2	0	54.71	0.6811	0	-1	13
mcp2k	18255	1	396761	15002	3	2	1	157.9	7.708	157.9	0	0.04606	375.2	370.9	263.6	375.2	range		370.9	353.5	17.4	165.6	0.9886	1	7.708	13
mcp2k	18255	1	396829	17008	4	2	2	125.4	4.609	125.4	0	0.02853	305.5	299.5	230.8	299.5	dQdx	end_degree_or_override	299.5	289.7	9.869	130.1	0.9804	1	3.149	13
mcp2k	18255	1	397401	16012	5	2	3	138.8	20.82	138.8	0	0.1311	334.1	382.4	275.1	382.4	dQdx	end_degree_or_override	382.4	330.6	51.78	159.7	1.144	1	2.705	13
mcp2k	18255	1	397476	18002	3	2	1	238.7	3.905	238.7	0	0.02086	552.4	541.1	401.9	552.4	range		541.1	529.8	11.29	242.6	0.9795	1	3.905	13
mcp2k	18255	1	398181	9000	1	1	0	137.7	0	137.7	0	0	331.8	330.1	239.2	331.8	range		330.1	330.1	0	137.7	0.9949	0	-1	13
mcp2k	18255	1	400117	15004	4	2	2	301.6	3.037	301.6	5.684e-14	0.01292	694.5	695.1	497.4	694.5	range		695.1	685.7	9.422	304.6	1.001	1	2.53	13
mcp2k	18255	1	400239	5002	3	2	1	191.1	1.837	191.1	2.842e-14	0.01542	447.2	431	301.7	447.2	range		431	424.3	6.679	192.9	0.9637	1	1.837	13
mcp2k	18255	1	402297	25010	1	1	0	103.4	0	103.4	1.421e-14	0	258.6	212.3	159.9	258.6	range		212.3	212.3	0	103.4	0.821	0	-1	13
mcp2k	18255	1	406147	22008	7	5	2	367.1	11.66	356	11.07	0.01892	820.3	837.3	628.8	820.3	range		837.3	816.9	20.32	378.7	1.021	2	2.708	13
mcp2k	18255	1	406631	18005	2	2	0	85.29	0	85.29	0	0	220.1	190	185.1	220.1	range		190	190	0	85.29	0.863	0	-1	13
mcp2k	18255	1	407886	26005	1	1	0	69.46	0	69.46	0	0	186.3	186.7	130.5	186.3	range		186.7	186.7	0	69.46	1.002	0	-1	13
mcp2k	18255	1	409624	81010	1	1	0	25.71	0	25.71	0	0	88.86	72.97	48.26	88.86	range		72.97	72.97	0	25.71	0.8212	0	-1	13
mcp2k	18255	1	410680	19019	1	1	0	4.744	0	4.744	0	0	30.06	32.53	20.74	30.06	range		32.53	32.53	0	4.744	1.082	0	-1	13
mcp2k	18255	1	412612	10002	3	2	1	151.4	2.914	151.4	0	0.02471	361.1	317.5	250.7	361.1	range		317.5	309.4	8.126	154.3	0.8793	1	2.914	13
mcp2k	18255	1	414024	26001	1	1	0	162.5	0	162.5	0	0	385.1	376.9	291.3	385.1	range		376.9	376.9	0	162.5	0.9787	0	-1	13
mcp2k	18255	1	473952	24003	1	1	0	24.66	0	24.66	0	0	86.31	51.89	40.72	86.31	range		51.89	51.89	0	24.66	0.6012	0	-1	13
mcp2k	18255	1	478880	14000	1	1	0	143.6	0	143.6	0	0	344.4	352.7	211.4	344.4	range		352.7	352.7	0	143.6	1.024	0	-1	13
mcp2k	18255	1	480772	10012	3	2	1	112.6	8.009	112.6	0	0.07307	278.1	340.2	254.3	278.1	range		340.2	318.3	21.94	120.6	1.223	1	8.009	13
mcp2k	18255	1	493659	29001	1	1	0	35.75	0	35.75	0	0	112.3	90.27	65.01	112.3	range		90.27	90.27	0	35.75	0.804	0	-1	13
mcp2k	18255	1	495199	18000	1	1	0	125.3	0	125.3	1.421e-14	0	305.2	287.6	211.2	305.2	range		287.6	287.6	0	125.3	0.9423	0	-1	13
mcp2k	18255	1	497311	15000	2	1	1	332.8	0.946	0	332.8	0.002731	0	722.9	508.5	508.5	charge	range_zero	722.9	720.6	2.314	333.8	-1	0	-1	13
mcp2k	18255	1	497311	19007	1	1	0	170.1	0	170.1	0	0	401.6	386.6	282.5	401.6	range		386.6	386.6	0	170.1	0.9627	0	-1	13
mcp2k	18255	1	499577	13031	6	5	1	324.4	17.06	294.7	29.74	0.04366	678.6	700.3	554.5	678.6	range		700.3	668.1	32.24	341.5	1.032	1	17.06	13
mcp2k	18255	1	502019	9013	5	3	2	78.48	18.96	74.22	4.262	0.1363	196.5	218.9	125.8	218.9	dQdx	end_degree_or_override	218.9	185.4	33.57	97.44	1.114	1	14.4	13
mcp2k	18255	1	51722	23008	2	1	1	5.98	5.096	11.08	0	0.219	50.79	43.85	25.67	50.79	range		43.85	32.89	10.96	11.08	0.8633	0	-1	13
mcp2k	18255	1	51964	7005	3	3	0	206.1	0	202.7	3.402	0	472.6	473.3	331.5	472.6	range		473.3	473.3	0	206.1	1.002	0	-1	13
mcp2k	18255	1	52121	11005	3	2	1	63.67	1.927	63.67	7.105e-15	0.04492	173.9	151.9	122.3	173.9	range		151.9	145.2	6.659	65.6	0.8731	1	1.927	13
mcp2k	18259	1	52338	1001	1	1	0	271	0	271	0	0	624.8	618.9	435.3	624.8	range		618.9	618.9	0	271	0.9906	0	-1	13
mcp2k	18259	1	52338	1002	1	1	0	41.19	0	41.19	0	0	124.6	115.4	81.77	124.6	range		115.4	115.4	0	41.19	0.9264	0	-1	13
mcp2k	18255	1	53793	37026	3	2	1	154.1	8.215	154.1	2.842e-14	0.04568	367	385.1	303.3	367	range		385.1	367	18.12	162.3	1.049	1	8.215	13
mcp2k	18255	1	53793	12002	3	2	1	240.9	0.7941	0	240.9	0.006798	0	527.8	391	391	charge	range_zero	527.8	524.3	3.5	241.7	-1	0	-1	13
mcp2k	18255	1	54629	15005	9	2	7	125.4	32.04	125.4	0	0.2838	305.5	397.4	285.8	397.4	dQdx	end_degree_or_override	397.4	273.8	123.6	157.5	1.301	1	3.828	13
mcp2k	18255	1	54629	20017	1	1	0	113	0	113	1.421e-14	0	279	237.3	181.3	279	range		237.3	237.3	0	113	0.8503	0	-1	13
mcp2k	18255	1	55220	17001	1	1	0	29.85	0	2.756e-06	29.85	0	0.001	66.92	52.61	66.92	dQdx	ratio_outside	66.92	66.92	0	29.85	6.692e+04	0	-1	13
mcp2k	18255	1	55278	13000	2	1	1	131.4	0.6319	0	131.4	0.006953	0	268.3	181.4	181.4	charge	range_zero	268.3	266.2	2.047	132	-1	0	-1	13
mcp2k	18255	1	55542	5008	6	4	2	260.8	5.55	255.3	5.495	0.01145	589.4	597.2	439.1	597.2	dQdx	end_degree_or_override	597.2	587.8	9.454	266.3	1.013	2	2.142	13
mcp2k	18255	1	55740	17000	2	1	1	168	9.907	178	0	0.1781	418.6	508.8	317.6	418.6	range		508.8	368.1	140.7	178	1.216	0	-1	13
mcp2k	18255	1	66366	22006	5	4	1	300.6	6.849	126.2	174.4	0.01629	307	656	503.9	656	dQdx	ratio_outside	656	643.8	12.18	307.4	2.136	1	6.849	13
mcp2k	18255	1	66652	22002	3	2	1	253.3	5.362	253.3	0	0.01904	584.9	603.4	439.8	584.9	range		603.4	591	12.46	258.6	1.032	1	5.362	13
mcp2k	18255	1	66872	50019	5	3	2	14.49	26.38	0	14.49	0.6503	0	194.7	113.5	113.5	charge	range_zero	194.7	54.79	139.9	40.87	-1	0	-1	13
mcp2k	18255	1	67026	35011	2	2	0	67.28	0	67.28	1.421e-14	0	181.7	154.8	109.4	181.7	range		154.8	154.8	0	67.28	0.8519	0	-1	13
mcp2k	18255	1	68748	13002	3	2	1	385.6	4.702	385.6	0	0.0123	889.8	903.7	660.4	889.8	range		903.7	892.1	11.67	390.3	1.016	1	4.702	13
mcp2k	18255	1	70766	27002	2	1	1	222.7	13.7	236.4	0	0.01756	547.3	514.2	409.4	547.3	range		514.2	500.9	13.31	236.4	0.9395	0	-1	13
mcp2k	18255	1	71748	72020	1	1	0	24.73	0	24.73	0	0	86.5	78.7	53.53	86.5	range		78.7	78.7	0	24.73	0.9099	0	-1	13
mcp2k	18255	1	72055	14003	3	2	1	245.2	8.894	245.2	0	0.02666	566.8	617.9	448.5	566.8	range		617.9	600.2	17.73	254.1	1.09	1	8.894	13
mcp2k	18255	1	72174	5004	3	2	1	168.4	2.005	168.4	0	0.01725	397.8	387.1	279.9	397.8	range		387.1	380.7	6.476	170.4	0.9733	1	2.005	13
mcp2k	18255	1	72275	15025	8	4	4	312.1	16.84	312.1	5.684e-14	0.04944	718.5	775.1	550.1	775.1	dQdx	end_degree_or_override	775.1	735.4	39.71	328.9	1.079	3	3.771	13
mcp2k	18255	1	74336	22002	4	4	0	108.1	0	0	108.1	0	0	255.7	195.6	195.6	charge	range_zero	255.7	255.7	0	108.1	-1	0	-1	13
mcp2k	18255	1	74784	8004	4	3	1	291.3	72.18	29.93	261.3	0.0164	98.85	717.8	498.5	717.8	dQdx	ratio_outside	717.8	668.3	49.5	363.4	7.262	0	-1	13
mcp2k	18255	1	75206	68031	1	1	0	45.45	0	45.45	0	0	134.1	107	40.63	134.1	range		107	107	0	45.45	0.7982	0	-1	13
mcp2k	18255	1	75554	51036	10	7	3	122.4	9.395	0	122.4	0.103	0	284.3	139.1	139.1	charge	range_zero	284.3	255.6	28.7	131.8	-1	0	-1	13
mcp2k	18255	1	75554	32011	1	1	0	91.3	0	91.3	0	0	232.9	195.2	72.94	232.9	range		195.2	195.2	0	91.3	0.838	0	-1	13
mcp2k	18255	1	75729	26004	1	1	0	181.6	0	181.6	0	0	426.6	282	23.57	426.6	range		282	282	0	181.6	0.6612	0	-1	13
mcp2k	18255	1	75795	14021	1	1	0	40.15	0	40.15	0	0	122.2	139.7	92.29	122.2	range		139.7	139.7	0	40.15	1.143	0	-1	13
mcp2k	18255	1	76170	23002	3	2	1	393.1	4.825	393.1	0	0.0168	907.4	887.6	647.4	907.4	range		887.6	873.3	14.3	397.9	0.9782	1	4.825	13
mcp2k	18255	1	76998	17003	2	2	0	201	0	201	2.842e-14	0	468.9	465.3	325.4	468.9	range		465.3	465.3	0	201	0.9925	0	-1	13
mcp2k	18255	1	77328	16017	3	2	1	324.2	7.122	324.2	0	0.02719	746.4	743	529.2	746.4	range		743	723.3	19.7	331.3	0.9954	1	7.122	13
mcp2k	18255	1	77978	15000	2	2	0	140.4	0	0	140.4	0	0	309.4	219.2	219.2	charge	range_zero	309.4	309.4	0	140.4	-1	0	-1	13
mcp2k	18255	1	78032	18007	3	2	1	435.6	4.712	435.6	0	0.009697	1007	1000	745.6	1007	range		1000	989.8	10.5	440.3	0.9929	1	4.712	13
mcp2k	18255	1	78242	17007	6	5	1	325	7.144	315.5	9.515	0.02267	726.4	747.4	564.5	726.4	range		747.4	730.1	17.29	332.2	1.029	1	7.144	13
mcp2k	18255	1	79616	18002	3	2	1	344.6	13.9	344.6	0	0.03662	793.6	856.7	621.8	793.6	range		856.7	825.2	31.46	358.5	1.079	1	13.9	13
mcp2k	18255	1	82322	11002	3	3	0	335.2	0	330.8	4.371	0	761.6	880.2	563.6	761.6	range		880.2	880.2	0	335.2	1.156	0	-1	13
mcp2k	18255	1	91367	7003	1	1	0	316.9	0	316.9	0	0	729.5	720.4	510.7	729.5	range		720.4	720.4	0	316.9	0.9875	0	-1	13
mcp2k	18255	1	92159	4022	1	1	0	179.3	0	179.3	0	0	421.5	406.6	296.4	421.5	range		406.6	406.6	0	179.3	0.9648	0	-1	13
mcp2k	18255	1	93776	9002	3	2	1	160.3	4.641	160.3	0	0.01876	380.4	359.1	246.4	380.4	range		359.1	351.5	7.575	165	0.944	1	4.641	13
mcp2k	18255	1	94942	10008	3	2	1	128.8	3.302	128.8	0	0.02836	312.6	298.2	235	312.6	range		298.2	289.5	8.666	132.1	0.9539	1	3.302	13
mcp2k	18259	1	95405	17014	3	3	0	104.9	0	91.86	13.02	0	234.1	207.7	155.6	234.1	range		207.7	207.7	0	104.9	0.8872	0	-1	13
mcp2k	18255	1	95899	16003	1	1	0	126	0	126	1.421e-14	0	306.8	251.3	177.7	306.8	range		251.3	251.3	0	126	0.8193	0	-1	13
mcp2k	18259	1	97010	28006	1	1	0	1.669	0	1.669	2.22e-16	0	16.26	17.45	9.078	17.45	dQdx	end_degree_or_override	17.45	17.45	0	1.669	1.073	0	-1	13
mcp2k	18255	1	97084	22007	1	1	0	3.999	0	3.999	4.441e-16	0	27.14	19.9	20.03	19.9	dQdx	end_degree_or_override	19.9	19.9	0	3.999	0.7333	0	-1	13
mcp2k	18255	1	97260	6015	3	2	1	356	7.205	356	0	0.0114	820.2	854.9	606.9	820.2	range		854.9	842.7	12.18	363.2	1.042	1	7.205	13
mcp2k	18259	1	98470	11006	3	2	1	108.4	12.9	108.4	0	0.04549	269.3	249.5	179.6	269.3	range		249.5	233.9	15.53	121.3	0.9262	1	12.9	13
mcp2k	18259	1	98778	8004	3	2	1	431.1	9.378	431.1	0	0.02847	997.9	980.2	717.2	997.9	range		980.2	953.4	26.81	440.5	0.9823	1	9.378	13
mcp2k	18255	1	99232	17013	4	2	2	246.8	56.8	246.8	0	0.2659	570.5	795.9	581.3	795.9	dQdx	end_degree_or_override	795.9	570.5	225.4	303.6	1.395	1	39.99	13
mcp2k	18255	1	99563	16002	5	3	2	507.8	6.587	507.8	5.684e-14	0.01285	1159	1155	838.6	1159	range		1155	1139	15.63	514.4	0.9961	2	3.138	13
mcp2k	18255	1	99716	13005	4	2	2	290.4	15.14	290.4	0	0.05343	668.9	721.3	536.9	721.3	dQdx	end_degree_or_override	721.3	682.2	39.17	305.6	1.078	1	3.759	13
mcp2k	18255	1	99838	14004	6	3	3	454.2	19.08	454.2	0	0.02259	1047	1093	795.3	1047	range		1093	1060	32.37	473.3	1.044	2	2.861	13
