event	matched_A	matched_B	same	moved	lost	gained	rescue_A	rescue_B
351551	22	22	17	5	0	0	0	0
351617	20	20	15	5	0	0	0	0
351639	20	20	15	5	0	0	0	0
351705	12	12	9	3	0	0	0	0
351749	17	17	11	6	0	0	0	0
351815	21	20	18	2	1	0	0	0
352123	21	21	15	6	0	0	0	0
352211	10	10	9	1	0	0	0	0
352233	17	17	9	8	0	0	0	0
352365	16	16	13	3	0	0	1	0
352915	23	23	20	3	0	0	0	0
352937	26	26	19	7	0	0	0	0
353179	15	16	13	2	0	1	0	0
353223	18	18	16	2	0	0	0	0
353487	18	18	16	2	0	0	0	0
353729	26	26	26	0	0	0	0	0
353751	20	20	16	4	0	0	0	0
386332	16	16	14	2	0	0	0	0
386354	9	9	4	5	0	0	0	0
386442	17	17	13	4	0	0	0	0
386794	14	14	12	2	0	0	0	0
386816	20	20	17	3	0	0	0	0
386838	17	18	11	6	0	1	0	0
386948	20	20	18	2	0	0	0	0
387102	20	20	17	3	0	0	0	0
387168	20	20	17	3	0	0	0	0
387674	18	18	15	3	0	0	0	0
387696	15	15	10	5	0	0	0	0
387850	19	19	14	5	0	0	0	0
388026	22	22	12	10	0	0	0	0
388224	23	23	20	3	0	0	0	0
388510	25	25	20	5	0	0	0	0
388642	17	17	14	3	0	0	0	0
388752	21	22	11	10	0	1	0	0
388884	20	20	13	7	0	0	0	0
388972	18	18	15	3	0	0	0	0
389214	28	28	20	8	0	0	0	0
389302	22	22	17	5	0	0	0	0
389544	19	19	14	5	0	0	0	0
389588	21	21	15	6	0	0	0	0
389830	15	15	10	5	0	0	0	0
389874	24	24	21	3	0	0	0	0
389962	17	17	16	1	0	0	0	0
390006	14	14	11	3	0	0	0	0
390028	18	18	15	3	0	0	0	0
390182	27	27	23	4	0	0	0	0
390270	23	23	16	7	0	0	0	0
390534	16	16	9	7	0	0	0	0
390600	15	15	11	4	0	0	0	0
390644	19	19	9	10	0	0	0	0
390842	19	19	14	5	0	0	0	0
390864	18	18	12	6	0	0	0	0
390996	19	19	10	9	0	0	0	0
391172	14	14	10	4	0	0	0	0
391238	24	24	12	12	0	0	0	0
391260	20	20	14	6	0	0	0	0
391722	20	20	11	9	0	0	0	0
391766	23	23	16	7	0	0	0	0
391826	20	21	11	9	0	1	0	0
391854	20	20	14	6	0	0	0	0
392112	23	23	20	3	0	0	0	0
392178	12	12	10	2	0	0	0	0
392184	24	24	12	12	0	0	0	0
392200	27	27	25	2	0	0	1	0
392272	20	20	18	2	0	0	0	0
392316	16	16	10	6	0	0	0	0
392338	19	19	15	4	0	0	0	0
392354	19	19	13	6	0	0	0	0
392376	17	17	13	4	0	0	0	0
392552	18	18	10	8	0	0	0	0
392558	22	22	13	9	0	0	0	0
392684	12	12	8	4	0	0	0	0
392800	22	22	15	7	0	0	0	0
393042	25	25	16	9	0	0	0	0
393086	22	22	14	8	0	0	0	0
393124	24	24	20	4	0	0	0	0
393212	23	23	14	9	0	0	0	0
393256	13	13	10	3	0	0	0	0
393322	23	23	10	13	0	0	0	0
393410	8	8	7	1	0	0	0	0
393542	25	25	15	10	0	0	0	0
393608	18	18	13	5	0	0	0	0
394268	20	20	14	6	0	0	0	0
394488	17	17	8	9	0	0	0	0
394532	16	16	10	6	0	0	0	0
394642	19	19	16	3	0	0	0	0
394796	23	23	16	7	0	0	0	0
394906	20	20	15	5	0	0	0	0
395060	23	23	16	7	0	0	1	1
395148	22	22	15	7	0	0	1	0
395258	23	23	18	5	0	0	0	0
395390	21	21	13	8	0	0	0	0
395610	24	24	16	8	0	0	0	0
395654	19	19	14	5	0	0	0	0
395720	20	19	13	6	1	0	0	0
395764	15	15	14	1	0	0	0	0
395852	16	16	11	5	0	0	0	0
395962	17	17	12	5	0	0	0	0
396776	19	19	10	9	0	0	0	0
397194	11	11	9	2	0	0	0	0
397238	22	22	19	3	0	0	0	0
397392	23	23	15	8	0	0	0	0
397480	21	20	16	4	1	0	0	0
397568	18	18	12	6	0	0	0	0
397722	22	22	20	2	0	0	0	0
397920	18	18	14	4	0	0	0	0
398084	17	17	14	3	0	0	0	0
398238	20	20	16	4	0	0	0	0
398260	12	12	10	2	0	0	0	0
398414	26	26	19	7	0	0	0	0
398436	21	21	17	4	0	0	0	0
398480	21	21	13	8	0	0	0	0
398514	23	23	18	5	0	0	0	0
398656	18	18	17	1	0	0	0	0
398690	11	12	9	2	0	1	0	0
398722	19	19	14	5	0	0	0	0
398810	20	20	12	8	0	0	0	0
398932	14	14	10	4	0	0	0	0
399042	21	21	13	8	0	0	0	0
399052	17	17	12	5	0	0	0	0
399118	18	18	17	1	0	0	0	0
399240	28	28	16	12	0	0	0	0
399284	14	14	13	1	0	0	0	0
399328	22	22	14	8	0	0	0	0
399382	20	20	12	8	0	0	0	0
399426	22	22	16	6	0	0	0	0
399702	29	29	22	7	0	0	0	0
399856	18	18	12	6	0	0	0	0
399910	20	20	15	5	0	0	0	0
399998	22	22	17	5	0	0	0	0
400054	23	23	21	2	0	0	0	0
400174	16	16	11	5	0	0	0	0
400262	18	18	12	6	0	0	0	0
400274	18	18	16	2	0	0	0	0
400460	24	24	18	6	0	0	0	0
400504	18	18	9	9	0	0	0	0
400592	18	19	15	3	0	1	0	0
400636	25	25	15	10	0	0	0	0
400724	18	18	14	4	0	0	0	0
400768	15	15	12	3	0	0	0	0
400856	19	19	15	4	0	0	0	0
400900	14	14	9	5	0	0	0	0
400922	18	18	13	5	0	0	0	0
401054	17	17	11	6	0	0	0	0
401208	15	15	12	3	0	0	0	0
401252	22	22	11	11	0	0	0	0
401450	24	24	18	6	0	0	0	0
401516	20	20	15	5	0	0	0	0
401626	16	16	10	6	0	0	0	0
401758	15	15	12	3	0	0	0	0
401780	16	16	10	6	0	0	0	0
401824	19	19	16	3	0	0	0	0
401846	15	15	12	3	0	0	0	0
401912	20	20	14	6	0	0	0	0
401934	20	20	18	2	0	0	0	0
402330	19	19	11	8	0	0	0	0
402484	18	18	11	7	0	0	0	0
402506	24	24	18	6	0	0	0	0
402528	21	21	14	7	0	0	0	0
402880	24	24	17	7	0	0	0	0
402902	18	18	16	2	0	0	0	0
402968	25	25	20	5	0	0	0	0
403518	24	24	18	6	0	0	0	0
403716	14	14	12	2	0	0	0	0
403958	19	19	14	5	0	0	0	0
404244	26	26	19	7	0	0	0	0
404464	23	23	17	6	0	0	0	0
404684	13	13	12	1	0	0	0	0
404772	16	16	13	3	0	0	0	0
404816	17	17	13	4	0	0	0	0
404860	19	19	17	2	0	0	0	0
405190	22	22	19	3	0	0	0	0
405212	26	26	16	10	0	0	0	0
405234	19	19	17	2	0	0	0	0
405432	31	31	27	4	0	0	0	0
405454	17	17	15	2	0	0	0	0
405586	14	14	11	3	0	0	0	0
405674	23	23	19	4	0	0	0	0
405740	18	18	13	5	0	0	0	0
405938	24	22	14	8	2	0	0	0
406444	18	18	13	5	0	0	0	0
406642	20	20	14	6	0	0	0	0
406752	20	20	16	4	0	0	0	0
406796	19	19	13	6	0	0	0	0
407148	15	15	14	1	0	0	0	0
407170	19	19	13	6	0	0	0	0
407258	18	18	14	4	0	0	0	0
407280	20	19	14	5	1	0	0	0
407918	20	20	15	5	0	0	0	0
408028	17	17	10	7	0	0	0	0
408094	19	19	15	4	0	0	0	0
408534	17	17	14	3	0	0	0	0
408556	13	13	11	2	0	0	0	0
408776	24	24	20	4	0	0	0	0
409084	16	16	14	2	0	0	0	0
409282	14	14	11	3	0	0	0	0
409458	15	15	9	6	0	0	0	0
409480	26	26	21	5	0	0	0	0
409546	21	21	12	9	0	0	0	0
409590	25	24	17	7	1	0	0	1
409634	23	23	22	1	0	0	0	0
409920	21	21	16	5	0	0	0	0
409942	20	20	19	1	0	0	0	0
409964	19	19	14	5	0	0	0	0
410008	30	30	24	6	0	0	0	0
410426	17	17	11	6	0	0	0	0
410558	17	17	14	3	0	0	0	0
411152	14	14	12	2	0	0	0	0
411262	21	21	16	5	0	0	0	0
411306	16	16	14	2	0	0	0	0
411460	18	18	10	8	0	0	0	0
411790	19	19	11	8	0	0	0	0
411834	19	19	17	2	0	0	0	0
412208	13	13	12	1	0	0	0	0
412626	22	20	17	3	2	0	0	0
412692	18	18	8	10	0	0	0	0
412846	21	21	11	10	0	0	0	0
486049	21	21	14	7	0	0	0	0
486093	15	15	13	2	0	0	0	0
486225	16	16	10	6	0	0	0	0
486247	21	21	12	9	0	0	0	0
486511	19	20	14	5	0	1	0	0
486577	20	20	15	5	0	0	0	0
486621	16	16	11	5	0	0	0	0
486687	27	27	16	11	0	0	0	0
486753	22	22	19	3	0	0	0	0
486907	22	22	16	6	0	0	0	0
487237	20	20	17	3	0	0	0	0
487259	18	18	14	4	0	0	0	0
487303	25	25	15	10	0	0	0	0
487545	19	19	17	2	0	0	0	0
487633	16	16	11	5	0	0	0	0
487853	16	16	12	4	0	0	0	0
488139	27	27	17	10	0	0	0	0
488689	19	19	14	5	0	0	0	0
488755	19	19	15	4	0	0	0	0
488799	24	24	19	5	0	0	0	0
488953	25	25	16	9	0	0	0	0
489327	28	28	24	4	0	0	0	0
489459	19	19	10	9	0	0	0	0
489503	17	17	11	6	0	0	0	0
489679	18	18	13	5	0	0	0	0
489789	17	17	15	2	0	0	0	0
489811	15	15	13	2	0	0	0	0
490339	18	18	13	5	0	0	0	0
490361	22	22	16	6	0	0	0	0
490559	23	23	19	4	0	0	0	0
490581	21	21	15	6	0	0	0	0
490779	24	24	16	8	0	0	0	0
490889	22	22	20	2	0	0	0	0
490977	19	19	16	3	0	0	0	0
491021	14	14	6	8	0	0	0	0
491197	17	17	12	5	0	0	0	0
491241	15	15	11	4	0	0	0	0
491285	23	23	16	7	0	0	0	0
491417	23	23	20	3	0	0	0	0
491483	15	14	10	4	1	0	0	0
491857	23	23	16	7	0	0	0	0
492649	25	25	23	2	0	0	0	0
492803	25	25	23	2	0	0	0	0
492891	24	24	18	6	0	0	0	0
492913	18	18	11	7	0	0	0	0
493199	16	16	15	1	0	0	0	0
493243	20	20	13	7	0	0	0	0
493397	15	15	12	3	0	0	0	0
493419	10	10	9	1	0	0	0	0
493485	21	21	17	4	0	0	0	0
