event	cluster	npts	L_cm	chi2	end_absx_cm	contrast	n_near_all	n_near_used	n_mid
039349_43	20	323	208.787	3.078	173.932	0.931	4	4	31
039349_43	26	74	44.442	1.02	295.892	nan	4	3	0
039349_43	44	267	169.091	1.972	181.164	1.163	4	4	31
039349_43	46	729	465.385	2.446	36.626	1.057	4	4	30
039349_43	47	513	327.081	3.486	144.5	0.23	4	4	33
039349_43	50	185	112.724	0.0	169.152	nan	4	2	27
039349_43	53	30	17.434	0.0	299.217	nan	4	2	0
039349_43	57	146	95.856	2.223	260.698	0.967	3	3	30
039349_43	59	57	34.184	1.778	294.679	2.235	4	4	13
039349_43	65	193	132.882	1.252	19.01	1.152	3	3	17
039349_44	28	328	215.527	2.347	179.902	1.376	4	4	29
039349_44	58	147	89.933	2.231	223.341	1.528	4	4	32
039349_45	11	147	90.914	1.651	190.883	0.75	4	4	33
039349_45	16	422	269.1	2.421	117.22	0.923	4	4	32
039349_45	21	180	116.658	2.986	237.129	0.854	3	3	30
039349_45	25	346	221.07	2.732	144.488	1.789	3	3	32
039349_45	53	464	301.552	4.247	247.357	0.698	3	3	33
039349_45	63	440	290.277	1.595	94.332	0.813	4	4	29
039349_46	17	40	26.053	3.081	297.477	nan	4	4	0
039349_46	41	26	16.521	1.284	233.204	nan	3	3	0
039349_46	64	643	422.293	2.846	46.428	1.679	3	3	28
039349_47	52	122	76.811	2.933	297.468	nan	3	3	0
039349_47	53	187	116.836	3.368	243.219	1.326	3	3	30
039349_47	60	371	235.377	2.531	88.662	2.15	4	4	30
039349_47	62	197	124.323	1.873	48.933	1.053	3	3	31
039349_47	69	161	97.868	2.051	185.558	nan	4	1	7
039349_48	20	640	412.131	2.088	30.853	1.003	4	4	31
039349_48	23	293	186.674	1.656	158.003	2.691	3	3	32
039349_48	46	241	157.272	2.609	88.316	1.309	3	3	25
039349_48	52	377	248.395	1.562	41.83	2.096	4	4	28
039349_48	55	2	0.209	4.929	295.288	nan	2	2	0
039349_49	42	127	83.205	1.988	91.132	1.496	4	4	31
039349_49	44	426	271.458	1.659	115.484	1.045	3	3	33
039349_49	58	16	10.899	3.229	210.85	nan	4	4	0
039349_49	67	161	97.275	0.0	330.691	nan	4	0	3
039349_4	26	472	297.965	3.083	113.329	nan	4	2	20
039349_4	37	368	235.511	2.97	163.54	0.987	3	3	32
039349_4	54	748	481.891	4.346	208.484	1.649	4	4	32
039349_4	59	304	197.921	3.631	258.3	0.384	3	3	33
039349_4	63	605	402.553	1.823	51.231	1.249	4	4	31
039349_4	71	773	507.264	2.533	338.341	nan	4	0	0
039349_50	15	7	4.155	2.908	162.679	nan	3	3	0
039349_50	21	146	90.724	3.286	287.085	nan	4	2	20
039349_50	43	141	89.405	1.928	241.805	3.192	4	4	32
039349_50	48	320	206.377	1.369	114.312	1.034	3	3	31
039349_50	57	111	68.478	1.968	308.025	nan	4	0	0
039349_50	58	171	101.912	0.0	274.31	nan	4	2	5
039349_50	61	129	83.252	3.009	230.951	0.765	4	4	30
039349_50	65	836	546.402	2.163	58.228	1.127	3	3	33
039349_51	28	113	71.32	2.091	284.16	1.835	4	4	32
039349_51	61	424	277.471	3.117	116.921	1.004	3	3	30
039349_52	11	151	95.36	3.457	263.243	0.905	3	3	31
039349_52	28	199	127.862	3.033	25.639	1.171	3	3	32
039349_52	33	233	145.324	2.642	187.993	1.638	4	4	31
039349_52	52	267	168.783	2.233	311.501	nan	3	0	31
039349_52	54	71	52.178	1.426	23.715	0.821	4	4	18
039349_53	14	403	262.162	1.266	37.132	1.016	4	4	29
039349_53	19	205	130.131	2.839	261.508	0.963	4	4	31
039349_53	28	540	342.144	2.007	29.564	0.728	3	3	31
039349_53	41	61	40.66	2.219	275.028	0.962	3	3	31
039349_53	46	429	277.257	1.789	140.883	0.436	4	4	27
039349_53	47	441	297.714	1.913	80.354	nan	3	2	24
039349_53	54	108	70.784	2.347	223.628	1.103	4	4	28
039349_53	55	472	304.47	1.729	43.466	1.021	3	3	34
039349_53	57	41	25.117	3.619	310.78	nan	4	0	0
039349_53	61	809	527.223	1.943	171.804	0.903	3	3	33
039349_54	54	295	190.358	3.739	203.304	0.22	4	4	30
039349_54	63	184	115.403	2.225	201.104	0.842	3	3	31
039349_55	31	278	180.196	2.614	175.956	3.895	3	3	32
039349_55	58	239	154.943	2.966	204.372	1.43	4	4	27
039349_55	59	487	311.564	2.153	53.256	2.173	4	4	31
039349_55	61	98	63.855	3.033	181.246	0.73	4	4	31
039349_55	64	476	306.328	1.707	228.517	1.782	4	4	32
039349_56	17	32	18.729	2.469	24.837	nan	4	4	0
039349_56	18	122	79.372	2.279	143.172	1.251	4	4	31
039349_56	20	142	88.981	1.758	225.769	1.116	4	4	32
039349_56	21	623	395.836	2.897	43.858	2.933	4	4	33
039349_56	24	745	479.021	2.621	17.69	0.919	3	3	30
039349_56	36	325	214.837	2.363	183.23	0.386	3	3	32
039349_56	40	330	214.186	2.774	223.592	0.945	4	4	32
039349_56	48	246	153.09	2.152	213.531	0.616	4	4	31
039349_56	62	332	219.436	2.705	132.792	1.158	3	3	30
039349_57	20	441	285.086	1.565	112.645	0.217	4	4	32
039349_57	22	486	313.16	1.386	91.686	0.498	4	4	33
039349_57	23	320	205.853	1.664	188.967	3.462	3	3	23
039349_57	49	200	120.486	2.074	172.831	1.684	4	4	29
039349_57	51	475	300.434	1.838	87.833	1.072	4	4	30
039349_57	59	184	111.367	0.0	94.403	nan	4	2	32
039349_57	63	499	314.429	3.377	91.867	1.066	4	4	29
039349_57	68	1259	830.738	1.896	321.482	nan	3	0	30
039349_58	35	352	221.898	2.805	169.546	0.837	3	3	33
039349_58	59	262	169.753	1.552	119.168	0.776	4	4	33
039349_58	60	509	341.252	2.917	66.155	1.076	4	4	30
039349_58	65	122	72.514	0.0	285.12	1.287	4	4	31
039349_58	73	95	56.674	0.0	323.195	nan	4	0	0
039349_59	14	35	21.016	1.618	78.315	nan	3	3	2
039349_59	15	222	133.241	0.0	276.64	nan	4	2	33
039349_59	20	367	237.135	1.751	8.119	2.127	4	4	30
039349_59	27	168	107.712	2.819	150.893	0.568	4	4	32
039349_59	58	77	46.63	2.491	105.193	1.823	4	4	33
039349_59	60	353	228.487	2.96	79.404	0.713	3	3	30
039349_5	26	674	426.447	1.904	112.582	0.68	4	4	30
039349_5	50	493	313.32	1.495	54.319	1.381	4	4	24
039349_5	53	598	374.518	1.973	338.703	nan	3	0	0
039349_5	55	479	310.453	2.176	164.874	0.396	4	4	33
039349_5	59	49	28.945	0.0	224.743	nan	4	4	3
039349_5	64	465	305.963	2.257	70.896	0.713	4	4	31
039349_5	65	35	21.337	3.033	282.522	nan	4	4	3
039349_61	21	347	212.132	1.727	178.615	0.871	4	4	33
039349_61	45	59	37.164	1.788	242.166	1.438	4	4	28
039349_61	48	209	133.304	1.155	208.237	nan	4	2	11
039349_61	49	72	47.051	1.324	128.853	nan	4	2	32
039349_62	23	494	313.321	1.534	56.418	0.782	4	4	32
039349_62	28	530	337.761	1.36	35.616	1.116	3	3	32
039349_62	32	192	125.365	1.994	127.983	1.078	3	3	28
039349_62	49	465	303.588	2.323	95.251	2.072	4	4	29
039349_62	51	110	72.023	1.5	90.696	0.655	3	3	32
039349_62	54	671	436.869	1.712	20.719	nan	4	2	18
039349_62	64	146	92.962	2.268	250.686	0.773	4	4	31
039349_62	67	352	227.622	1.41	149.009	0.845	3	3	27
039349_62	74	461	305.273	2.702	50.528	1.141	4	4	32
039349_63	23	161	101.119	2.78	141.558	0.427	4	4	30
039349_63	43	165	100.229	2.24	310.17	nan	4	0	0
039349_63	51	271	168.931	4.61	138.156	1.099	4	4	31
039349_63	52	93	57.995	2.656	191.554	1.041	3	3	31
039349_64	22	380	242.464	1.586	220.864	nan	4	2	25
039349_64	28	403	261.655	1.214	33.239	0.879	3	3	32
039349_64	57	385	246.159	5.053	309.366	nan	3	0	0
039349_64	62	458	297.307	1.406	65.319	0.153	4	3	33
039349_64	70	138	82.191	0.0	265.938	0.038	4	4	33
039349_65	32	555	357.58	2.227	24.066	0.246	3	3	32
039349_65	33	46	28.235	2.952	317.233	nan	4	0	0
039349_65	38	440	281.838	2.115	76.892	2.177	3	3	26
039349_65	39	148	105.024	0.0	336.693	nan	4	0	0
039349_66	25	471	304.051	1.483	86.774	0.834	4	4	31
039349_66	28	183	114.706	3.076	264.385	0.992	3	3	33
039349_66	65	242	168.232	2.744	186.09	0.787	4	4	25
039349_66	66	442	289.11	1.92	73.83	1.57	3	3	29
039349_66	72	154	98.432	1.976	231.864	1.906	3	3	32
039349_66	78	53	33.266	3.089	272.274	1.077	4	4	20
039349_66	79	342	220.282	2.282	260.204	1.391	4	4	18
039349_67	33	624	401.806	1.795	77.494	0.999	4	4	28
039349_67	35	445	280.341	1.31	170.23	0.848	4	4	21
039349_67	38	344	222.737	2.379	103.041	0.258	3	3	31
039349_67	67	436	281.558	3.286	115.871	0.882	4	4	31
039349_67	73	238	148.308	0.957	208.894	0.148	4	3	32
039349_68	27	297	191.021	2.505	187.533	0.285	4	4	31
039349_68	29	438	267.305	0.0	146.479	nan	4	2	20
039349_68	35	405	252.24	1.302	113.865	0.727	3	3	33
039349_68	37	79	46.815	0.0	269.478	0.062	4	4	32
039349_68	47	520	332.478	2.737	63.635	0.877	3	3	34
039349_68	51	286	171.649	0.0	218.002	0.19	4	3	34
039349_68	53	363	230.103	0.927	205.02	1.522	4	4	32
039349_68	62	135	85.087	3.536	262.261	1.552	3	3	33
039349_68	66	48	32.266	2.055	285.588	1.62	3	3	9
039349_69	24	503	322.283	2.22	90.054	1.168	4	4	32
039349_69	47	202	123.475	3.72	36.77	0.379	4	3	23
039349_69	59	209	142.555	1.815	216.019	nan	4	2	30
039349_69	65	1079	705.379	2.485	228.402	0.948	4	4	27
039349_69	66	636	420.899	1.06	48.067	0.99	4	4	33
039349_6	68	453	285.883	2.99	298.031	0.429	3	3	31
039349_6	76	554	366.548	2.213	43.795	1.188	3	3	32
039349_70	44	97	59.858	4.007	231.571	0.929	3	3	33
039349_70	70	1022	676.398	1.84	292.409	1.127	3	3	30
039349_71	26	3	0.621	4.867	315.588	nan	3	0	0
039349_71	28	379	243.255	2.303	116.745	1.351	3	3	32
039349_71	37	237	148.049	2.585	191.756	1.229	3	3	31
039349_71	43	139	94.448	2.274	253.206	1.338	4	4	30
039349_71	46	182	108.312	0.0	305.003	nan	4	2	0
039349_71	55	210	127.955	1.896	276.455	nan	4	2	30
039349_72	11	496	319.17	1.588	85.978	0.927	3	3	30
039349_72	12	241	152.397	2.095	164.435	0.935	4	4	31
039349_72	19	518	332.895	1.749	51.225	1.328	3	3	32
039349_72	45	506	332.788	3.832	287.101	1.232	4	4	30
039349_72	51	230	142.985	2.759	196.002	0.743	4	4	32
039349_72	67	424	277.896	1.371	90.994	1.226	4	4	19
039349_73	25	1116	705.67	3.56	339.136	nan	4	0	0
039349_73	28	419	268.55	1.723	100.293	0.6	4	4	34
039349_73	29	347	221.389	3.722	140.681	0.874	4	4	31
039349_73	73	137	91.71	2.729	257.488	2.079	3	3	32
039349_74	31	368	231.591	2.128	116.278	0.521	4	4	31
039349_74	50	193	122.16	3.352	144.617	0.927	4	4	31
039349_74	52	83	50.81	0.0	279.806	nan	4	2	28
039349_74	55	194	124.108	1.334	230.276	0.821	4	4	30
039349_74	68	4	1.962	5.68	312.655	nan	4	0	0
039349_74	72	282	186.895	1.362	61.653	0.886	4	4	31
039349_75	18	315	201.638	2.267	160.96	1.05	4	4	31
039349_75	20	231	146.703	3.145	159.836	1.075	3	3	31
039349_75	21	67	39.918	0.0	309.562	nan	4	0	0
039349_75	28	353	228.16	1.704	164.168	1.101	3	3	31
039349_75	55	117	71.568	1.21	270.599	nan	4	2	23
039349_75	60	263	164.748	1.388	203.529	0.58	4	4	30
039349_75	66	154	95.815	2.626	246.89	1.101	4	4	18
039349_75	71	591	393.174	2.179	68.193	1.029	3	3	31
039349_76	22	419	269.021	2.178	102.612	2.233	4	4	30
039349_76	25	290	183.947	2.255	211.809	1.032	4	4	32
039349_76	51	305	193.444	1.079	162.385	6.862	4	4	18
039349_77	27	453	288.853	2.872	71.887	1.156	3	3	30
039349_77	36	182	119.566	2.604	232.483	1.796	4	4	31
039349_77	58	187	114.52	0.0	203.346	0.26	4	4	33
039349_77	65	463	300.904	1.89	72.368	0.833	3	3	31
039349_77	69	433	285.22	1.632	39.383	0.78	4	4	34
039349_77	71	276	187.064	1.305	80.687	0.947	3	3	30
039349_78	21	207	132.84	2.315	173.047	1.269	4	4	29
039349_78	60	855	546.102	1.805	175.877	0.467	4	4	32
039349_79	33	331	211.348	2.108	249.249	1.271	4	4	31
039349_79	35	177	114.534	2.568	234.08	0.586	3	3	29
039349_79	52	201	127.407	2.396	212.707	1.001	4	4	31
039349_79	63	451	288.384	2.391	72.387	0.829	3	3	30
039349_79	64	461	298.406	2.457	77.043	0.809	3	3	31
039349_79	71	89	52.865	0.0	214.786	0.076	4	4	34
039349_79	74	765	498.392	1.556	191.573	0.408	3	3	32
039349_7	28	547	355.192	1.671	21.352	1.348	4	4	33
039349_7	50	49	29.579	2.472	193.328	0.653	4	4	15
039349_7	54	49	30.157	1.483	279.837	3.05	4	4	7
039349_7	55	258	158.927	1.673	222.066	nan	4	2	7
039349_7	57	380	241.542	1.478	99.539	1.125	4	4	31
039349_7	59	260	158.845	0.74	245.798	nan	4	2	26
039349_7	64	66	42.418	3.024	244.741	0.884	4	4	30
039349_7	67	1249	802.61	1.839	287.676	1.283	4	4	30
039349_7	71	754	486.083	2.574	26.289	0.958	3	3	22
039349_80	46	132	81.709	2.996	276.356	0.539	3	3	32
039349_80	53	98	60.467	2.653	272.43	1.106	4	4	32
039349_80	59	451	296.647	1.68	235.047	0.884	3	3	30
039349_81	19	79	53.205	1.12	52.703	0.21	3	3	30
039349_81	24	87	55.71	3.145	208.135	1.055	4	4	29
039349_81	26	109	70.528	1.933	240.092	0.596	4	4	31
039349_81	30	343	221.61	1.8	180.35	0.753	3	3	34
039349_81	46	48	30.689	3.361	306.309	nan	4	0	0
039349_81	50	151	97.13	1.402	140.558	0.244	3	3	31
039349_81	56	96	61.514	4.937	288.064	0.671	4	4	6
039349_81	59	119	73.731	2.041	265.952	1.924	4	4	32
039349_81	69	90	57.786	2.813	295.969	nan	4	4	4
039349_82	19	702	441.519	2.345	24.135	1.287	4	4	33
039349_82	24	93	61.632	2.611	286.621	1.012	4	4	6
039349_82	42	188	120.79	1.616	208.236	1.007	3	3	30
039349_82	48	389	254.375	2.321	123.444	nan	3	1	30
039349_82	52	65	39.652	2.669	310.941	nan	4	0	0
039349_82	55	172	105.805	5.463	268.787	0.552	4	4	31
039349_82	57	1102	711.325	1.632	275.919	1.057	4	4	30
039349_83	15	264	172.512	1.859	200.882	1.067	3	3	29
039349_83	20	725	468.719	2.261	92.771	0.635	3	3	30
039349_83	45	124	78.367	1.419	168.875	0.732	3	3	31
039349_8	15	13	8.319	2.841	274.048	nan	4	4	0
039349_8	40	93	59.221	8.253	123.14	2.11	3	3	28
039349_8	44	100	59.442	0.0	283.299	nan	4	2	3
039349_8	55	488	311.851	2.366	102.93	0.458	3	3	31
039349_9	43	423	275.371	3.535	121.032	0.393	4	4	28
039349_9	49	349	223.782	6.278	267.006	0.873	4	4	32
039349_9	51	208	133.172	2.466	125.664	1.754	3	3	30
039349_9	57	881	586.281	1.868	77.643	0.965	4	4	33
