event	cluster	kind	res_len_cm	n_tail	E_tail_MeV	straightness	ave_res_dqdx
039349_55	59	STM	0.00	0	0.00	nan	0
039349_55	61	STM	37.91	59	102.24	0.971	45472
039349_55	64	STM	0.96	2	5.23	1.000	75941
039349_56	17	STM	11.61	19	39.62	0.978	57039
039349_56	18	STM	25.30	37	87.43	0.957	58717
039349_56	20	STM	8.72	14	26.78	0.973	51344
039349_56	21	STM	33.63	56	85.94	0.724	42716
039349_56	24	STM	29.79	46	97.29	0.857	55073
039349_56	36	STM	5.32	8	10.24	0.886	34637
039349_56	40	STM	0.00	0	0.00	nan	0
039349_56	48	STM	11.25	18	7.11	0.889	10386
039349_56	62	STM	10.93	16	36.36	0.877	55440
039349_57	20	STM	32.66	51	110.64	0.943	56967
039349_57	22	STM	23.38	37	82.72	0.977	59089
039349_57	23	STM	3.48	5	11.81	0.980	56040
039349_57	49	STM	9.52	16	7.46	0.869	13220
039349_57	51	STM	7.68	13	22.71	0.986	49015
039349_57	59	STM	22.15	37	-18.06	1.000	-13694
039349_57	63	STM	14.86	25	43.81	0.946	49380
039349_57	68	STM	26.63	40	101.98	0.972	65198
039349_58	35	STM	27.59	45	77.83	0.986	47662
039349_58	59	STM	14.73	22	47.50	0.916	54749
039349_58	60	STM	9.45	14	35.31	0.881	60632
039349_58	65	STM	12.86	22	12.35	0.973	16815
039349_58	73	STM	40.88	68	-63.10	0.922	-25781
039349_59	14	STM	8.25	13	27.63	0.958	54860
039349_59	15	STM	26.71	45	-2.47	1.000	-1557
039349_59	20	STM	0.00	0	0.00	nan	0
039349_59	27	STM	11.58	18	38.12	0.941	54099
039349_59	58	STM	11.95	20	42.81	0.980	60250
039349_59	60	STM	14.65	22	44.66	0.917	49760
039349_5	26	STM	16.23	27	62.15	0.912	64320
039349_5	50	STM	0.00	0	0.00	nan	0
039349_5	53	STM	7.23	11	37.17	0.953	85864
039349_5	55	STM	8.82	14	24.82	0.904	45225
039349_5	59	STM	0.00	0	0.00	nan	0
039349_5	64	STM	11.08	18	26.79	0.883	40768
039349_5	65	STM	0.99	2	5.00	1.000	71030
039349_61	21	STM	27.91	47	95.08	0.785	57937
039349_61	45	STM	28.51	44	68.64	0.954	40960
039349_61	48	STM	0.00	0	0.00	nan	0
039349_61	49	STM	7.15	12	23.37	0.842	54938
039349_62	23	STM	1.91	4	6.48	0.976	50830
039349_62	28	STM	15.84	26	61.39	0.984	64903
039349_62	32	STM	33.17	48	105.33	0.976	56971
039349_62	49	STM	0.00	0	0.00	nan	0
039349_62	51	STM	20.00	29	57.44	0.988	47939
039349_62	54	STM	14.85	25	0.77	0.996	2482
039349_62	64	STM	3.62	6	8.87	0.934	38495
039349_62	67	STM	5.42	9	19.83	0.730	59079
039349_62	74	STM	12.39	20	47.25	0.983	63933
039349_63	23	STM	37.44	59	103.05	0.875	45966
039349_63	43	STM	11.12	19	17.43	0.449	26621
039349_63	51	STM	23.08	39	42.81	0.418	31176
039349_63	52	STM	27.72	44	74.88	0.904	45732
039349_64	22	STM	0.00	0	0.00	nan	0
039349_64	28	STM	7.31	10	23.66	0.982	54062
039349_64	57	STM	14.09	21	33.60	0.922	41064
039349_64	62	STM	39.41	65	42.43	0.846	18321
039349_64	70	STM	24.32	41	70.29	0.991	48536
039349_65	32	STM	9.08	13	16.37	0.837	31183
039349_65	33	STM	27.18	44	115.57	0.955	71427
039349_65	38	STM	36.10	49	88.41	0.965	45117
039349_65	39	STM	10.04	17	39.74	0.948	63872
039349_66	25	STM	5.88	9	18.17	0.990	50550
039349_66	28	STM	36.01	59	115.33	0.957	53580
039349_66	65	STM	34.79	54	99.01	0.980	47770
039349_66	66	STM	0.67	1	0.00	nan	85642
039349_66	72	STM	0.00	0	0.00	nan	0
039349_66	78	STM	24.34	39	43.13	0.736	28631
039349_66	79	STM	36.36	58	29.24	0.855	12480
039349_67	33	STM	1.63	3	5.71	1.000	52902
039349_67	35	STM	7.43	12	11.12	0.892	25124
039349_67	38	STM	29.42	46	112.17	0.919	64226
039349_67	67	STM	26.41	40	75.93	0.941	48503
039349_67	73	STM	37.17	62	11.78	1.000	5405
039349_68	27	STM	19.49	31	54.42	0.827	46856
039349_68	29	STM	0.00	0	0.00	nan	0
039349_68	35	STM	40.25	66	147.79	0.883	61934
039349_68	37	STM	22.61	38	62.30	1.000	46297
039349_68	47	STM	26.54	43	77.72	0.944	49025
039349_68	51	STM	38.37	66	66.43	0.965	28770
039349_68	53	STM	9.20	14	20.33	0.977	36628
039349_68	62	STM	0.00	0	0.00	nan	0
039349_68	66	STM	0.00	0	0.00	nan	0
039349_69	24	STM	19.30	31	76.37	0.983	65817
039349_69	47	STM	37.33	63	-104.91	0.998	-47153
039349_69	59	STM	43.51	64	20.56	0.787	8019
039349_69	65	STM	0.00	0	0.00	nan	0
039349_69	66	STM	3.08	5	10.86	0.995	57573
039349_6	68	STM	21.25	35	47.04	0.766	36843
039349_6	76	STM	6.53	10	21.56	0.979	54191
039349_70	44	STM	10.79	17	30.05	0.790	47517
039349_70	70	STM	6.08	10	22.71	0.997	62798
039349_71	26	STM	0.00	0	0.00	nan	0
039349_71	28	STM	13.11	20	45.79	0.975	58794
039349_71	37	STM	8.55	13	16.73	0.965	32623
039349_71	43	STM	0.00	0	0.00	nan	0
039349_71	46	STM	22.48	38	27.12	0.997	20264
039349_71	55	STM	39.95	64	13.04	0.891	4375
039349_72	11	STM	13.15	20	48.41	0.984	61650
039349_72	12	STM	11.12	19	33.73	0.952	50330
039349_72	19	STM	0.00	0	0.00	nan	0
039349_72	45	STM	12.58	21	47.42	0.945	62693
039349_72	51	STM	17.28	25	31.90	0.934	31111
039349_72	67	STM	0.00	0	0.00	nan	0
039349_73	25	STM	16.37	26	68.30	0.930	70961
039349_73	28	STM	10.83	17	31.04	0.976	47491
039349_73	29	STM	4.91	8	16.00	0.952	53796
039349_73	73	STM	1.37	2	6.30	1.000	68892
039349_74	31	STM	25.64	38	39.04	0.989	25394
039349_74	50	STM	5.25	9	15.35	0.978	47699
039349_74	52	STM	26.10	41	52.12	1.000	36041
039349_74	55	STM	40.86	62	130.99	0.976	54165
039349_74	68	STM	0.00	0	0.00	nan	0
039349_74	72	STM	4.56	7	18.26	0.994	65707
039349_75	18	STM	37.52	58	113.48	0.974	50956
039349_75	20	STM	40.62	63	136.15	0.873	56631
039349_75	21	STM	20.43	34	59.56	0.998	48842
039349_75	28	STM	33.83	50	131.69	0.974	65028
039349_75	55	STM	28.22	47	7.61	0.984	4439
039349_75	60	STM	37.03	62	4.31	0.977	1961
039349_75	66	STM	0.00	0	0.00	nan	0
039349_75	71	STM	36.93	55	142.84	0.978	65686
039349_76	22	STM	39.79	61	166.75	0.958	70202
039349_76	25	STM	4.55	8	17.81	0.977	62640
039349_76	51	STM	13.64	23	-3.78	0.980	-4492
039349_77	27	STM	6.25	9	17.59	0.975	47046
039349_77	36	STM	4.55	7	11.41	0.967	42420
039349_77	58	STM	32.19	54	82.27	1.000	43055
039349_77	65	STM	20.30	30	49.69	0.963	41153
039349_77	69	STM	31.15	49	122.06	0.981	65896
039349_77	71	STM	14.03	21	59.01	0.869	73360
039349_78	21	STM	0.00	0	0.00	nan	0
039349_78	60	STM	19.64	29	58.01	0.696	48017
039349_79	33	STM	9.21	16	25.21	0.889	46230
039349_79	35	STM	29.96	46	103.24	0.963	58864
039349_79	52	STM	22.86	37	50.01	0.853	36814
039349_79	63	STM	7.61	12	20.32	0.968	42611
039349_79	64	STM	2.46	4	3.82	0.984	24938
039349_79	71	STM	25.98	44	53.02	0.998	34232
039349_79	74	STM	38.94	61	129.45	0.981	55818
039349_7	28	STM	0.00	0	0.00	nan	0
039349_7	50	STM	9.42	16	28.59	0.864	49839
039349_7	54	STM	0.00	0	0.00	nan	0
039349_7	55	STM	28.32	48	-133.53	1.000	-79363
039349_7	57	STM	30.75	47	96.70	0.986	52993
039349_7	59	STM	29.23	48	3.73	0.706	2381
039349_7	64	STM	32.77	49	82.52	0.969	42725
039349_7	67	STM	36.55	57	110.01	0.941	51122
039349_7	71	STM	11.48	18	40.29	0.971	59157
039349_80	46	STM	21.52	35	40.19	0.623	31584
039349_80	53	STM	4.63	8	15.56	0.959	54952
039349_80	59	STM	19.20	30	54.42	0.944	47297
039349_81	19	STM	30.83	46	51.59	0.943	28082
039349_81	24	STM	37.22	57	104.68	0.832	46415
039349_81	26	STM	28.95	43	86.91	0.983	51059
039349_81	30	STM	13.25	21	38.03	0.949	48135
039349_81	46	STM	27.16	42	0.22	0.690	-2289
039349_81	50	STM	23.81	37	85.74	0.941	61233
039349_81	56	STM	37.77	59	125.51	0.896	56374
039349_81	59	STM	0.00	0	0.00	nan	0
039349_81	69	STM	14.50	23	46.01	0.852	52458
039349_82	19	STM	0.00	0	0.00	nan	0
039349_82	24	STM	3.56	6	13.62	0.986	60859
039349_82	42	STM	14.53	23	50.11	0.986	58168
039349_82	48	STM	15.72	24	41.64	0.868	45049
039349_82	52	STM	32.72	53	86.06	0.851	42416
039349_82	55	STM	36.72	62	71.32	0.719	32508
039349_82	57	STM	0.00	0	0.00	nan	0
039349_83	15	STM	28.19	42	107.65	0.973	64666
039349_83	20	STM	13.67	22	18.71	0.791	22004
039349_83	45	STM	20.33	32	59.26	0.973	48915
039349_8	15	STM	4.48	7	21.10	0.992	73066
039349_8	40	STM	0.00	0	0.00	nan	0
039349_8	44	STM	0.00	0	0.00	nan	0
039349_8	55	STM	37.78	59	129.79	0.986	58600
039349_9	43	STM	38.84	58	84.50	0.742	36117
039349_9	49	STM	28.30	46	44.56	0.882	26282
039349_9	51	STM	0.00	0	0.00	nan	0
039349_9	57	STM	19.25	29	59.46	0.956	52453
