event	verdict	n_row	n_inbeam	inbeam_labels
286329	keep	13	1	STM
286353	keep	9	1	nu-candidate
286391	tgm	12	1	TGM
286400	all-fc	12	1	nu-candidate
286527	keep	14	1	nu-candidate
286532	no-inbeam-bundle	10	0	-
286551	tgm	16	1	TGM
286587	no-inbeam-bundle	10	0	-
286617	tgm	10	1	TGM
286631	keep	10	1	STM
286655	keep	17	1	nu-candidate
286681	keep	12	2	nu-candidate,nu-candidate
286683	no-inbeam-bundle	7	0	-
286787	no-inbeam-bundle	16	0	-
286818	all-fc	11	1	nu-candidate
286884	tgm	15	1	TGM
286906	keep	6	1	nu-candidate
287007	keep	11	1	STM
287013	tgm	7	1	TGM
287016	no-inbeam-bundle	15	0	-
287029	tgm	13	1	TGM
287099	tgm	13	1	TGM
287181	keep	13	1	STM
287211	all-fc	9	1	nu-candidate
287249	all-fc	14	1	nu-candidate
287277	tgm	10	1	TGM
287315	tgm	9	1	TGM
287431	tgm	12	1	TGM
287434	tgm	15	1	TGM
287517	all-fc	12	1	nu-candidate
287522	tgm	11	1	TGM
287555	all-fc	13	1	nu-candidate
287599	keep	14	1	nu-candidate
287621	all-fc	6	1	nu-candidate
287654	keep	12	1	nu-candidate
287717	tgm	14	1	TGM
287759	no-inbeam-bundle	7	0	-
287783	keep	8	1	nu-candidate
287825	all-fc	7	1	nu-candidate
287830	all-fc	11	1	nu-candidate
287896	keep	10	1	nu-candidate
288067	keep	12	1	nu-candidate
288287	keep	8	1	nu-candidate
288327	tgm	12	1	TGM
288358	keep	12	2	STM,nu-candidate
288397	keep	12	1	STM
288468	tgm	9	1	TGM
288613	no-inbeam-bundle	10	0	-
288639	keep	6	1	nu-candidate
288727	no-inbeam-bundle	7	0	-
288745	all-fc	14	1	nu-candidate
288776	all-fc	10	1	nu-candidate
288859	keep	10	1	nu-candidate
288864	keep	7	1	STM
288921	tgm	18	1	TGM
288947	all-fc	11	1	nu-candidate
288952	keep	11	1	nu-candidate
288974	all-fc	7	2	LM,nu-candidate
289062	no-inbeam-bundle	11	0	-
289141	tgm	11	1	TGM
289145	tgm	13	1	TGM
289251	keep	10	1	nu-candidate
289295	keep	12	1	nu-candidate
289343	keep	9	1	STM
289475	no-inbeam-bundle	10	0	-
289493	no-inbeam-bundle	11	0	-
289559	keep	11	1	nu-candidate
289647	keep	10	1	STM
289656	tgm	8	1	TGM
289805	keep	12	1	nu-candidate
289832	keep	11	1	STM
289849	all-fc	13	1	nu-candidate
290052	all-fc	8	1	nu-candidate
290069	tgm	15	1	TGM
290135	no-inbeam-bundle	14	0	-
290201	keep	8	1	nu-candidate
290223	no-inbeam-bundle	11	0	-
290294	keep	12	1	STM
290316	keep	12	1	STM
290329	tgm	12	1	TGM
290602	no-inbeam-bundle	12	0	-
290712	no-inbeam-bundle	15	0	-
290729	keep	12	1	nu-candidate
290800	no-inbeam-bundle	12	0	-
290844	keep	6	1	STM
291037	all-fc	10	1	nu-candidate
291064	all-fc	11	1	nu-candidate
291262	all-fc	13	1	nu-candidate
291301	keep	13	1	STM
291345	keep	9	2	nu-candidate,STM
291372	all-fc	10	1	nu-candidate
291499	keep	11	1	nu-candidate
291526	tgm	14	1	TGM
291548	all-fc	18	1	nu-candidate
291570	all-fc	14	1	nu-candidate
291724	keep	11	1	nu-candidate
291768	keep	22	1	STM
291785	tgm	11	1	TGM
291961	all-fc	14	1	nu-candidate
292005	keep	9	1	nu-candidate
292027	keep	13	1	nu-candidate
292115	no-inbeam-bundle	10	0	-
292384	all-fc	12	1	nu-candidate
292406	keep	12	1	nu-candidate
292423	no-inbeam-bundle	11	0	-
292450	keep	14	1	STM
292533	all-fc	15	1	nu-candidate
292577	keep	9	1	nu-candidate
292643	all-fc	12	1	nu-candidate
292687	keep	9	1	nu-candidate
292797	keep	17	1	STM
293127	no-inbeam-bundle	10	0	-
293149	all-fc	11	1	nu-candidate
293391	lm	20	1	LM
313781	all-fc	11	1	nu-candidate
313847	tgm	13	1	TGM
313979	all-fc	14	1	nu-candidate
314199	no-inbeam-bundle	11	0	-
314309	keep	12	1	nu-candidate
314507	all-fc	12	1	nu-candidate
314705	all-fc	20	1	nu-candidate
314881	keep	9	1	nu-candidate
314925	no-inbeam-bundle	14	0	-
315013	all-fc	11	1	nu-candidate
315079	tgm	11	1	TGM
315167	keep	11	1	nu-candidate
315343	all-fc	7	1	nu-candidate
315409	keep	13	1	STM
315497	keep	14	1	nu-candidate
315629	no-inbeam-bundle	12	0	-
315849	keep	11	1	STM
315871	all-fc	12	1	nu-candidate
315959	no-inbeam-bundle	9	0	-
316003	all-fc	14	1	nu-candidate
316025	all-fc	13	1	nu-candidate
