event	verdict	n_row	n_inbeam	inbeam_labels
316311	keep	9	1	nu-candidate
316487	no-inbeam-bundle	11	0	-
316553	keep	12	1	nu-candidate
316729	all-fc	6	1	nu-candidate
316971	no-inbeam-bundle	12	0	-
317191	all-fc	16	1	nu-candidate
317323	all-fc	13	1	nu-candidate
317543	keep	10	1	nu-candidate
317741	all-fc	11	1	nu-candidate
317939	keep	16	1	nu-candidate
318049	tgm	10	1	TGM
318335	keep	9	1	STM
318379	no-inbeam-bundle	12	0	-
318731	all-fc	11	1	nu-candidate
319039	all-fc	16	1	nu-candidate
319611	keep	14	1	nu-candidate
319809	keep	13	1	nu-candidate
320029	all-fc	16	1	nu-candidate
320095	keep	7	1	nu-candidate
320491	tgm	16	1	TGM
320623	all-fc	12	1	nu-candidate
320667	all-fc	14	1	nu-candidate
320865	all-fc	11	1	nu-candidate
321107	keep	9	1	STM
321173	all-fc	15	1	nu-candidate
321371	keep	13	1	STM
321525	keep	14	1	nu-candidate
321767	keep	11	1	nu-candidate
321789	keep	12	1	nu-candidate
345523	no-inbeam-bundle	14	0	-
345633	all-fc	10	1	nu-candidate
345655	keep	11	1	nu-candidate
346293	keep	5	1	STM
346315	tgm	16	2	TGM,TGM
346491	no-inbeam-bundle	6	0	-
346623	all-fc	12	1	nu-candidate
347085	keep	14	1	nu-candidate
347129	all-fc	9	1	nu-candidate
347371	tgm	12	1	TGM
347833	no-inbeam-bundle	15	0	-
348075	tgm	12	1	TGM
348471	keep	11	1	nu-candidate
348515	all-fc	11	1	nu-candidate
348691	keep	9	1	nu-candidate
348713	keep	10	1	nu-candidate
348845	keep	10	1	nu-candidate
348889	no-inbeam-bundle	15	0	-
349087	all-fc	17	1	nu-candidate
349241	keep	11	1	STM
349373	keep	12	1	nu-candidate
349461	all-fc	13	1	nu-candidate
349527	no-inbeam-bundle	13	0	-
349549	all-fc	10	1	nu-candidate
349835	all-fc	13	1	nu-candidate
349879	keep	14	1	nu-candidate
349945	keep	14	1	nu-candidate
350099	keep	15	1	STM
350121	keep	7	1	nu-candidate
350297	all-fc	15	1	nu-candidate
350781	keep	9	1	STM
350935	all-fc	10	1	nu-candidate
351507	tgm	9	1	TGM
351551	tgm	10	1	TGM
351617	tgm	12	1	TGM
351639	tgm	9	1	TGM
351705	all-fc	6	1	nu-candidate
351749	all-fc	10	1	nu-candidate
351815	keep	15	1	STM
352123	keep	12	1	nu-candidate
352211	no-inbeam-bundle	7	0	-
352233	all-fc	7	1	nu-candidate
352365	keep	10	1	nu-candidate
352915	tgm	14	1	TGM
352937	keep	17	1	nu-candidate
353179	no-inbeam-bundle	9	0	-
353223	keep	11	1	STM
353487	keep	10	1	STM
353729	keep	15	1	STM
353751	all-fc	11	1	nu-candidate
386332	all-fc	10	1	nu-candidate
386354	keep	4	1	STM
386442	all-fc	10	1	nu-candidate
386794	keep	11	1	STM
386816	tgm	11	1	TGM
386838	keep	12	1	STM
386948	all-fc	10	1	nu-candidate
387102	tgm	12	1	TGM
387168	keep	11	1	STM
387674	no-inbeam-bundle	15	0	-
387696	tgm	8	1	TGM
387850	keep	13	1	nu-candidate
388026	all-fc	9	1	nu-candidate
388224	all-fc	15	1	nu-candidate
388510	tgm	17	1	TGM
388642	no-inbeam-bundle	10	0	-
388752	lm	11	1	LM
388884	keep	11	1	STM
388972	keep	11	1	nu-candidate
389214	no-inbeam-bundle	14	0	-
389302	all-fc	9	1	nu-candidate
389544	keep	10	1	STM
389588	all-fc	13	1	nu-candidate
389830	no-inbeam-bundle	8	0	-
389874	all-fc	14	1	nu-candidate
389962	keep	10	1	STM
390006	keep	7	1	STM
390028	keep	13	1	STM
390182	keep	13	1	nu-candidate
390270	no-inbeam-bundle	18	0	-
390534	no-inbeam-bundle	9	0	-
390600	no-inbeam-bundle	12	0	-
390644	no-inbeam-bundle	8	0	-
390842	all-fc	12	1	nu-candidate
390864	keep	11	1	nu-candidate
390996	all-fc	9	1	nu-candidate
391172	all-fc	5	1	nu-candidate
391238	keep	7	1	nu-candidate
391260	all-fc	10	1	nu-candidate
391722	keep	13	1	nu-candidate
391766	keep	12	1	nu-candidate
391826	no-inbeam-bundle	5	0	-
391854	all-fc	14	2	TGM,nu-candidate
392112	keep	16	1	STM
392178	no-inbeam-bundle	7	0	-
392184	keep	14	1	STM
392200	keep	16	1	STM
392272	no-inbeam-bundle	13	0	-
392316	all-fc	10	1	nu-candidate
