# doc 89 Phase 4a -- gzip -> zstd-19 re-encode of the record layer
# verified member-for-member (name,size,sha256) before the .gz was removed
rel	bytes_gz	bytes_zst	verdict	note
em-pr-era-20260829/other/work-pr132-onfudge141-mcp1k.tar.gz	4592176	479527	OK	367 members
em-pr-era-20260829/other/work-pr132-onfudge141-mcp2k.tar.gz	8125107	856086	OK	626 members
em-pr-era-20260829/other/work-pr132-onfudge98-mcp1k.tar.gz	1150752	130575	OK	101 members
em-pr-era-20260829/other/work-pr132-onfudge98-mcp2k.tar.gz	2928525	448461	OK	122 members
em-pr-era-20260829/other/work-pr132-onfudge98-ncpi0.tar.gz	2009810	288173	OK	136 members
em-pr-era-20260829/other/work-pr132-onfudge98-nuecc48.tar.gz	5527446	813222	OK	339 members
em-pr-era-20260829/other/work-pr132-onguard141-mcp1k.tar.gz	4592839	479271	OK	367 members
em-pr-era-20260829/other/work-pr132-onguard141-mcp2k.tar.gz	8126190	855436	OK	626 members
em-pr-era-20260829/other/work-pr132-onguard98-mcp1k.tar.gz	1151337	130130	OK	101 members
em-pr-era-20260829/other/work-pr132-onguard98-mcp2k.tar.gz	2928877	446943	OK	122 members
em-pr-era-20260829/other/work-pr132-onguard98-ncpi0.tar.gz	2009919	288072	OK	136 members
em-pr-era-20260829/other/work-pr132-onguard98-nuecc48.tar.gz	5527558	813512	OK	339 members
em-pr-era-20260829/other/work-pr132-onoff0141-mcp1k.tar.gz	4591606	479695	OK	367 members
em-pr-era-20260829/other/work-pr132-onoff0141-mcp2k.tar.gz	8125897	856407	OK	626 members
em-pr-era-20260829/other/work-pr132-onoff098-mcp1k.tar.gz	1151416	130044	OK	101 members
em-pr-era-20260829/other/work-pr132-onoff098-mcp2k.tar.gz	2927526	446915	OK	122 members
em-pr-era-20260829/other/work-pr132-onoff098-ncpi0.tar.gz	2009933	288313	OK	136 members
em-pr-era-20260829/other/work-pr132-onoff098-nuecc48.tar.gz	5527944	814769	OK	339 members
em-pr-era-20260829/other/work-pr132-r10ang-mcp1k.tar.gz	5801726	611368	OK	465 members
em-pr-era-20260829/other/work-pr132-r10ang-mcp2k.tar.gz	11173676	1344900	OK	745 members
em-pr-era-20260829/other/work-pr132-r10ang-ncpi0.tar.gz	2039958	307971	OK	136 members
em-pr-era-20260829/other/work-pr132-r10ang-nuecc48.tar.gz	5565761	835193	OK	339 members
em-pr-era-20260829/other/work-pr132-r10off-mcp1k.tar.gz	5752648	576386	OK	465 members
em-pr-era-20260829/other/work-pr132-r10off-mcp2k.tar.gz	11063107	1268795	OK	745 members
em-pr-era-20260829/other/work-pr132-r10off-ncpi0.tar.gz	2012584	289220	OK	136 members
em-pr-era-20260829/other/work-pr132-r10off-nuecc48.tar.gz	5530745	813300	OK	339 members
em-pr-era-20260829/other/work-pr132-r2o5-mcp1k.tar.gz	5752007	581350	OK	465 members
em-pr-era-20260829/other/work-pr132-r2o5-mcp2k.tar.gz	11065371	1281543	OK	745 members
em-pr-era-20260829/other/work-pr132-r2o5-ncpi0.tar.gz	2014439	292649	OK	136 members
em-pr-era-20260829/other/work-pr132-r2o5-nuecc48.tar.gz	5532842	818992	OK	339 members
em-pr-era-20260829/other/work-pr132-r2off-mcp1k.tar.gz	5735588	574641	OK	465 members
em-pr-era-20260829/other/work-pr132-r2off-mcp2k.tar.gz	11042169	1264011	OK	745 members
em-pr-era-20260829/other/work-pr132-r2off-ncpi0.tar.gz	2009195	288433	OK	136 members
em-pr-era-20260829/other/work-pr132-r2off-nuecc48.tar.gz	5526407	813121	OK	339 members
em-pr-era-20260829/other/work-pr132-r2p2-mcp1k.tar.gz	5753182	580912	OK	465 members
em-pr-era-20260829/other/work-pr132-r2p2-mcp2k.tar.gz	11073498	1282940	OK	745 members
em-pr-era-20260829/other/work-pr132-r2p2-ncpi0.tar.gz	2014954	293175	OK	136 members
em-pr-era-20260829/other/work-pr132-r2p2-nuecc48.tar.gz	5535883	818150	OK	339 members
em-pr-era-20260829/other/work-pr132-r2resc-mcp1k.tar.gz	5807948	616200	OK	465 members
em-pr-era-20260829/other/work-pr132-r2resc-mcp2k.tar.gz	11248202	1378378	OK	745 members
em-pr-era-20260829/other/work-pr132-r2resc-ncpi0.tar.gz	2074564	325429	OK	136 members
em-pr-era-20260829/other/work-pr132-r2resc-nuecc48.tar.gz	5578842	843678	OK	339 members
em-pr-era-20260829/other/work-pr132-r2smkp2-mcp2k.tar.gz	1113173	152607	OK	17 members
em-pr-era-20260829/other/work-pr132-r3cm-mcp1k.tar.gz	5771728	595457	OK	465 members
em-pr-era-20260829/other/work-pr132-r3cm-mcp2k.tar.gz	11105321	1302964	OK	745 members
em-pr-era-20260829/other/work-pr132-r3cm-ncpi0.tar.gz	2023568	300210	OK	136 members
em-pr-era-20260829/other/work-pr132-r3cm-nuecc48.tar.gz	5548034	826267	OK	339 members
em-pr-era-20260829/other/work-pr132-r3flip-mcp1k.tar.gz	5773700	595880	OK	465 members
em-pr-era-20260829/other/work-pr132-r3flip-mcp2k.tar.gz	11117326	1311863	OK	745 members
em-pr-era-20260829/other/work-pr132-r3flip-ncpi0.tar.gz	2025552	299710	OK	136 members
em-pr-era-20260829/other/work-pr132-r3flip-nuecc48.tar.gz	5558209	827110	OK	339 members
em-pr-era-20260829/other/work-pr132-r3flipchk-mcp1k.tar.gz	5740239	572006	OK	465 members
em-pr-era-20260829/other/work-pr132-r3flipchk-mcp2k.tar.gz	11044193	1260854	OK	745 members
em-pr-era-20260829/other/work-pr132-r3flipchk-ncpi0.tar.gz	2010346	287164	OK	136 members
