det	run	evt	img_s	img_kb	img_rc	clus_s	clus_kb	clus_rc
pdvd	039324	1	45	258792	0	17	474128	0
pdvd	039253	17	86	563952	0	42	897640	0
pdvd	039324	0	50	276532	0	20	531584	0
pdvd	039253	7	69	385124	0	29	700836	0
pdvd	039324	10	49	267664	0	21	584352	0
pdvd	039324	5	38	243404	0	12	377532	0
pdvd	039324	3	52	269552	0	20	571872	0
pdvd	039324	6	43	241524	0	15	432656	0
pdvd	039253	2	94	582552	0	61	1011068	0
pdvd	039253	5	94	530824	0	59	1073568	0
pdvd	039349	1	34	241292	0	7	256128	0
pdvd	039253	8	91	418092	0	47	1068568	0
pdvd	039324	4	58	288748	0	31	710724	0
pdvd	039324	9	41	298104	0	13	422884	0
pdvd	039349	0	40	243416	0	13	412980	0
pdvd	039253	9	86	452976	0	49	968232	0
pdvd	039349	11	42	252760	0	14	419244	0
pdvd	039349	12	43	284136	0	16	449636	0
pdvd	039349	10	47	282900	0	20	564848	0
pdvd	039324	7	59	303172	0	33	679000	0
pdvd	039349	13	38	241260	0	12	388468	0
pdvd	039349	14	41	278564	0	14	461116	0
pdvd	039349	17	38	241404	0	10	316964	0
pdvd	039349	15	42	242532	0	15	482744	0
pdvd	039349	19	39	242184	0	11	359000	0
pdvd	039349	20	38	254064	0	11	366408	0
pdvd	039324	2	76	491172	0	72	859264	0
pdvd	039349	2	39	239620	0	13	371052	0
pdvd	039349	16	49	318492	0	22	528544	0
pdvd	039349	18	46	277512	0	17	536112	0
pdvd	039324	8	81	390084	0	46	901152	0
pdvd	039349	21	46	267416	0	17	474576	0
pdvd	039349	24	40	261896	0	13	389124	0
pdvd	039349	22	45	268220	0	17	529088	0
pdvd	039349	23	45	242648	0	16	508036	0
pdvd	039349	29	41	241268	0	13	419132	0
pdvd	039349	27	47	241588	0	17	494820	0
pdvd	039349	25	50	285824	0	22	611572	0
pdvd	039349	3	41	296144	0	15	456672	0
pdvd	039349	26	55	287580	0	26	590808	0
pdvd	039349	34	40	241220	0	12	390980	0
pdvd	039349	32	43	241128	0	13	397096	0
pdvd	039349	31	45	280816	0	17	528800	0
pdvd	039349	35	41	239372	0	13	403964	0
pdvd	039349	30	51	268228	0	20	544520	0
pdvd	039349	36	41	241104	0	13	406588	0
pdvd	039349	39	40	239508	0	11	372084	0
pdvd	039349	33	53	379772	0	25	631392	0
pdvd	039349	40	36	241136	0	10	314172	0
pdvd	039349	28	64	387840	0	37	915724	0
pdvd	039349	41	42	262156	0	14	424712	0
pdvd	039349	38	53	283740	0	23	623380	0
pdvd	039349	4	44	271328	0	16	505900	0
pdvd	039349	43	39	261000	0	11	361808	0
pdvd	039349	42	41	243556	0	13	371664	0
pdvd	039349	45	42	241424	0	13	439700	0
pdvd	039349	46	42	239476	0	15	434256	0
pdvd	039349	37	62	373688	0	35	762748	0
pdvd	039349	44	49	287644	0	20	610948	0
pdvd	039349	47	45	258460	0	17	494252	0
pdvd	039349	49	44	242544	0	15	442396	0
pdvd	039349	48	50	314996	0	20	601420	0
pdvd	039349	5	47	241472	0	18	507188	0
pdvd	039349	50	47	285000	0	16	433064	0
pdvd	039349	51	44	266176	0	17	497096	0
pdvd	039349	52	47	249976	0	18	533364	0
pdvd	039349	55	41	277740	0	14	453332	0
pdvd	039349	54	45	265100	0	16	485596	0
pdvd	039349	56	46	270392	0	19	532144	0
pdvd	039349	53	48	293580	0	20	588320	0
pdvd	039349	59	39	241080	0	12	404348	0
pdvd	039349	57	48	243972	0	18	507604	0
pdvd	039349	58	44	282832	0	17	448744	0
pdvd	039349	6	42	241452	0	14	432912	0
pdvd	039349	61	38	253640	0	11	377776	0
pdvd	039349	60	41	255228	0	14	425244	0
pdvd	039349	62	43	257212	0	15	457080	0
pdvd	039349	65	39	241108	0	11	366772	0
pdvd	039349	67	38	241540	0	11	380924	0
pdvd	039349	64	44	298960	0	16	477332	0
pdvd	039349	66	44	241356	0	15	429216	0
pdvd	039349	63	53	276364	0	22	596200	0
pdvd	039349	68	45	267692	0	16	496288	0
pdvd	039349	70	41	306840	0	15	488212	0
pdvd	039349	74	40	241328	0	12	390100	0
pdvd	039349	73	43	258032	0	16	502592	0
pdvd	039349	69	52	258700	0	21	575588	0
pdvd	039349	72	47	372176	0	21	606356	0
pdvd	039349	76	42	266136	0	16	460956	0
pdvd	039349	71	52	291104	0	21	576960	0
pdvd	039349	7	53	284944	0	25	680384	0
pdvd	039349	75	51	273440	0	24	632864	0
pdvd	039349	78	41	244576	0	13	428676	0
pdvd	039349	8	39	239412	0	10	319388	0
pdvd	039349	80	38	241472	0	12	399908	0
pdvd	039349	77	49	271244	0	21	596172	0
pdvd	039349	82	40	251776	0	13	437024	0
pdvd	039349	79	49	274520	0	20	582084	0
pdvd	039349	81	46	241384	0	16	476600	0
pdvd	039349	9	41	278848	0	14	448492	0
pdvd	039349	83	48	299172	0	18	532868	0
pdvd	040475	4	46	316316	0	13	438780	0
pdvd	040475	1	55	330360	0	19	566120	0
pdvd	040475	0	57	326976	0	24	632748	0
pdvd	040475	10	56	370508	0	22	610704	0
pdvd	040475	2	57	430756	0	21	568168	0
pdvd	040475	3	54	344284	0	22	642248	0
pdvd	040475	5	54	415868	0	21	590912	0
pdvd	040475	8	51	316368	0	18	561652	0
pdvd	040475	9	55	358856	0	19	512164	0
pdvd	040475	7	71	410600	0	20	652348	0
pdvd	040475	6	78	623832	0	38	849568	0
