sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18259	1	169708	0	13.623	0.869	20	1195976	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18259	1	169736	0	13.543	1.050	20	1196428	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18259	1	169758	0	12.310	2.745	19	1532596	0	nu-candidate	3	1	1	1	0	1.379	70.0	1	2.6739972	180.13422	462.6538	-0.18799418	-15.0	1.0	0.0	0.7	0.0	292.73987
mcp1k	18259	1	169774	0	12.363	2.681	19	1535160	0	nu-candidate	9	1	1	1	0	0.969	14.1	10	-78.18709	-198.37813	192.025	-1.6006833	-15.0	1.0	0.0	0.7	0.0	67.60359
mcp1k	18259	1	169824	0	14.876	5.825	21	1532712	0	nu-candidate	11	1	1	1	0	1.328	325.2	4	57.27863	-142.45894	113.84867	4.301008	-15.0	1.0	0.0	0.7	0.0	1061.2349
mcp1k	18259	1	169846	0	12.178	2.997	19	1532152	0	nu-candidate	12	1	1	1	0	1.877	2.4	8	-77.77229	-44.43074	226.77411	-2.7578018	-15.0	1.0	0.0	0.7	0.0	32.753067
mcp1k	18259	1	169890	0	13.534	3.797	20	1532692	0	nu-candidate	14	1	1	1	0	1.635	149.1	1	-60.247963	-89.495735	352.19962	1.5301117	-4.300936	1.0	0.0	0.7	0.0	361.40598
mcp1k	18259	1	170792	0	13.273	3.695	19	1533628	0	nu-candidate	9	1	1	1	0	1.662	56.2	4	-141.69469	178.01349	114.68723	0.86406106	-4.300936	1.0	0.0	0.7	0.0	522.2202
mcp1k	18259	1	170808	0	13.442	4.120	20	1532608	0	nu-candidate	13	1	1	1	0	1.008	57.8	12	177.43533	45.31664	386.87668	1.919659	-15.0	1.0	0.0	0.7	0.0	782.5494
mcp1k	18259	1	170814	0	11.884	3.300	18	1532360	0	nu-candidate	15	1	1	1	0	0.758	52.6	3	15.315795	-59.564384	202.72401	1.5206735	-15.0	1.0	0.0	0.7	0.0	365.6244
mcp1k	18259	1	170880	0	11.659	2.954	18	1533352	0	nu-candidate	12	1	1	1	0	1.506	18.4	9	-128.71199	-79.757614	481.40604	-2.730824	-15.0	1.0	0.0	0.7	0.0	186.36053
mcp1k	18259	1	170924	0	12.621	3.521	19	1533396	0	nu-candidate	10	1	1	1	0	0.850	35.8	1	70.25905	-182.41565	73.513535	1.1637766	-15.0	1.0	0.0	0.7	0.0	250.86192
mcp1k	18259	1	170940	0	11.761	1.547	18	1198220	0	cosmic-tagged	19	1	1	0	1													
mcp1k	18259	1	170984	0	1.227	1.018	8	1197204	0	nu-candidate	13	1	2	0	1													
mcp1k	18259	1	171050	0	1.492	1.359	9	1198644	0	nu-candidate	17	2	2	0	2													
mcp1k	18259	1	171116	0	1.192	1.091	8	1197616	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	171144	0	1.172	1.028	9	1197288	0	no-beam-flash	11	0	0	0	0													
mcp1k	18259	1	171358	0	7.208	3.080	14	1534952	0	nu-candidate	9	1	1	1	0	0.743	31.2	8	170.51613	-11.3807125	265.65964	-1.3894204	-15.0	1.0	0.0	0.7	0.0	223.45772
mcp1k	18259	1	171446	0	4.919	1.281	12	1195816	0	cosmic-tagged	6	1	1	0	1													
mcp1k	18259	1	171600	0	15.862	3.891	23	1528728	0	nu-candidate	12	1	1	1	0	0.563	341.8	12	94.84138	-44.161045	342.3862	2.891709	-15.0	1.0	0.0	0.7	0.0	945.39795
mcp1k	18259	1	171892	0	14.761	2.986	22	1531532	0	nu-candidate	15	1	1	1	0	0.614	1.9	2	-7.552545	62.677097	396.22	-1.4932593	-15.0	1.0	0.0	0.7	0.0	106.87286
mcp1k	18259	1	172090	0	16.034	5.956	23	1532240	0	nu-candidate	8	1	1	1	0	1.048	286.1	3	35.81044	-73.90088	344.371	3.339948	-4.300936	1.0	0.0	0.7	0.0	781.8227
mcp1k	18259	1	172200	0	13.527	1.080	21	1195352	0	nu-candidate	17	1	1	0	1													
mcp1k	18259	1	172266	0	14.639	3.373	22	1531468	0	nu-candidate	12	1	1	1	0	0.808	121.1	18	-27.497946	131.73215	68.28519	2.1476154	-15.0	1.0	0.0	0.7	0.0	753.55774
mcp1k	18259	1	172414	0	13.416	0.800	20	1197748	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	172552	0	12.209	0.905	19	1194084	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18259	1	172596	0	13.492	0.909	21	1197512	0	cosmic-tagged	11	1	1	0	1													
mcp1k	18259	1	172656	0	15.726	4.075	23	1532424	0	nu-candidate	10	1	1	1	0	0.697	262.6	12	80.44174	197.41574	78.3651	-1.4878224	-15.0	1.0	1.0	0.7	0.0	761.51654
mcp1k	18259	1	172722	0	13.464	0.883	21	1192872	0	cosmic-tagged	9	1	1	0	1													
mcp1k	18259	1	172788	0	15.973	4.884	23	1529736	0	nu-candidate	18	2	2	1	1	1.375	285.3	2	177.27553	13.578056	416.9783	1.5884594	-4.300936	1.0	0.0	0.7	0.0	739.493
mcp1k	18259	1	172794	0	15.915	3.907	23	1528980	0	nu-candidate	16	1	1	1	0	1.502	220.6	2	21.44406	148.06445	178.70973	1.840215	-15.0	1.0	0.0	0.7	0.0	1204.2532
mcp1k	18259	1	172832	0	13.550	3.429	21	1532968	0	nu-candidate	15	1	1	1	0	1.174	137.1	15	-59.742344	-66.92051	130.25845	1.4216086	-15.0	1.0	0.0	0.7	0.0	385.55066
mcp1k	18259	1	172860	0	13.420	0.869	21	1196716	0	no-beam-flash	11	0	0	0	0													
mcp1k	18259	1	172926	0	13.468	0.939	20	1196580	0	no-beam-flash	10	0	0	0	0													
mcp1k	18259	1	172942	0	16.939	4.355	24	1532324	0	nu-candidate	9	1	2	1	0	1.003	82.6	10	-151.76314	110.22681	189.84004	-0.1353423	-4.300936	1.0	0.0	0.7	0.0	516.65375
mcp1k	18259	1	173058	0	14.851	3.114	22	1532700	0	nu-candidate	13	1	1	1	0	0.609	7.0	22	-76.46933	57.70224	25.825739	-2.6253083	-15.0	1.0	0.0	0.7	0.0	84.363686
mcp1k	18259	1	173146	0	14.915	3.608	22	1531924	0	nu-candidate	10	1	1	1	0	0.775	154.2	12	-128.00716	-74.98276	242.64838	1.2952279	-15.0	1.0	0.0	0.7	0.0	746.54865
mcp1k	18259	1	173234	0	15.135	3.676	22	1531516	0	nu-candidate	8	1	1	1	0	1.769	233.1	7	-77.755424	59.320442	338.25238	3.080661	-15.0	1.0	0.0	0.7	0.0	788.8445
mcp1k	18259	1	173256	0	13.664	1.264	21	1196532	0	nu-candidate	11	1	1	0	1													
mcp1k	18259	1	173294	0	13.837	0.690	21	1194308	0	no-beam-flash	7	0	0	0	0													
mcp1k	18259	1	173476	0	14.250	0.832	21	1196940	0	no-beam-flash	10	0	0	0	0													
mcp1k	18259	1	173498	0	14.300	2.873	21	1532856	0	nu-candidate	12	1	1	1	0	0.671	171.7	3	-175.03317	142.09505	339.87405	2.872782	-15.0	1.0	0.0	0.7	0.0	893.83734
mcp1k	18259	1	173586	0	14.136	0.716	21	1196244	0	nu-candidate	8	1	1	0	1													
mcp1k	18259	1	173718	0	14.138	0.782	21	1192976	0	nu-candidate	11	1	1	0	1													
mcp1k	18259	1	173822	0	13.998	0.709	20	1196776	0	no-bundle	7	0	1	0	0													
mcp1k	18259	1	173888	0	13.055	0.647	19	1197132	0	nu-candidate	9	1	1	0	1													
mcp1k	18259	1	173982	0	12.880	0.789	19	1198876	0	cosmic-tagged	7	1	1	0	2													
mcp1k	18259	1	174114	0	12.867	3.076	19	1532784	0	nu-candidate	15	1	1	1	0	1.447	54.2	10	173.98582	-175.26445	339.58334	-0.21322443	-15.0	1.0	0.0	0.7	0.0	292.20346
mcp1k	18259	1	174136	0	11.922	0.748	18	1196756	0	no-bundle	7	0	1	0	0													
mcp1k	18259	1	174224	0	13.467	5.863	19	1533220	0	nu-candidate	14	1	1	1	0	1.047	325.1	8	-101.06031	-2.175543	188.10396	0.49304864	-15.0	1.0	0.0	0.7	0.0	169.78581
mcp1k	18259	1	174240	0	6.330	1.278	12	1197152	0	no-beam-flash	12	0	0	0	0													
mcp1k	18259	1	174306	0	1.290	1.190	8	1196376	0	no-beam-flash	13	0	0	0	0													
mcp1k	18259	1	174422	0	5.954	1.703	13	1201532	0	cosmic-tagged	9	1	1	1	1	0.683	10.3	0	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0
mcp1k	18259	1	174488	0	5.598	0.789	13	1190180	0	cosmic-tagged	12	1	1	0	1													
mcp1k	18259	1	174576	0	7.639	3.149	15	1532116	0	nu-candidate	12	1	1	1	0	1.755	110.1	4	-182.18402	-183.0517	12.750573	2.8138669	-4.300936	1.0	0.0	0.7	0.0	497.29724
mcp1k	18259	1	174642	0	5.997	1.471	13	1189888	0	cosmic-tagged	8	1	1	0	1													
mcp1k	18259	1	174752	0	6.175	2.814	13	1532616	0	nu-candidate	10	1	1	1	0	1.415	17.2	5	-59.296345	-193.35834	407.00192	-0.5372436	-15.0	1.0	1.0	0.7	0.0	341.54953
mcp1k	18259	1	174878	0	11.476	1.189	19	1197356	0	no-bundle	9	0	1	0	0													
mcp1k	18259	1	174928	0	11.371	3.663	20	1532836	0	nu-candidate	12	2	2	1	1	1.100	92.2	8	201.43143	140.91049	247.7361	1.0676185	-15.0	1.0	1.0	0.7	0.0	507.55334
mcp1k	18259	1	175016	0	10.146	2.769	18	1535556	0	nu-candidate	14	1	1	1	0	1.274	7.0	6	-50.714043	-3.285282	207.2666	-0.7139608	-15.0	1.0	0.0	0.7	0.0	84.5396
mcp1k	18259	1	175104	0	11.211	0.760	18	1198024	0	nu-candidate	6	1	1	0	1													
mcp1k	18259	1	175428	0	15.205	1.129	23	1197620	0	cosmic-tagged	12	1	1	0	1													
