event	flagged	admitted	admitted_info	convicted	verdict_unknown	dropped	sel_main_off	sel_main_on	sel_L_off	sel_L_on	n_assoc_off	n_assoc_on	label_off	label_on
318049	3	0		0	0	0	9	9	1.8	1.8	0	0	cosmic-tagged	cosmic-tagged
318335	10	1	1	0	0	0							cosmic-tagged	cosmic-tagged
318379	4	0		0	0	0							no-bundle	no-bundle
318731	7	0		0	0	0	1	1	86.0	86.0	8	8	nu-candidate	nu-candidate
319039	7	3	3	0	0	0	20	20	85.7	85.7	6	6	nu-candidate	nu-candidate
319611	6	0		0	0	0	2	2	109.1	109.1	0	0	nu-candidate	nu-candidate
319809	3	2	2	0	0	0	20	20	75.3	75.3	2	2	nu-candidate	nu-candidate
320029	6	2	2	0	0	0	24	24	219.5	219.5	4	4	nu-candidate	nu-candidate
320095	9	3	3	0	0	0							nu-candidate	nu-candidate
320491	6	0		0	0	0							cosmic-tagged	cosmic-tagged
320623	6	0		0	0	0							nu-candidate	nu-candidate
320667	11	3	3	0	0	0	21	21	162.2	162.2	7	7	nu-candidate	nu-candidate
320865	6	1	1	0	0	0	13	13	189.2	189.2	10	10	nu-candidate	nu-candidate
321107	10	4	4	0	0	0	13	13	225.5	225.5	4	4	nu-candidate	nu-candidate
321173	7	0		0	0	0	10	10	149.0	149.0	7	7	nu-candidate	nu-candidate
321371	9	2	2	0	0	0	18	18	302.1	302.1	6	6	nu-candidate	nu-candidate
321525	10	0		0	0	0	5	5	86.4	86.4	6	6	nu-candidate	nu-candidate
321767	6	1	1	0	0	0	15	15	326.5	326.5	7	7	nu-candidate	nu-candidate
321789	3	0		0	0	0	7	7	31.5	31.5	2	2	nu-candidate	nu-candidate
345523	7	0		0	0	0							no-bundle	no-bundle
345633	4	0		0	0	0	8	8	227.4	227.4	5	5	nu-candidate	nu-candidate
345655	4	0		0	0	0							nu-candidate	nu-candidate
346293	9	4	4	0	0	0							cosmic-tagged	cosmic-tagged
346315	5	1	1	0	0	0							cosmic-tagged	cosmic-tagged
346491	6	0		0	0	0							no-beam-flash	no-beam-flash
346623	11	3	3	0	0	0	14	14	16.9	16.9	9	9	nu-candidate	nu-candidate
347085	4	0		0	0	0	4	4	92.5	92.5	20	20	nu-candidate	nu-candidate
347129	11	1	1	0	0	0	11	11	42.5	42.5	10	10	nu-candidate	nu-candidate
347371	12	1	1	0	0	0							cosmic-tagged	cosmic-tagged
347833	8	0		0	0	0							no-beam-flash	no-beam-flash
348075	11	0		0	0	0							cosmic-tagged	cosmic-tagged
348471	7	2	2	0	0	0	12	12	130.5	130.5	14	14	nu-candidate	nu-candidate
