kind	event	id	cluster	pdg	score	dirsign	length_cm	energy_mev	gap_displayed_cm	gap_main_cluster_cm	conn4_producers
B_cross	163543	17048	17	11	-1.000	0	0.7	4.7	-1.00	334.59	-
B_cross	395870	51016	51	2212	-1.000	0	0.7	20.0	-1.00	81.00	-
B_cross	271851	26022	26	2212	-1.000	0	0.7	9.1	-1.00	209.70	-
B_cross	521075	26023	26	11	-1.000	0	0.7	0.3	-1.00	332.49	-
B_cross	410008	86014	86	2212	-1.000	0	0.7	3.5	-1.00	138.93	-
B_cross	175896	24004	24	11	-1.000	0	0.7	2.9	-1.00	250.29	-
B_cross	259542	22021	22	11	-1.000	0	0.7	4.8	-1.00	302.81	-
B_cross	289508	22017	22	11	-1.000	0	0.7	2.8	-1.00	397.74	-
B_cross	284200	11015	11	11	-1.000	0	0.7	1.1	-1.00	378.37	-
B_cross	284206	16034	16	11	-1.000	0	0.7	2.0	-1.00	100.08	-
B_cross	69314	29018	29	13	-1.000	0	0.7	1.9	-1.00	22.94	pr124_pass4_prune2
B_cross	409140	48015	48	11	-1.000	0	0.7	1.9	-1.00	154.53	-
B_cross	75954	27049	27	11	-1.000	0	0.7	1.6	-1.00	393.96	-
B_cross	463565	26035	26	11	-1.000	0	0.7	2.6	-1.00	362.19	-
B_cross	256587	133294	133	11	-1.000	0	0.7	4.1	-1.00	191.84	-
B_cross	396222	79155	79	11	-1.000	0	0.7	2.5	-1.00	21.73	pr123_pass4_prune,pr124_pass4_prune2
B_cross	55740	68034	68	11	-1.000	0	0.7	2.8	-1.00	150.42	pr123_pass4_prune
B_cross	167612	61025	61	11	-1.000	0	0.7	5.0	-1.00	271.79	-
B_cross	447477	78085	78	11	-1.000	0	0.7	0.5	-1.00	433.33	-
B_cross	18625	37010	37	11	-1.000	0	0.7	2.0	-1.00	82.31	-
B_cross	176502	70033	70	13	-1.000	0	0.7	2.8	-1.00	59.03	pr123_pass4_prune,pr124_pass4_prune2
B_cross	168432	40008	40	2212	-1.000	0	0.7	3.4	-1.00	47.53	pr123_pass4_prune
B_cross	415278	54084	54	11	-1.000	0	0.7	2.4	-1.00	174.02	pr123_pass4_prune,pr124_pass4_prune2
B_cross	409140	46013	46	11	-1.000	0	0.7	1.4	-1.00	130.06	-
B_cross	52044	26014	26	11	-1.000	0	0.6	1.3	-1.00	300.83	-
B_cross	347085	29015	29	11	-1.000	0	0.6	1.8	-1.00	75.15	-
B_cross	396222	14099	14	11	-1.000	0	0.6	2.3	-1.00	96.07	pr123_pass4_prune,pr124_pass4_prune2
B_cross	179611	17004	17	11	-1.000	0	0.6	3.5	-1.00	173.77	-
B_cross	54453	74067	74	11	-1.000	0	0.6	1.9	-1.00	155.06	-
B_cross	318769	73045	73	11	-1.000	0	0.6	3.5	-1.00	153.17	pr123_pass4_prune
B_cross	54453	25032	25	11	-1.000	0	0.6	1.8	-1.00	166.61	-
B_cross	286655	30010	30	11	-1.000	0	0.6	2.5	-1.00	254.07	-
B_cross	96383	21013	21	11	-1.000	0	0.6	2.5	-1.00	201.85	-
B_cross	408304	21015	21	11	-1.000	0	0.6	0.3	-1.00	327.87	-
B_cross	423981	64071	64	2212	-1.000	0	0.6	8.6	-1.00	32.27	pr123_pass4_prune,pr124_pass4_prune2
B_cross	292027	61044	61	11	-1.000	0	0.6	1.3	-1.00	300.02	-
B_cross	395870	40005	40	2212	-1.000	0	0.6	3.3	-1.00	52.05	-
B_cross	398191	29005	29	11	-1.000	0	0.6	2.5	-1.00	299.80	-
B_cross	283713	72056	72	11	-1.000	0	0.6	3.0	-1.00	170.22	-
B_cross	94224	23018	23	11	-1.000	0	0.6	3.1	-1.00	410.63	-
B_cross	267597	32044	32	2212	-1.000	0	0.6	4.0	-1.00	72.82	pr123_pass4_prune
B_cross	318769	80052	80	13	-1.000	0	0.6	4.5	-1.00	79.79	pr123_pass4_prune
B_cross	396323	37017	37	11	-1.000	0	0.6	2.8	-1.00	132.10	-
B_cross	412242	27015	27	2212	-1.000	0	0.6	3.5	-1.00	264.77	-
B_cross	408304	15009	15	11	-1.000	0	0.6	3.0	-1.00	346.33	-
B_cross	347129	21001	21	11	-1.000	0	0.6	1.2	-1.00	163.20	-
B_cross	99838	18009	18	11	-1.000	0	0.6	3.7	-1.00	299.53	-
B_cross	167612	24003	24	11	-1.000	0	0.6	1.2	-1.00	85.23	-
B_cross	282979	58048	58	11	-1.000	0	0.6	0.1	-1.00	185.21	pr123_pass4_prune
B_cross	105946	59059	59	2212	-1.000	0	0.6	3.5	-1.00	114.48	pr123_pass4_prune
B_cross	285443	20004	20	11	-1.000	0	0.6	3.1	-1.00	273.21	-
B_cross	318703	18033	18	2212	-1.000	0	0.6	3.2	-1.00	275.77	-
B_cross	267597	12040	12	2212	-1.000	0	0.6	3.3	-1.00	298.93	pr123_pass4_prune
B_cross	176502	83046	83	13	-1.000	0	0.6	13.8	-1.00	93.47	pr123_pass4_prune,pr124_pass4_prune2
B_cross	38856	66070	66	13	-1.000	0	0.6	2.8	-1.00	91.29	pr123_pass4_prune
B_cross	410008	84012	84	11	-1.000	0	0.5	1.7	-1.00	144.62	-
B_cross	283713	70054	70	11	-1.000	0	0.5	1.5	-1.00	159.79	-
B_cross	168596	21080	21	2212	-1.000	0	0.5	2.9	-1.00	422.37	-
B_cross	122660	13022	13	11	-1.000	0	0.5	3.4	-1.00	217.68	-
B_cross	52044	27015	27	2212	-1.000	0	0.5	2.3	-1.00	265.15	-
B_cross	131357	52037	52	13	-1.000	0	0.5	1.9	-1.00	95.80	pr123_pass4_prune
B_cross	292027	19008	19	11	-1.000	0	0.5	1.6	-1.00	281.85	-
B_cross	55740	64030	64	2212	-1.000	0	0.5	4.2	-1.00	105.46	pr123_pass4_prune
B_cross	165157	13002	13	11	-1.000	0	0.5	3.4	-1.00	134.88	pr123_pass4_prune
B_cross	46363	48095	48	11	-1.000	0	0.5	1.1	-1.00	74.80	-
B_cross	444187	23071	23	11	-1.000	0	0.5	3.9	-1.00	87.40	-
B_cross	499423	21006	21	11	-1.000	0	0.5	7.1	-1.00	327.74	-
B_cross	347824	85019	85	11	-1.000	0	0.5	2.4	-1.00	53.32	-
B_cross	122660	17026	17	11	-1.000	0	0.5	1.7	-1.00	303.25	-
B_cross	281781	21010	21	2212	-1.000	0	0.5	3.3	-1.00	138.99	-
B_cross	396037	22003	22	11	-1.000	0	0.5	0.1	-1.00	364.96	-
B_cross	506746	20048	20	11	-1.000	0	0.5	3.6	-1.00	225.48	-
B_cross	437699	95055	95	13	-1.000	0	0.5	2.3	-1.00	30.02	pr123_pass4_prune
B_cross	408678	64035	64	11	-1.000	0	0.5	2.7	-1.00	404.00	-
B_cross	57709	16003	16	11	-1.000	0	0.5	1.0	-1.00	386.07	pr123_pass4_prune
B_cross	281485	23039	23	11	-1.000	0	0.5	1.2	-1.00	168.62	-
B_cross	408304	22016	22	2212	-1.000	0	0.5	3.5	-1.00	151.40	-
B_cross	396323	19015	19	11	-1.000	0	0.5	0.6	-1.00	377.32	-
B_cross	98844	14023	14	11	-1.000	0	0.5	0.4	-1.00	369.60	-
B_cross	171572	74013	74	11	-1.000	0	0.5	0.7	-1.00	133.18	-
B_cross	292027	63046	63	11	-1.000	0	0.5	0.7	-1.00	305.80	-
B_cross	280159	96115	96	11	-1.000	0	0.5	0.7	-1.00	254.08	-
B_cross	64409	11036	11	11	-1.000	0	0.5	0.7	-1.00	227.12	-
B_cross	58755	31005	31	11	-1.000	0	0.5	2.7	-1.00	172.80	-
B_cross	521075	25022	25	11	-1.000	0	0.5	1.9	-1.00	321.22	-
B_cross	94392	13021	13	11	-1.000	0	0.5	2.1	-1.00	303.20	-
B_cross	283713	25015	25	2212	-1.000	0	0.5	3.4	-1.00	161.82	-
B_cross	179048	20014	20	2212	-1.000	0	0.5	3.6	-1.00	325.19	pr123_pass4_prune
B_cross	180801	115079	115	11	-1.000	0	0.4	4.4	-1.00	160.88	pr124_pass4_prune2
B_cross	10550	17038	17	11	-1.000	0	0.4	2.6	-1.00	184.94	-
B_cross	318769	71043	71	11	-1.000	0	0.4	3.0	-1.00	158.31	pr123_pass4_prune
B_cross	401450	57066	57	11	-1.000	0	0.4	2.2	-1.00	382.92	-
B_cross	54453	36037	36	11	-1.000	0	0.4	1.0	-1.00	200.77	-
B_cross	318769	30006	30	11	-1.000	0	0.4	1.4	-1.00	277.49	pr123_pass4_prune
B_cross	486907	93050	93	13	-1.000	0	0.4	1.8	-1.00	82.42	pr124_pass4_prune2
B_cross	447477	19022	19	11	-1.000	0	0.4	1.6	-1.00	463.41	-
B_cross	321169	26025	26	11	-1.000	0	0.4	1.4	-1.00	291.38	-
B_cross	408304	16010	16	11	-1.000	0	0.4	0.1	-1.00	309.28	-
B_cross	403309	15001	15	11	-1.000	0	0.4	0.5	-1.00	446.90	-
B_cross	96383	38016	38	11	-1.000	0	0.4	3.1	-1.00	79.45	-
B_cross	167612	63027	63	11	-1.000	0	0.4	1.7	-1.00	243.27	-
B_cross	292027	62045	62	2212	-1.000	0	0.4	3.8	-1.00	313.60	-
B_cross	96383	20012	20	11	-1.000	0	0.4	0.2	-1.00	323.15	-
B_cross	283713	69053	69	11	-1.000	0	0.4	2.4	-1.00	165.53	-
B_cross	180801	22017	22	11	-1.000	0	0.4	4.9	-1.00	250.32	pr124_pass4_prune2
B_cross	284206	17035	17	11	-1.000	0	0.4	0.8	-1.00	81.60	-
B_cross	408678	24010	24	2212	-1.000	0	0.4	4.9	-1.00	412.05	-
B_cross	18625	51024	51	11	-1.000	0	0.4	3.9	-1.00	90.80	-
B_cross	415278	53083	53	11	-1.000	0	0.4	0.2	-1.00	128.46	pr123_pass4_prune,pr124_pass4_prune2
B_cross	393505	20016	20	11	-1.000	0	0.4	2.7	-1.00	254.60	-
B_cross	386442	21011	21	11	-1.000	0	0.4	1.2	-1.00	265.31	-
B_cross	394167	15016	15	11	-1.000	0	0.4	1.4	-1.00	348.87	-
B_cross	281639	27003	27	11	-1.000	0	0.4	1.4	-1.00	253.33	-
B_cross	394167	14015	14	11	-1.000	0	0.4	1.2	-1.00	353.36	-
B_cross	176533	13036	13	11	-1.000	0	0.4	1.8	-1.00	100.17	-
B_cross	349549	18015	18	11	-1.000	0	0.4	1.6	-1.00	172.95	pr123_pass4_prune
B_cross	406125	15010	15	11	-1.000	0	0.4	0.9	-1.00	212.71	-
B_cross	386442	64026	64	11	-1.000	0	0.4	2.4	-1.00	261.09	-
B_cross	285567	16048	16	11	-1.000	0	0.4	1.6	-1.00	234.03	-
