evt	status	flagged	NEARVTX	NEARVTX_flag	NEARVTX_q	HAD-A5	HAD-A5_flag	HAD-A5_q	HAD-ADJ	HAD-ADJ_flag	HAD-ADJ_q	EM-INT	EM-INT_flag	EM-INT_q	TRK-COR	TRK-COR_flag	TRK-COR_q	OTHER	OTHER_flag	OTHER_q	UNTYPED	UNTYPED_flag	UNTYPED_q
287249	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287277	NO_ZIP																						
287315	NO_ZIP																						
287431	NO_MAIN_VERTEX																						
287434	NO_ZIP																						
287517	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287522	NO_ZIP																						
287555	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287599	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287621	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287654	OK	2	2	2	0.1273	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287717	NO_ZIP																						
287759	NO_ZIP																						
287783	NO_ZIP																						
287825	OK	1	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	1	0.0416	0	0	0.0	0	0	0.0
287830	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
287896	NO_ZIP																						
288067	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288287	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288327	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288358	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288397	NO_ZIP																						
288468	NO_ZIP																						
288613	NO_ZIP																						
288639	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288727	NO_ZIP																						
288745	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288776	NO_ZIP																						
288859	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288864	NO_ZIP																						
288921	NO_ZIP																						
288947	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
288952	NO_ZIP																						
288974	NO_ZIP																						
289062	NO_ZIP																						
289141	MISSING_LAYER																						
289145	NO_ZIP																						
289251	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
289295	NO_ZIP																						
289343	NO_ZIP																						
289475	NO_ZIP																						
289493	NO_ZIP																						
289559	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
289647	NO_ZIP																						
289656	MISSING_LAYER																						
289805	NO_ZIP																						
289832	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
289849	NO_ZIP																						
290052	OK	1	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	1	1	0.1009	0	0	0.0	0	0	0.0
290069	NO_ZIP																						
290135	NO_ZIP																						
290201	NO_ZIP																						
290223	NO_ZIP																						
290294	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
290316	NO_ZIP																						
290329	NO_ZIP																						
290602	NO_ZIP																						
290712	NO_ZIP																						
290729	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
290800	NO_ZIP																						
290844	NO_ZIP																						
291037	OK	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0.0
