population	arm	tag	evt	call	j	k	nedge	nlab	verdict	flip	pair	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	blks	killed	gaps	excuses
nueCC48	work-pr57r4-scan48	root	90055	0	4	16	1	1	OK	0	via2	8.83	81.56	5.40	85	30.8	0	0	1.95	5399	59.8	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	4	22	1	1	OK	0	via3	8.83	22.44	0.71	85	15.8	0	0	2.20	4181	59.1	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	5	16	1	1	OK	0	SEP	0.66	81.56	5.40	4	54.2	0	6	2.20	3233	47.5	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	6	16	1	1	OK	0	SEP	4.15	81.56	5.40	28	23.8	0	0	2.00	2779	46.2	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	0	7	16	1	1	OK	0	via2	6.52	81.56	5.40	111	54.0	1	0	1.61	1282	80.8	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	90055	0	8	16	1	1	good	0	SEP	2.60	81.56	5.40	12	73.7	1	0	1.46	1289	80.5	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	90055	0	12	16	1	1	good	0	SEP	2.42	81.56	5.40	34	74.6	1	0	2.00	5875	46.5	closest	1	001	10
nueCC48	work-pr57r4-scan48	root	90055	0	14	16	1	1	OK	0	dir	1.81	81.56	5.40	17	67.0	0	0	1.00	7473	56.5	closest	0	100	01
nueCC48	work-pr57r4-scan48	root	90055	0	16	20	1	1	OK	0	via2	1.16	81.56	5.40	8	51.9	1	0	2.52	3955	69.4	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	90055	0	16	21	1	1	OK	0	SEP	3.04	81.56	5.40	29	35.0	1	0	2.33	3723	68.8	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	90055	0	20	21	1	1	OK	0	SEP	1.16	3.04	0.55	8	64.8	0	0	2.29	3499	71.0	closest	1	110	00
nueCC48	work-pr57r4-scan48	root	90055	0	23	26	2	1	OK	0	SEP	8.16	8.82	1.84	246	24.6	1	0	4.97	547	118.4	dir1|dir2	1|1	011|011	00|00
nueCC48	work-pr57r4-scan48	root	90055	0	25	26	1	1	OK	0	SEP	6.10	8.82	1.84	84	85.0	1	0	2.62	407	133.6	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	90055	0	29	30	1	1	OK	0	SEP	11.08	12.19	0.90	107	3.3	0	0	1.08	352	123.6	closest	1	100	00
nueCC48	work-pr57r4-scan48	root	90055	1	0	1	1	1	OK	0	via2	0.93	3.53	0.45	6	27.8	0	0	1.04	53	136.8	closest	1	100	01
nueCC48	work-pr57r4-scan48	root	111412	0	0	7	1	1	OK	0	via3	4.12	93.32	4.85	19	27.5	1	0	3.09	1039	25.3	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	111412	0	6	7	1	1	OK	0	dir	7.74	93.32	4.85	72	81.9	0	0	0.76	760	63.4	closest	0	010	00
nueCC48	work-pr57r4-scan48	root	122660	0	0	6	1	1	good	0	SEP	2.11	14.30	1.95	29	28.5	0	0	3.90	1654	64.9	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	122660	0	1	3	1	1	OK	0	SEP	0.94	5.84	0.66	4	46.1	0	1	2.59	1185	78.4	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	122660	0	1	4	1	1	OK	0	SEP	5.84	10.12	0.66	34	18.8	1	1	4.21	1207	74.3	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	122660	0	4	6	1	1	OK	0	SEP	10.12	14.30	1.95	68	3.7	1	0	0.92	1263	70.1	closest	1	001	10
nueCC48	work-pr57r4-scan48	root	122660	0	5	6	1	1	OK	0	SEP	8.87	14.30	1.95	185	5.6	1	0	1.20	1283	66.3	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	122660	0	7	8	1	1	OK	0	SEP	3.25	12.46	1.73	41	10.0	0	0	1.07	1054	81.7	closest	1	110	01
nueCC48	work-pr57r4-scan48	root	122660	0	7	9	1	1	OK	0	SEP	3.25	13.59	1.57	41	71.9	1	0	2.85	902	83.7	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	122660	0	8	9	1	1	OK	0	SEP	12.46	13.59	1.73	277	77.5	1	0	1.11	843	84.8	closest	1	101	00
nueCC48	work-pr57r4-scan48	root	122660	0	9	10	1	1	good	0	SEP	13.59	14.15	3.34	301	81.1	1	0	4.93	985	100.9	dir1	1	011	00
nueCC48	work-pr57r4-scan48	root	122660	0	9	18	1	1	OK	0	SEP	3.63	13.59	1.57	30	21.7	0	0	2.75	666	88.4	closest	1	110	00
nueCC48	work-pr57r4-scan48	root	122660	0	11	13	1	1	OK	0	SEP	2.33	10.49	0.82	22	59.3	0	0	2.69	2930	51.5	closest	1	010	00
nueCC48	work-pr57r4-scan48	root	122660	0	11	14	1	1	OK	0	SEP	2.33	29.07	3.92	22	87.3	1	0	0.76	2806	50.7	closest	1	001	01
nueCC48	work-pr57r4-scan48	root	122660	0	11	16	1	1	OK	0	SEP	2.33	15.49	1.73	22	51.8	1	0	1.71	2871	53.2	closest	1	011	00
nueCC48	work-pr57r4-scan48	root	122660	0	13	14	1	1	OK	0	SEP	10.49	29.07	3.92	170	28.1	1	0	0.85	2815	47.8	closest	1	001	00
nueCC48	work-pr57r4-scan48	root	122660	0	13	15	1	1	OK	0	SEP	10.49	11.97	1.05	170	58.6	1	0	4.46	2527	46.6	closest	1	101	00
