sample	run	subrun	event	cls	main_cid	n_fit	n_seg	sel_len_cm	n_assoc	fit_absx	n_near_neg	n_near_pos	gap3d_cm	dyz_cm	x_neg	x_pos	seg_neg	seg_pos	shower_neg	shower_pos	pid_neg	pid_pos	qgap3d_cm	q_n6_neg	q_n6_pos	q_farside_n	q_extrap_dperp	q_extrap_n	ql_joined	ql_cid_near	ql_cid_far	vtx_absx	vtx_y	vtx_z	vtx_is_main	vtx_nseg	vtx_seg_sides	nu_x	nu_y	nu_z	nu_sentinel	nu_absx	dqdx_in3	dqdx_3to15	dqdx_ratio
nuecc48	18409	1	214469	spanned	16	982	77	189.3	31	0.53	11	11	1.2	0.06	-0.67	0.53	16038	16038	0	0	2212	2212	2.16	71	60	60		0	1	16	16	31.57	3.2	301.2	1	2	0-	-31.57	3.16	301.19	0	31.57	47169	87681	0.538
nuecc48	18255	1	219295	no-contact	15	681	69	140.5	35	21.6	0	0																										96.6	52.45	95.68	0	96.6			
nuecc48	18255	1	234638	no-contact	10	787	74	136.4	42	13.14	0	0																										97.39	-19.95	389.19	0	97.39			
nuecc48	18255	1	235435	no-contact	2	233	19	64.6	8	82.7	0	0																										-82.98	182.07	171.12	0	82.98			
nuecc48	18255	1	239794	no-contact	2	858	83	118.7	41	114.42	0	0																										-171.36	-26.25	194.69	0	171.36			
nuecc48	18255	1	246579	no-contact	19	713	65	117.2	37	96.8	0	0																										-103.91	-59.53	29.54	0	103.91			
nuecc48	18306	1	256587	no-contact	11	1522	142	154.4	72	55.2	0	0																										-109.71	-25.14	245.86	0	109.71			
nuecc48	18279	1	267597	split	5	736	78	153.9	50	0.62	23	31	3.02	1.86	-1.06	1.31	12053	5039	0	0	11	11	1.94	76	146	146			1	5	5	0.62	-92.1	450.9	0	2	--	80.36	-128.77	369.99	0	80.36	54508	39688	1.373
nuecc48	18255	1	268067	eroded	15	382	38	131.0	17	2.97	0	2	17.57	9.15	-12.03	2.97	15001	21043	1	0	11	11	16.56	0	17	0						2.97	-65.2	345.3	0	1	+	-80.75	-64.19	281.09	0	80.75			
nuecc48	18255	1	268784	no-contact	13	755	71	157.7	36	9.24	0	0																										91.59	19.18	398.28	0	91.59			
nuecc48	18255	1	269774	eroded	13	1080	112	174.4	49	2.75	0	2	35.75	18.6	-20.07	10.46	19179	63215	1	0	11	13	55.81	0	0	0						2.75	-61.9	154.2	0	1	+	60.79	-10.66	111.5	0	60.79			
nuecc48	18255	1	271851	no-contact	114	96	27	13.0	26	43.33	0	0																										-161.79	19.35	342.18	0	161.79			
nuecc48	18269	1	342199	eroded	20	534	42	74.6	23	0.7	2	0	56.78	15.74	-43.84	10.71	25044	26045	1	0	11	11										0.7	199.2	197.8	0	1	-	-51.86	5.36	175.71	0	51.86			
nuecc48	18255	1	350186	one-sided	6	291	33	61.5	21	3.75	2	0																				3.75	63.3	347.5	0	1	-	-58.61	85.38	457.51	0	58.61			
nuecc48	18255	1	360535	no-contact	7	536	53	107.4	30	158.1	0	0																										-186.23	-109.74	81.59	0	186.23			
nuecc48	18255	1	389538	no-contact	19	1030	39	171.8	9	38.79	0	0																										-173.66	1.72	277.78	0	173.66			
nuecc48	18355	1	400474	eroded	18	935	63	104.1	24	4.18	0	14	201.54	184.68	-66.48	14.21	21065	22074	0	0	11	11										4.18	-70.2	394.3	0	2	++	59.19	-116.66	260.74	0	59.19			
nuecc48	18255	1	422851	no-contact	1	519	67	99.6	40	78.51	0	0																										-108.49	-58.5	345.18	0	108.49			
nuecc48	18255	1	423981	no-contact	12	671	53	124.4	32	11.03	0	0																										49.21	141.71	176.96	0	49.21			
nuecc48	18255	1	433451	no-contact	4	950	117	134.4	82	80.02	0	0																										-147.4	43.98	210.52	0	147.4			
nuecc48	18255	1	437699	eroded	11	660	50	103.9	22	0.59	0	16	164.29	96.17	-70.48	62.72	17025	98082	0	0	11	11	1.68	90	92	90	1.65	70	0	11	3	0.59	180.6	350.9	0	1	+	109.85	-149.4	155.41	0	109.85			
nuecc48	18253	1	444187	one-sided	19	487	21	170.5	6	2.14	0	38																				2.14	-15.9	213.1	0	1	+	39.63	-12.72	166.39	0	39.63			
nuecc48	18255	1	447477	no-contact	11	387	49	85.5	29	82.45	0	0																										117.97	-29.1	377.35	0	117.97			
nuecc48	18255	1	469665	eroded	15	448	25	111.7	10	4.2	2	5	13.92	9.94	-4.2	5.55	18038	33041	0	0	11	11	12.73	13	8	8			1	15	15	4.2	101.0	375.5	0	1	-	25.52	61.21	284.44	0	25.52			
nuecc48	18255	1	489330	no-contact	4	780	58	121.0	19	40.03	0	0																										-62.73	-161.02	105.49	0	62.73			
