evt	arm	nJ	dM	dJ	sM	sJ	degJ	tier	snap	path	rms	verdict
351749	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
352123	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
352233	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
353223	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
353729	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
353751	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
386332	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
386442	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
386948	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.4541465328135796	None	-
387850	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
388026	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
388224	work-pr104-bare-mcp1k	2	nan	nan	3	0	1	None	0	1.9496740870285072	None	-
389588	work-pr104-bare-mcp1k	2	nan	nan	0	1	2	None	0	1.0715270075592929	None	-
389874	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
390182	work-pr104-bare-mcp1k	1	nan	nan	4	0	1	None	0	2.79452877694888	None	-
390842	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.2650799126668053	None	-
390864	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
390996	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	1.5109854684892576	None	-
391238	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.26415381253147746	None	-
391260	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
391766	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
392552	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
393042	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
393212	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
393608	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.7221313788479806	None	-
394532	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
394642	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
394796	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
395148	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
395390	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.461318501982329	None	-
395610	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
395654	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
395962	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	3.19771603727457	None	-
397480	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	1.4438369072224275	None	-
397722	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.966389556493739	None	-
397920	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	4.429823656581219	None	-
398084	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	3.235352030837993	None	-
398260	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
398414	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
398436	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.12620340157118698	None	-
398514	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.3282600967296459	None	-
398690	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	3.2444298039271446	None	-
399052	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
399118	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
399328	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
399702	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	4.255374078126229	None	-
399856	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
399998	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
400054	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
400460	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
400504	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
400592	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
400636	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	1.8688906474208224	None	-
400856	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
401054	work-pr104-bare-mcp1k	2	nan	nan	1	0	1	None	0	4.270869506311422	None	-
401252	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
401450	work-pr104-bare-mcp1k	2	nan	nan	1	0	1	None	0	2.956844208109638	None	-
401516	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
401626	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
401780	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
402330	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
402506	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.6476314368208831	None	-
402880	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
404244	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
404684	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
405234	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
405432	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
405454	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.24101966584780682	None	-
405674	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
405740	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
406444	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.34149221539385505	None	-
406642	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.5749287147552197	None	-
406752	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
406796	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.343937010768364	None	-
407148	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
407280	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
407918	work-pr104-bare-mcp1k	1	nan	nan	1	1	3	None	0	4.613497503825637	None	-
408028	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
408534	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
409546	work-pr104-bare-mcp1k	1	nan	nan	0	1	2	None	0	1.8621572578300778	None	-
409634	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	1.3764145650645416	None	-
409920	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
409942	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
409964	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
410008	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
411460	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	2.3301586417987705	None	-
412208	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
48367	work-pr104-bare-mcp1k	2	nan	nan	1	0	1	None	0	3.065627188646156	None	-
486247	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
486687	work-pr104-bare-mcp1k	1	nan	nan	1	0	1	None	0	2.3516964628351253	None	-
486907	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
487303	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
487853	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
488139	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
488755	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
48895	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
489327	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
489503	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
490361	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
490581	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
490779	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	3.459956436965612	None	-
490977	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
491483	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
492649	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
492803	work-pr104-bare-mcp1k	1	nan	nan	2	0	1	None	0	3.603548729973129	None	-
492913	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
493243	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
49951	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
50303	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
50743	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.7388847220270276	None	-
50831	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
51051	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
51513	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
51865	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.4006580101814713	None	-
52085	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
52657	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
52723	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
53361	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
53427	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
53713	work-pr104-bare-mcp1k	1	nan	nan	0	0	1	None	0	0.19405311367994182	None	-
54175	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
54341	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
54351	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
55539	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
55595	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
55627	work-pr104-bare-mcp1k	0	nan	None	None	None	None	None	0	None	None	-
