sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV
mcp1k	18255	1	351705	0	2.582	2.749	10	1529336	0	nu-candidate	6	1	1	1	0	0.629	114.8	0	-125.34401	-82.80412	265.8191	1.6199428	-15.0	1.0	1.0	0.7	0.0	541.88104
mcp1k	18255	1	351749	0	2.542	3.078	9	1528088	0	nu-candidate	10	1	1	1	0	1.246	8.6	22	-132.2462	-6.949913	468.75256	-1.9266349	-15.0	1.0	0.0	0.7	0.0	152.33997
mcp1k	18255	1	351815	0	1.869	1.728	8	1192260	0	cosmic-tagged	15	1	1	0	1													
mcp1k	18255	1	352123	0	3.070	3.569	10	1530088	0	nu-candidate	12	1	1	1	0	1.507	65.1	0	185.66443	-59.20214	412.74258	0.2015211	-4.300936	1.0	0.0	0.7	0.0	387.46353
mcp1k	18255	1	352211	0	1.305	1.171	8	1193388	0	no-beam-flash	7	0	0	0	0													
mcp1k	18255	1	352233	0	4.790	3.182	11	1531632	0	nu-candidate	7	1	1	1	0	1.726	128.7	11	-64.653	106.990395	455.33643	2.0552213	-15.0	1.0	1.0	0.7	0.0	535.675
mcp1k	18255	1	352365	0	5.991	4.844	12	1528832	0	nu-candidate	10	1	1	1	0	0.722	217.9	5	-3.4412637	-5.4044056	76.63801	2.3394868	-4.300936	1.0	0.0	0.7	0.0	848.8483
mcp1k	18255	1	352915	0	2.595	1.358	9	1191928	0	cosmic-tagged	14	1	1	0	1													
mcp1k	18255	1	352937	0	3.790	1.622	10	1192624	0	nu-candidate	17	1	1	0	1													
mcp1k	18255	1	353179	0	1.222	1.069	8	1192772	0	no-bundle	8	0	1	0	0													
mcp1k	18255	1	353223	0	8.432	3.313	15	1529512	0	nu-candidate	11	1	1	1	0	1.072	62.4	2	-11.574424	-153.05789	480.7727	0.10420916	-15.0	1.0	0.0	0.7	0.0	631.1412
mcp1k	18255	1	353487	0	8.625	2.126	15	1194552	0	cosmic-tagged	10	1	1	0	1													
mcp1k	18255	1	353729	0	10.830	3.600	17	1192424	0	cosmic-tagged	15	1	1	0	1													
mcp1k	18255	1	353751	0	8.361	3.209	15	1528932	0	nu-candidate	11	1	1	1	0	1.004	159.8	2	-22.05506	17.47404	82.30046	1.9376049	-4.300936	1.0	0.0	0.7	0.0	688.7349
mcp1k	18255	1	386332	0	8.429	3.237	15	1528824	0	nu-candidate	10	1	1	1	0	1.845	34.5	7	-156.56947	-60.867264	419.60367	0.9461651	-15.0	1.0	0.0	0.7	0.0	517.48694
