evt	sample	src	carried	target	d_target	adm5	adm10	veto	reject_pick	M1	M2	M3	live_base	live_topo3	live_dlonly	live_trad	hit_M3
174576	mcp1k	human	0	5002	0.07	0	1	0	5002	25011	5002	5002	5002	5002	25011	5002	1
174637	nuecc48	human	0	9006	1.07	1	1	0	9006	9006	9006	9006	9006	9006	9006	9006	1
174661	mcp2k	ai-scanner	0	7002	0.57	1	1	0	7002	7002	7002	7002	7002	7002	7002	7002	1
174752	mcp1k	human	0	14000	0.00	0	0	0	48013	46006	48013	48013	48013	48013	46006	48013	0
174771	mcp2k	ai-scanner	0	15003	0.35	1	1	0	15005	15009	15009	15009	15009	15009	15009	15005	0
174795	mcp2k	human	0	19001	0.00	1	1	0	19001	43005	19001	19001	19001	19001	43005	19001	1
174896	mcp2k	human	0	13005	0.46	1	1	0	13008	13005	13005	13005	13005	13005	13005	13008	1
174928	mcp1k	human	0	9003	0.71	1	1	0	9003	9003	9003	9003	9003	9003	9003	9003	1
174993	mcp2k	human	0	7001	0.00	1	1	0	7001	7001	7001	7001	7001	7001	7001	7001	1
175016	mcp1k	human	0	19001	0.00	1	1	0	19000	19001	19001	19001	19001	19001	19001	19000	1
175057	mcp2k	human	0	13003	0.24	1	1	0	13003	13003	13003	13003	13003	13003	13003	13003	1
175094	mcp2k	ai-scanner	0	5002	0.73	0	1	0	5002	8003	5002	5002	5002	5002	8003	5002	1
175117	mcp2k	ai-scanner	0	17003	0.13	1	1	0	17003	17003	17003	17003	17003	17003	17003	17003	1
175808	mcp1k	human	0	18002	0.61	1	1	0	18002	18002	18002	18002	18002	18002	18002	18002	1
175814	mcp2k	ai-scanner	0	11002	0.46	1	1	0	11002	11002	11002	11002	11002	11002	11002	11002	1
175896	mcp1k	human	0	66035	2.82	1	1	0	None	66035	66035	66035	66035	66035	66035	None	1
175952	mcp2k	ai-scanner	0	10005	0.50	1	1	0	10005	10005	10005	10005	10005	10005	10005	10005	1
176150	mcp2k	human	0	50004	0.00	1	1	0	8001	50004	50004	50004	50004	50004	50004	8001	1
176502	mcp2k	human	0	109118	1.17	0	0	0	20008	20008	109134	109134	109134	109134	20008	20008	0
176533	mcp2k	human	0	11002	0.59	1	1	0	71100	71100	11002	11002	11002	11002	71100	71100	1
176810	mcp2k	ai-scanner	0	13002	0.00	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
176948	mcp2k	ai-scanner	0	20002	1.11	1	1	0	20002	20002	20002	20002	20002	20002	20002	20002	1
176986	mcp2k	human	0	47041	0.00	0	1	0	32010	43034	32010	32010	32010	32010	43034	32010	0
177068	mcp2k	human	0	5001	0.34	0	0	0	None	34020	None	None	None	None	34020	None	0
177149	mcp2k	ai-scanner	0	14002	1.33	1	1	0	14002	14002	14002	14002	14002	14002	14002	14002	1
177178	mcp2k	human	0	18001	2.54	0	1	0	18001	18001	18001	18001	18001	18001	18001	18001	1
177266	mcp2k	human	0	7004	4.11	1	1	0	7004	7002	7004	7004	7004	7004	7002	7004	1
177360	mcp2k	human	0	1001	0.42	1	1	0	1001	1001	1001	1001	1001	1001	1001	1001	1
177366	mcp2k	human	0	12003	3.82	0	1	0	12004	12004	12004	12004	12004	12004	12004	12004	0
177521	mcp2k	ai-scanner	0	8002	0.05	0	0	0	8002	36035	8002	8002	8002	8002	36035	8002	1
177536	mcp2k	ai-scanner	0	77017	0.21	1	1	0	17001	77017	77017	77017	77017	77017	77017	17001	1
177939	mcp2k	human	0	11001	0.17	1	1	0	11002	27006	11002	11002	11002	11002	27006	11002	0
177961	mcp2k	ai-scanner	0	11004	0.58	0	1	0	11004	11001	11004	11004	11004	11004	11001	11004	1
178225	mcp2k	human	0	9001	0.20	0	0	0	9001	31022	9001	9001	9001	9001	31022	9001	1
178350	mcp2k	human	0	15001	0.00	1	1	0	15001	15001	15001	15001	15001	15001	15001	15001	1
178388	mcp2k	ai-scanner	0	6002	0.54	1	1	0	6002	34006	6002	6002	6002	6002	34006	6002	1
178445	mcp2k	human	0	29013	5.53	0	0	0	None	15006	8001	None	None	8001	15006	None	0
178535	mcp2k	human	0	2000	0.00	0	1	0	2001	2001	2001	2001	2001	2001	2001	2001	0
178570	mcp2k	ai-scanner	0	19003	0.94	1	1	0	19003	19003	19003	19003	19003	19003	19003	19003	1
178645	mcp2k	human	0	15002	0.34	0	1	0	15000	15000	15000	15000	15000	15000	15000	15000	0
178865	mcp2k	human	0	2001	1.38	0	1	0	2001	2001	2001	2001	2001	2001	2001	2001	1
178885	mcp2k	ai-scanner	0	49023	1.92	0	0	0	9001	26009	9001	9001	9001	9001	26009	9001	0
179048	mcp2k	human	0	17001	0.00	0	1	0	17008	17007	17007	17008	17008	17007	17007	17008	0
179054	mcp2k	ai-scanner	0	22001	0.34	1	1	0	22001	22001	22001	22001	22001	22001	22001	22001	1
179246	mcp2k	human	0	14001	0.00	0	0	0	14001	78015	78015	78015	78015	78015	78015	14001	0
179369	mcp2k	human	0	17001	0.00	0	0	0	17001	104062	17001	17001	17001	17001	104062	17001	1
179604	mcp2k	human	0	11006	0.77	1	1	0	11006	11006	11006	11006	11006	11006	11006	11006	1
179611	mcp2k	ai-scanner	0	10002	0.25	1	1	0	10002	10002	10002	10002	10002	10002	10002	10002	1
179752	mcp2k	ai-scanner	0	15002	0.47	1	1	0	15002	15002	15002	15002	15002	15002	15002	15002	1
179765	mcp2k	ai-scanner	0	4003	0.12	1	1	0	4003	4003	4003	4003	4003	4003	4003	4003	1
179897	mcp2k	ai-scanner	0	24002	0.54	1	1	0	24001	24002	24002	24002	24002	24002	24002	24001	1
179912	mcp2k	human	0	1003	0.65	1	1	0	1003	1000	1000	1000	1000	1000	1000	1003	0
180117	mcp2k	human	0	12002	0.28	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
180544	mcp2k	ai-scanner	0	10005	0.15	0	0	0	10004	10004	10004	10004	10004	10004	10004	10004	0
180645	mcp2k	human	0	3002	0.22	1	1	0	3002	3002	3002	3002	3002	3002	3002	3002	1
180698	mcp2k	human	0	11001	0.07	0	0	0	11001	26008	11001	11001	11001	11001	26009	11001	1
180801	ncpi0	human	0	109073	0.00	1	1	0	15002	114106	15007	15002	15002	15007	114106	15002	0
196649	nuecc48	human	0	11028	0.17	1	1	0	11028	11028	11028	11028	11028	11028	11028	11028	1
214469	nuecc48	human	0	16013	0.22	1	1	0	16013	16013	16013	16013	16013	16013	16013	16013	1
219295	nuecc48	human	0	15003	0.09	1	1	0	15003	15003	15003	15003	15003	15003	15003	15003	1
234638	nuecc48	human	0	10006	0.73	1	1	0	10006	10006	10006	10006	10006	10006	10006	10006	1
235435	nuecc48	human	0	2001	0.00	0	1	0	2012	2018	2018	2018	2018	2018	2018	2012	0
236610	mcp2k	ai-scanner	0	12003	0.85	1	1	0	12003	12003	12003	12003	12003	12003	12003	12003	1
237292	mcp2k	human	0	10003	0.75	0	0	0	10002	52014	10002	10002	10002	10002	52014	10002	0
237446	mcp2k	ai-scanner	0	12001	1.83	1	1	0	12001	12001	12001	12001	12001	12001	12001	12001	1
237798	mcp2k	human	0	13002	0.33	1	1	0	13002	13002	13002	13002	13002	13002	13002	13002	1
239794	nuecc48	human	0	2003	0.70	1	1	0	2003	2003	2003	2003	2003	2003	2003	2003	1
240372	mcp2k	ai-scanner	0	16006	0.13	1	1	0	16006	16006	16006	16006	16006	16006	16006	16006	1
240636	mcp2k	human	0	12002	0.14	1	1	0	12002	12002	12002	12002	12002	12002	12002	12002	1
241626	mcp2k	ai-scanner	0	13001	1.79	1	1	0	13001	16004	13001	13001	13001	13001	16004	13001	1
242000	mcp2k	ai-scanner	0	14003	2.07	1	1	0	14003	14003	14003	14003	14003	14003	14003	14003	1
242022	mcp2k	human	0	16001	0.00	0	0	0	16001	33015	16001	16001	16001	16001	33015	16001	1
242484	mcp2k	human	0	9001	0.00	0	1	0	9001	26013	9001	9001	9001	9001	26013	9001	1
242550	mcp2k	ai-scanner	0	14004	0.38	1	1	0	14004	14004	14004	14004	14004	14004	14004	14004	1
242726	mcp2k	ai-scanner	0	20002	0.15	1	1	0	20002	20002	20002	20002	20002	20002	20002	20002	1
242814	mcp2k	ai-scanner	0	10009	0.12	1	1	0	10001	10009	10009	10009	10009	10009	10009	10001	1
243628	mcp2k	ai-scanner	0	15003	0.65	0	1	0	15004	25011	15004	15004	15004	15004	25011	15004	0
246579	nuecc48	human	0	19006	0.28	1	1	0	19058	19006	19006	19006	19006	19006	19006	19058	1
256587	nuecc48	human	0	11082	0.48	1	1	0	11082	11082	11082	11082	11082	11082	11082	11082	1
259542	ncpi0	human	0	129167	2.31	0	0	0	None	None	17001	17001	17001	17001	None	None	0
