event	node	fired	veto	b_cxx_cm	b_offline_cm
99838	14004	0	0	3.900	3.900
99838	48024	0	0	1.440	1.442
99838	58038	0	0	2.370	2.371
105946	55063	0	0	1.540	1.542
142421	108104	0	0	2.770	2.771
180801	15083	0	0	2.220	2.219
180801	15082	0	0	7.320	7.315
180801	112061	0	0	44.030	44.029
180801	114078	0	0	23.910	23.907
18625	126059	0	0	2.770	2.769
21073	60081	0	0	7.700	7.702
21073	63100	1	1	34.530	34.527
259542	81053	0	0	97.410	97.406
259542	87059	0	0	29.470	29.466
259542	88060	0	0	61.330	61.329
259542	120068	0	0	38.120	38.116
285567	8107	0	0	0.540	0.543
285567	121096	0	0	4.710	4.707
314838	110088	1	0	8.320	8.320
359980	21035	0	0	0.720	0.716
359980	75089	0	0	5.770	5.766
37112	67048	0	0	5.350	5.354
37112	84074	0	0	2.650	2.655
399860	17062	0	0	1.280	1.279
463565	13001	1	0	3.020	3.016
463565	109073	0	0	24.280	24.281
463565	114086	0	0	24.700	24.696
463565	115088	0	0	5.190	5.192
506114	19022	0	0	1.470	1.467
506746	21067	0	0	18.260	18.259
506746	21056	0	0	0.750	0.745
506746	69124	0	0	3.230	3.230
521075	18007	0	0	1.440	1.440
56982	22046	0	0	2.140	2.136
56982	22116	0	0	2.630	2.626
56982	22118	1	1	16.190	16.195
56982	22119	0	0	2.120	2.124
71372	19049	0	0	1.460	1.456
71372	94132	0	0	4.900	4.895
71372	97140	0	0	10.810	10.813
84229	69134	1	0	7.440	7.444
10550	7036	0	0	2.530	2.529
111412	18061	0	0	3.960	3.960
116962	21070	0	0	0.950	0.952
116962	21072	0	0	0.620	0.620
116962	21073	0	0	2.710	2.706
116962	22025	0	0	24.370	24.368
116962	58035	0	0	6.670	6.672
122660	9111	1	0	9.030	9.030
122660	9110	0	0	10.530	10.533
122660	53070	0	0	87.050	87.050
122660	54071	0	0	66.470	66.466
131357	12014	0	0	3.760	3.757
137238	143056	0	0	2.910	2.909
138009	12088	0	0	0.450	0.446
163543	14123	0	0	2.010	2.013
