event	arm	seg	pdg	len_cm	med_dqdx_mip	cur	cur_nseg	cur_len_cm	owner	divert	pair_dis_cm	front_dis_cm	body_dis_cm	snap_dis_cm	angle_v1	angle_v2	tier	trk	seg_mark	marked_shower	verdict	label_tag
37112	work-pr123r1-dbgA2-ncpi0	63044	11	4.97	1.036	9008	14	28.5	9008	0	130.4	101.66	14.44	99.99	4.55	5.3	1	1				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	64045	11	3.08	1.334	9008	15	33.4	67048	1	129.52	100.88	3.81	99.18	6.06	6.98	1	0				emscan-0827
37112	work-pr123r1-dbgA2-ncpi0	82061	2212	0.39	2.666	9008	15	33.4	67048	1	78.52	50.18	5.67	48.33	8.31	10.53	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	63031	13	1.53	0.553	105072	16	89.6	105072	0	35.34	29.44	3.98	3.95	11.16	10.98	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	64032	11	1.43	0.757	105072	17	91.1	105072	0	55.16	49.72	15.83	15.83	13.94	16.11	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	65033	11	1.11	0.281	105072	18	92.5	105072	0	50.04	44.26	4.41	4.41	2.72	2.5	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	67035	11	2.94	1.152	105072	19	93.6	105072	0	47.03	41.34	4.96	4.96	7.66	8.88	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	71040	11	1.78	0.368	105072	20	96.6	105072	0	36.49	30.76	4.82	4.82	3.76	5.13	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	71042	11	5.0	0.903	105072	21	98.3	105072	0	37.72	32.03	0.0	4.51	2.51	4.77	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	71043	13	2.13	0.655	105072	22	103.4	105072	0	41.64	36.16	0.0	6.0	7.09	10.54	1	1	TARGET	2103		emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	35003	13	0.4	1.216	109100	2	13.9	109100	0	77.59	50.4	38.72	38.72	6.45	11.23	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	36004	13	0.57	1.169	109100	3	14.3	109100	0	62.4	35.05	16.87	23.63	10.11	15.5	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	38006	13	1.73	1.008	109100	4	14.9	109100	0	55.2	28.56	13.28	17.32	4.94	16.81	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	40008	13	2.34	0.792	109100	5	16.6	109100	0	49.04	21.31	9.05	9.94	3.62	2.89	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	66034	13	0.17	1.142	109100	6	19.0	109100	0	108.03	80.13	33.89	68.94	6.06	5.47	3	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	68036	11	1.88	1.21	109100	7	19.1	109100	0	86.16	58.71	12.25	47.25	0.87	4.99	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	69037	13	0.49	0.664	109100	8	21.0	109100	0	87.22	60.15	9.44	49.28	6.51	11.19	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	75047	13	0.71	0.345	109100	9	21.5	109100	0	83.24	55.74	3.43	44.42	1.53	4.66	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	106089	13	1.42	1.211	109100	10	22.2	109100	0	61.35	33.53	7.12	22.14	4.5	2.6	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	107092	11	0.94	1.347	109100	11	23.6	109100	0	78.7	51.06	4.64	39.76	2.06	2.92	1	0				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	107094	13	20.51	1.092	109100	12	24.6	109100	0	59.1	31.34	2.45	20.04	3.39	0.73	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	107095	11	3.09	0.825	109100	13	45.1	109100	0	59.1	31.34	0.0	20.04	3.39	0.73	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	108096	2212	0.36	1.629	109100	14	48.2	109100	0	48.85	21.11	0.13	9.74	3.75	2.85	1	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	60028	13	0.32	0.747	59027	1	4.3	59027	0	81.67	35.94	32.1	32.1	6.0	17.69	2	1				emscan-0827
47212	work-pr123r1-dbgA2-mcp2k	61029	13	0.34	0.649	59027	2	4.6	59027	0	73.35	28.16	10.92	24.6	8.65	24.93	1	1				emscan-0827
52044	work-pr123r1-dbg141v2-mcp2k	56027	13	0.64	0.776	58029	1	11.2	58029	0	87.53	28.13	18.76	18.76	10.22	3.0	1	1	TARGET	24035	correct	emscan-0828-agent5
52044	work-pr123r1-dbg141v2-mcp2k	57028	13	0.34	1.153	58029	2	11.8	58029	0	73.27	13.85	4.71	4.71	11.77	9.03	1	1	TARGET	24035	correct	emscan-0828-agent5
52044	work-pr123r1-dbg141v2-mcp2k	60031	2212	0.75	1.61	58029	3	12.2	58029	0	88.97	28.59	8.6	19.43	15.56	14.67	1	1	TARGET	24035	correct	emscan-0828-agent5
52044	work-pr123r1-dbg141v2-mcp2k	61032	2212	0.88	1.752	58029	4	12.9	58029	0	96.03	35.72	6.94	26.74	16.87	18.64	1	1	TARGET	24035	correct	emscan-0828-agent5
52672	work-pr123r1-dbgA2-nuecc48	33028	2212	0.28	1.71	9011	10	95.0	9011	0	125.88	83.61	38.65	38.65	11.51	15.91	3	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	34029	13	1.61	1.401	9011	11	95.3	9011	0	122.18	79.73	3.51	34.8	10.41	14.5	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	35030	11	1.69	1.197	9011	12	96.9	9011	0	104.58	62.0	16.77	18.75	9.0	13.42	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	36031	13	0.31	0.634	9011	13	98.6	9011	0	115.92	73.06	11.87	29.68	6.72	9.49	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	37032	13	0.18	1.165	9011	14	98.9	9011	0	119.98	78.75	18.97	35.05	15.8	22.57	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	38033	2212	0.54	1.888	9011	15	99.1	9011	0	140.19	97.53	19.64	51.37	9.47	12.58	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	39034	11	3.0	0.93	9011	16	99.6	9011	0	113.55	70.52	4.32	27.4	4.72	6.65	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	40035	13	0.5	0.767	9011	17	102.6	9011	0	120.77	77.77	6.47	34.91	4.54	6.41	1	1				emscan-0827
52672	work-pr123r1-dbgA2-nuecc48	41036	2212	2.35	1.544	9011	18	103.1	9011	0	172.76	129.56	38.46	84.26	2.24	2.68	3	1				emscan-0827
