evt	call	j	k	nedge	Lmin	Lmax	Tmax	npmin	angle	gw	wdeadX	dis	dens	dvtx	pair	verdict	conf	rule
409634	0	2	3	1	7.95	9.05	0.87	107	13.6	1	0	1.59	305	49.0	SEP	bad	low	R2w thin collinear pair across a W gap
409634	1	1	2	1	5.58	14.40	1.41	49	54.5	0	6	1.25	347	1.4	SEP	bad	high	R2d dead-W band
409634	1	4	6	1	1.89	4.90	0.61	20	77.6	0	0	1.25	179	12.3	SEP	good	low	R4 residual, committed good
409964	0	0	1	2	22.86	172.25	10.27	258	25.9	0	6	1.13	336	73.0	SEP	bad	high	R2 long-track break, no W gap
410008	0	0	5	1	4.93	23.90	1.86	34	79.4	1	0	3.25	1373	173.3	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
410008	0	2	3	1	3.56	15.60	2.53	28	50.7	0	0	3.46	1356	171.8	SEP	good	low	R4 residual, committed good
410008	0	2	5	1	3.56	4.93	0.54	28	7.5	0	0	1.39	1373	172.4	SEP	good	low	R4 residual, committed good
410008	0	3	4	1	7.94	15.60	2.53	94	18.1	0	0	0.92	1161	170.0	dir	bad	high	R2 long-track break, no W gap
410008	0	3	5	1	4.93	15.60	2.53	34	46.5	0	0	1.05	1312	172.0	SEP	good	low	R4 residual, committed good
486687	0	0	1	3	60.68	212.90	2.54	825	10.6	0	0	0.85	260	211.2	dir	bad	high	R2 long-track break, no W gap
486687	0	4	5	1	8.64	22.72	1.59	168	89.0	0	0	1.65	481	92.0	SEP	bad	high	R2 long-track break, no W gap
487303	0	0	1	1	13.60	21.04	1.77	92	5.8	0	0	3.20	496	315.8	SEP	bad	high	R2 long-track break, no W gap
487853	0	0	3	1	10.16	20.27	1.29	177	51.0	0	0	4.83	531	19.7	SEP	bad	high	R2 long-track break, no W gap
487853	0	2	3	1	10.16	16.23	2.26	230	54.1	0	0	3.00	549	23.5	SEP	bad	high	R2 long-track break, no W gap
487853	0	3	4	1	2.13	10.16	1.29	8	88.1	1	0	1.25	498	24.9	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
487853	0	3	5	1	0.35	10.16	1.29	2	68.3	1	0	1.29	526	25.1	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
488755	0	0	1	1	7.25	31.09	0.62	74	16.6	0	0	1.73	198	7.4	SEP	bad	high	R2 long-track break, no W gap
489327	0	2	3	1	118.98	222.50	4.86	1812	5.5	0	6	1.42	394	116.5	SEP	bad	high	R2 long-track break, no W gap
489503	0	0	2	1	0.63	129.30	6.08	6	73.7	1	0	1.40	275	129.5	SEP	good	high	R3 W-plane gap (robust plane sees a hole)
489503	0	1	2	1	1.85	129.30	6.08	13	65.7	0	0	1.95	345	123.9	SEP	good	low	R4 residual, committed good
490977	0	0	1	1	5.53	23.08	1.44	127	54.4	0	0	1.11	432	32.5	SEP	good	low	R4 residual, committed good
