setname	sample	event	labelsrc	gamma	e_lab	e_sh	ratio	e_sibs	nsibs	klass
141	mcp1k	286655	overlay	1	236.7	225.4	0.95	0.0	0	OK
141	mcp1k	286655	overlay	2	201.3	191.7	0.95	0.0	0	OK
141	mcp1k	292027	base	1	259.1	264.9	1.02	0.0	0	OK
141	mcp1k	292027	base	2	65.5	62.4	0.95	0.0	0	OK
141	mcp2k	292524	base	1	329.8	290.8	0.88	0.0	0	OK
141	mcp2k	292524	base	2	38.1	44.1	1.16	0.0	0	OK
141	mcp2k	347824	base	1	528.0	-1	-1	0	0	ABSENT
141	mcp2k	347824	base	2	137.0	207.9	1.52	0.0	0	OVER
141	mcp1k	348691	overlay	1	324.2	308.8	0.95	0.0	0	OK
141	mcp1k	348691	overlay	2	115.1	109.6	0.95	0.0	0	OK
141	mcp1k	349549	overlay	1	442.1	421.0	0.95	0.0	0	OK
141	mcp1k	349549	overlay	2	231.4	220.4	0.95	1.8	1	OK
141	mcp2k	392901	overlay	1	196.6	187.3	0.95	0.0	0	OK
141	mcp2k	392901	overlay	2	106.1	101.1	0.95	160.3	1	OK
141	mcp2k	397630	overlay	1	128.7	122.6	0.95	0.0	0	OK
141	mcp2k	397630	overlay	2	114.0	108.6	0.95	0.0	0	OK
141	mcp1k	399118	base	1	130.5	136.7	1.05	0.0	0	OK
141	mcp1k	399118	base	2	55.5	53.5	0.96	0.0	0	OK
141	mcp1k	400504	base	1	153.5	146.2	0.95	0.0	0	OK
141	mcp1k	400504	base	2	63.9	64.4	1.01	0.0	0	OK
141	mcp2k	403023	base	1	131.0	124.7	0.95	0.0	0	OK
141	mcp2k	403023	base	2	96.8	95.2	0.98	0.0	0	OK
141	mcp1k	486907	overlay	1	457.7	435.9	0.95	0.0	0	OK
141	mcp1k	486907	overlay	2	154.9	147.5	0.95	210.9	4	OK
141	mcp1k	489327	base	1	237.2	345.0	1.45	0.0	0	OVER
141	mcp1k	489327	base	2	46.4	44.1	0.95	0.0	0	OK
141	mcp2k	499577	base	1	103.7	99.8	0.96	0.0	0	OK
141	mcp2k	499577	base	2	40.8	38.9	0.95	0.0	0	OK
