# doc pr/138 Phase A -- per-object scan result + features
event	node	stratum	proxy_cls	track_typed	owner_verdict	owner_conf	owner_nparts	agent_verdict	proposal_fired	half	valley_best	d2_best	frac_best	angle_best	valley	d2_over_d1	seed_frac	n_seed	angle	balance	gap_cm	gap_scaled	w_pull	sep_scaled	vgap_min	dedx15_min	n_2mip	r_ratio	q_ratio	m_pi0	nseg	npts	Q
292005	46017	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	0.02559	0.01664	0.01468	3	41.93	0.02313	34.58	6.994	0.7135	7.004	24.1	nan	0	0.5989	0.259	12.82	5	34	2.415e+06
292524	9018	S1	SINGLE	1	TRIM	high	1	KEEP	0	fit	1	0.198	0.04866	12.37	1	0.367	0.009705	3	11.49	0.03852	9.853	1.643	-1.217	2.856	0	0.6899	0	3.121	2.727	12.28	14	352	1.087e+07
292643	25015	S3	SINGLE	0	SPLIT2	high	2		1	holdout	0.2979	0.9145	0.148	14.7	1	0.4594	0.148	4	18.05	0.4	19.97	3.405	4.468	4.328	46.84	0.7996	1	nan	nan	22.16	10	89	3.029e+06
293149	4001	S3	SINGLE	0	SPLIT2	high	2		0	holdout	1	0.8461	0.3088	9.334	1	0.9321	0.3444	3	16.49	0.3795	0	0	0.8318	2.338	0	0.6945	0	nan	nan	29.88	9	142	4.361e+06
293536	15027	S1	SINGLE	0	TRIM	high	1		0	fit	1	0	0	0	1	0.5903	0.02217	4	127.5	0.02333	15.71	4.188	1.408	2.962	0	1.518	0	0.2101	0.532	17.68	4	32	1.439e+06
294174	16004	S3	SINGLE	0	SPLIT2	high	2		1	fit	1.953e-05	0.1309	0.1099	24.1	1.953e-05	0.1309	0.1099	2	24.21	0.1099	149.5	14.23	8.583	9.774	231.7	0.9848	1	4.221	0.1164	6.655	5	29	1.126e+06
294174	71067	S3	SINGLE	0	SPLIT2	medium	2	SPLIT2	1	fit	0.6987	0.6379	0.3392	10.64	0.6987	0.6379	0.3392	4	21.41	0.03518	43.33	6.018	3.424	6.608	108.1	0.4761	0	2.209	0.2495	8.934	14	74	2.413e+06
314838	110088	S2	MERGED	0	SPLIT2	high	2	SPLIT2	1	fit	0.7818	0.9165	0.03665	22	1	0.3634	0.005016	4	57.49	0.00419	23.92	4.742	0.9418	9.897	12.36	1.844	1	nan	nan	48.43	37	454	1.393e+07
317939	26001	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	12.55	0.03306	13.62	3.48	-1.735	0.6702	0	0.1845	0	0.2952	0.1999	3.377	4	43	1.384e+06
317939	30022	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.6076	0.06242	7.325	1	0.6076	0.06242	4	21.37	0.01255	13.51	2.859	-0.7948	3.192	12.04	0.5559	0	nan	nan	16.31	28	197	6.925e+06
318769	31026	S3	SINGLE	0	KEEP	high	1	SPLIT2	1	holdout	0.3008	0.7959	0.2479	50.93	0.3008	0.7959	0.2479	4	44.09	0.4007	8.703	1.816	7.868	6.736	38.18	0.6864	0	0.3564	0.5087	77.51	12	100	3.78e+06
318769	143101	S3	SINGLE	0	KEEP	high	1		1	holdout	0.2979	0.344	0.198	34.14	0.2979	0.344	0.198	4	26.62	0.4376	18.37	3.333	7.453	5.716	43.43	0.3354	0	0.5669	0.2271	22.22	12	53	1.687e+06
321169	16055	S1	SINGLE	0	SPLIT3	high	3		0	holdout	1	0.6754	0.316	34.58	1	0.6754	0.316	3	141.2	0.01241	2.228	0.5716	0.06151	5.529	0	1.029	0	0.4319	1.471	27.52	7	59	1.722e+06
321767	45019	S3	SINGLE	0	KEEP	high	1		0	holdout	0.8038	0.6544	0.243	79.28	1	0.6708	0.1743	4	61.71	0.4894	0	0	7.298	5.041	19.58	0.824	0	nan	nan	108.8	5	105	3.45e+06
342199	25109	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.3081	0.08455	6.74	1	0.3081	0.08455	3	28.31	0.02061	56.8	9.34	1.36	7.122	81.34	0.1289	0	2.118	0.1118	3.907	8	55	1.346e+06
342199	74101	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	3.339	0.08688	0	0	-1.946	0.6784	57.17	0.8118	1	1.484	0.1113	1.029	3	24	1.339e+06
348691	49046	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0.3414	0.08944	15.84	1	0.3414	0.08944	4	49.38	0.009859	8.471	1.898	-0.6298	5.881	7.908	0.8216	0	0.4245	1.393	24.89	10	154	4.506e+06
350354	18092	S1+S2	MERGED	0	SPLIT2	high	2	SPLIT2	1	fit	0.08404	0.3164	0.153	166.6	1	0.5366	0.1842	4	166.3	0.1534	8.922	1.821	3.043	18.97	0	nan	0	nan	nan	431.5	51	350	1.01e+07
359980	75089	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.2065	0.03846	14.08	1	0.2065	0.03846	4	16.72	0.009713	12.81	2.635	-0.6016	2.722	24.52	1.593	0	1.103	0.2709	4.467	10	78	2.637e+06
386948	16002	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.3689	0.1943	15.14	1	0.5706	0.1544	4	11.75	0.3253	0	0	0.9416	2.659	57.22	0.7412	0	1.261	0.7149	15.19	11	174	6.525e+06
386948	91060	S2	MERGED	0	KEEP	high	1	KEEP	0	fit	1	0.3756	0.1528	7.042	1	0.3756	0.1528	4	30.66	0.02987	24.25	4.256	1.869	6.96	49.11	0.6496	0	1.287	0.5814	23.89	14	160	5.307e+06
389538	19021	S3	SINGLE	1	KEEP	high	1	KEEP	0	fit	0.09146	0.9267	0.2436	15.66	0.6522	0.9753	0.2259	4	10.49	0.4075	0	0	5.763	3.919	169.5	0.9183	1	0.8745	4.357	84.15	11	315	1.708e+07
390182	4008	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.09258	0.06012	86.46	1	0.2924	0.02054	4	56.95	0.02056	24.67	6.302	0.2708	2.919	3.195	0.1831	0	nan	nan	16.61	3	50	2.114e+06
392901	127030	S1	SINGLE	0	KEEP	high	1	KEEP	0	holdout	1	0	0	0	1	0.07392	0.01477	2	11.3	0.01477	30.54	5.329	-0.9541	2.619	34.79	0.7601	0	0.8076	0.444	3.808	6	144	4.709e+06
393212	6009	S1	SINGLE	0	SPLIT2	high	2		1	fit	0.1609	0.04587	0.03652	33.14	1	0.1416	0.02733	4	44.66	0.006735	63.1	12.76	4.849	7.433	26.08	1.537	0	nan	nan	17.91	25	134	4.575e+06
393505	63025	S1	SINGLE	0	KEEP	high	1		1	holdout	0.007095	0.453	0.03882	60.97	0.2675	0.1222	0.08987	4	32.42	0.1324	36.15	6.616	7.631	6.822	58.33	0.4792	0	nan	nan	13.64	9	45	1.349e+06
394167	11009	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.1428	0.003719	4	60.02	0.003379	27.41	5.831	0.2529	8.464	0	1.113	0	nan	nan	25.4	24	234	7.127e+06
396037	69026	S3	SINGLE	0	KEEP	high	1	UNSURE	1	holdout	0.7458	0.6554	0.3248	32.9	0.7458	0.6554	0.3248	4	36.18	0.3379	10.57	2.496	3.388	3.428	17.69	0.9033	0	nan	nan	38.9	10	48	2.216e+06
396222	9059	S2	MERGED	0	SPLIT4+	low	4	SPLIT3	1	fit	0.3126	0.871	0.2425	36.62	0.3126	0.871	0.2425	4	81.5	0.003395	35.65	6.855	9.211	14.41	14.5	0.4639	0	0.9548	2.148	218.6	123	1331	4.6e+07
396222	9084	S2	MERGED	0	SPLIT3	high	3		0	fit	0.3517	0.9291	0.1372	46.65	0.7782	0.5331	0.2451	4	43.71	0.3131	0	0	14.6	8.484	32.22	0.6003	0	1.047	0.4656	60.53	25	556	2.142e+07
396222	97175	S2	MERGED	0	KEEP	high	1		0	fit	1	0.5016	0.3607	10.25	1	0.5016	0.3607	3	17.96	0.05552	15.4	2.758	0.9529	3.968	55.86	nan	0	1.236	0.02537	4.952	8	40	1.167e+06
399052	64067	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	2.316	0.06325	0	0	-2.39	0.4067	39.05	0.7783	0	1.108	0.287	1.077	3	54	1.858e+06
406125	8059	S3	SINGLE	0	KEEP	high	1		0	holdout	1	0.6987	0.154	9.612	1	0.7308	0.2091	3	17.21	0.06472	7.01	1.661	0.686	1.617	0	0.5547	0	0.5681	0.6092	10.65	12	69	2.408e+06
406125	38021	S1+S2	MERGED	0	SPLIT2	high	2		1	holdout	0.3914	0.4437	0.2919	32.38	0.3914	0.4437	0.2919	4	53.38	0.0249	23.48	4.984	5.785	7.655	3.346	0.6727	0	1.76	1.642	25.65	14	79	3.952e+06
407918	17010	S1	SINGLE	0	KEEP	high	1		0	fit	0.9807	0.107	0.07344	44.23	1	0.4533	0.1132	4	49.35	0.0196	27.4	6.052	4.848	6.206	14.68	1.654	1	nan	nan	20.61	10	74	2.695e+06
408304	9039	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0.05853	0.006257	4	139.9	0.01739	38.54	9.629	1.311	7.086	0	nan	0	nan	nan	38.68	15	94	3.124e+06
408678	14003	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.7674	0.2385	11.56	1	0.7674	0.2385	4	101.4	0.02454	24.31	5.528	4.663	10.23	0	nan	0	nan	nan	69.98	12	156	4.951e+06
410008	20001	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.5193	0.2721	4.588	1	0.5193	0.2721	2	3.516	0.4395	0	0	-0.5537	1.254	172.5	0.9238	0	1.014	1.066	3.223	3	48	2.113e+06
410008	98035	S2	MERGED	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	3.091	0.1219	0	0	-1.322	1.096	168.2	0.6249	0	0.986	0.9381	2.351	6	71	1.982e+06
412242	14007	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.7329	0.3659	18.17	1	0.7329	0.3659	2	20.49	0.3364	0	0	0.3649	1.979	3.687	0.8717	1	0.3375	3.928	96.19	7	184	8.204e+06
412242	60050	S2	MERGED	0	KEEP	high	1		0	fit	0.9692	0.2071	0.09696	28.71	1	0.7698	0.3373	4	32.82	0.01251	17.12	3.491	2.787	5.41	28.84	1.003	0	1.989	0.1449	3.728	9	40	1.189e+06
412242	64054	S2	MERGED	0	KEEP	high	1		0	fit	1	0.3859	0.08068	8.234	1	0.3859	0.08068	3	14.1	0.03556	17.95	3.231	0.4772	3.092	52.61	0.9352	0	2.963	0.2546	4.773	13	66	2.088e+06
415278	23012	S3	SINGLE	0	SPLIT3	high	3	SPLIT2	1	fit	0.519	0.6704	0.3452	20.44	0.519	0.6704	0.3452	4	20.88	0.4819	13.95	2.528	2.912	4.509	0	1.433	0	1.393	0.8203	193.6	39	490	1.771e+07
415278	23037	S2	MERGED	0	SPLIT4+	high	4		1	fit	0.6592	0.7637	0.3702	23.95	0.6592	0.7637	0.3702	4	23.8	0.4599	0	0	3.661	4.09	0	0.5585	1	0.7176	1.219	248.9	42	564	2.159e+07
415278	23047	S1+S2	MERGED	1	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	1.974	0.07524	0	0	-1.697	0.3543	34.93	0.8704	0	1.052	0.1569	0.1884	4	166	3.387e+06
415278	83139	S3	SINGLE	0	SPLIT2	high	2		1	fit	0.3254	0.1839	0.04258	15.51	1	0.3532	0.1809	4	16.79	0.04258	29.9	3.965	1.727	5.425	96.41	0.8033	0	2.844	0.09619	6.222	12	66	2.076e+06
444187	19082	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.2249	0.02105	2	10.96	0.02152	7.051	1.436	-2.083	1.836	0	0.4119	0	1.764	0.5795	4.774	4	66	2.608e+06
463565	109073	S2	MERGED	0	KEEP	high	1		0	holdout	1	0	0	0	1	0	0	1	5.989	0.1512	23.27	3.873	-0.6892	1.496	71.85	0.8384	0	2.54	0.16	2.684	5	50	1.798e+06
463565	114086	S2	MERGED	0	KEEP	high	1		0	holdout	1	0.4136	0.1831	8.072	1	0.4136	0.1831	2	7.822	0.1831	7.447	1.271	-0.1492	1.88	60.21	0.7631	0	2.384	0.2294	1.433	10	74	2.577e+06
463565	115088	S2	MERGED	0	KEEP	high	1	KEEP	0	holdout	1	0.1418	0.0609	10.77	1	0.2084	0.02801	3	11.13	0.06136	14.77	2.535	0.344	2.646	62.67	0.9992	1	2.347	0.3943	9.336	17	161	4.43e+06
475096	19014	S1	SINGLE	0	KEEP	high	1		0	fit	1	0.08268	0.03358	10.63	1	0.08268	0.03358	3	21.57	0.009047	31.73	5.161	0.1675	5.535	80.08	0.6447	0	nan	nan	4.736	9	58	2.21e+06
486687	103067	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.0687	0.01757	2	16.41	0.007211	10.2	1.899	-0.1273	3.372	27.74	1.676	1	nan	nan	5.6	17	124	3.686e+06
486907	24002	S1	SINGLE	0	TRIM	high	1		0	holdout	1	0	0	0	1	0.04251	0.02479	2	19.98	0.02479	17.1	3.612	-0.7893	3.001	27.21	2.03	1	0.5769	0.3553	7.772	3	54	2.363e+06
487853	13000	S3	SINGLE	0	SPLIT2	high	2		1	holdout	0.6898	0.3658	0.03433	74.45	1	0.1488	0.05334	4	93.62	0.03465	12.86	3.287	5.326	4.457	3.938	0.3808	0	nan	nan	41.7	10	92	2.31e+06
499577	13009	S3	SINGLE	0	TRIM	high	1		0	holdout	0.9665	0.9911	0.2716	18.76	0.9665	0.9911	0.2716	4	123.3	0.019	20.69	4.873	8.354	9.834	0	1.864	1	0.173	0.3396	70.26	9	109	5.461e+06
506746	21056	S1	SINGLE	0	KEEP	high	1		0	fit	1	0	0	0	1	0	0	1	11.6	0.05376	6.049	1.474	-1.954	0.9202	0	0.2773	0	0.2263	0.09166	3.322	6	39	1.37e+06
506746	21067	S3	SINGLE	0	KEEP	high	1		0	fit	1	0.6938	0.2808	20.46	1	0.6938	0.2808	3	29.37	0.1155	10.09	2.466	0.8566	2.266	17.46	0.8152	0	0.2216	0.07116	9.675	3	36	1.063e+06
521075	18007	S1	SINGLE	0	KEEP	high	1		0	holdout	1	0	0	0	1	0.03884	0.00375	2	40.84	0.003757	32.12	7.143	-0.7441	5.056	6.613	0.9539	0	nan	nan	26.72	16	220	8.303e+06
