workdir	cluster	raw	stm	tf	nseg	win	cov	d50	ghost	gap50	drop
pr_evt172230	48	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	49	56	0	11	1	1	nan	nan	0.0	0.5994566206157014	
pr_evt172230	50	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	51	17	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	52	60	0	12	1	1	nan	nan	0.0	0.5991577352634916	
pr_evt172230	53	15	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	54	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt172230	65	974	0	112	7	7	nan	nan	0.0	0.5995341941874527	
pr_evt172230	66	234	0	35	2	2	nan	nan	0.0	0.5995347863135158	
pr_evt172230	67	1730	0	111	8	8	nan	nan	0.0	0.5999349381391372	
pr_evt172230	68	82	0	9	1	1	nan	nan	0.0	0.5999721660210605	
pr_evt172230	69	91	0	14	1	1	nan	nan	0.0	0.5999819413949042	
pr_evt174637	9	2500	0	278	16	16	nan	nan	0.0	0.5995722848046501	
pr_evt174637	12	2	0	7	1	1	nan	nan	0.0	0.0	
pr_evt174637	13	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	14	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	25	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	26	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	27	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	28	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	29	29	0	7	1	1	nan	nan	0.0	0.0	
pr_evt174637	30	32	0	5	1	1	nan	nan	0.0	0.0	
pr_evt174637	31	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	32	31	0	7	1	1	nan	nan	0.0	0.0	
pr_evt174637	33	40	0	6	1	1	nan	nan	0.0	0.0	
pr_evt174637	34	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	35	3	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	36	13	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	37	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	38	14	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	39	22	0	6	1	1	nan	nan	0.0	0.0	
pr_evt174637	40	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	41	193	0	21	2	2	nan	nan	0.0	0.599497823182034	
pr_evt174637	42	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	43	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt174637	44	24	0	5	1	1	nan	nan	0.0	0.0	
pr_evt174637	45	32	0	9	1	1	nan	nan	0.0	0.4803969712643591	
pr_evt174637	46	144	0	30	3	3	nan	nan	0.0	0.5993366874867718	
pr_evt174637	47	55	0	11	1	1	nan	nan	0.0	0.5994174171643657	
pr_evt174637	48	59	0	14	2	2	nan	nan	0.0	0.25015655598044423	
pr_evt174637	49	12	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	11	10127	0	658	34	34	nan	nan	0.0	0.5997148113895632	
pr_evt196649	16	16	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	17	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	34	6	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	35	11	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	36	10	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	37	10	0	5	1	1	nan	nan	0.0	0.0	
pr_evt196649	38	25	0	5	1	1	nan	nan	0.0	0.0	
pr_evt196649	40	28	0	6	1	1	nan	nan	0.0	0.0	
pr_evt196649	41	18	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	42	34	0	6	1	1	nan	nan	0.0	0.0	
pr_evt196649	44	9	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	45	8	0	4	1	0	nan	nan	0.0	0.0	
pr_evt196649	46	27	0	6	1	1	nan	nan	0.0	0.0	
pr_evt196649	47	27	0	8	1	1	nan	nan	0.0	0.29986978544862064	
pr_evt196649	48	19	0	5	1	1	nan	nan	0.0	0.0	
pr_evt196649	49	27	0	8	1	1	nan	nan	0.0	0.27608551664293995	
