evt	cid	grp	npts	qfrac	plen	prms	maxd	dvtx	seg	ang	cls	sev	flag	f_m	f_em	f_trk	own_pdg	d_had	hadseg	d_a5	d_sec	xcd	xcn	hit54	a5	cen
280994	18	0	2	0.0001634314411231992	0.0	9.85420660408561e-16	3.1900385076045614	37.66991288867018	18001	84.8665069869369	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	111.5	0			-29.3,-166.0,67.1
280994	18	3	2	0.000725168876308985	0.6251999999999995	3.9968028886505635e-15	3.0783505485892757	13.803875267836933	18001	88.5733113080408	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	115.2	0			-28.4,-157.2,44.7
280994	18	5	1	0.00011288392737807772	0.0	0.0	3.357953236720235	14.10244461361221	18001	88.5733113080408	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	110.9	0			-28.7,-151.1,46.9
281214	60	0	5	0.008758577419875018	1.3709219842574718	0.12161037055604974	3.407834404720968	3.8101956708284623	60033	66.22745289294006	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	99.1	0		a5(seg60028,d5.4,g-1.00,b1.12,v0)	31.8,29.3,297.1
281214	60	1	3	0.0023851535797714952	0.9843710686241067	0.017299655880388565	3.2669055817393704	4.2208989812598015	60031	67.08951611891327	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	100.8	0		a5(seg60028,d3.4,g-1.00,b1.12,v0)	31.5,36.0,300.4
281485	15	0	4	0.003918718890832382	1.3893182744024921	0.1186874410444083	3.5845694302105393	13.00633118907865	15036	21.858169110782644	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	10.2	0		a5(seg15121,d7.2,g-1.00,b0.99,v0)	-175.3,165.2,243.6
281595	20	4	2	0.0002591900008223295	0.0	2.4633077268106353e-14	3.3401087766718023	269.24140003923986	20002	82.82223108005725	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	94.8	0			36.0,-143.4,446.8
281595	20	0	1	0.0002384653019985287	0.0	0.0	3.100559704311461	8.240348500518632	20015	74.7315392547932	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	94.8	0			-31.0,-68.9,205.6
281595	20	1	1	5.66601415817354e-05	0.0	0.0	3.0700721229313066	276.9932724313896	20002	82.2522364280998	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	99.4	0			37.0,-144.5,454.4
281595	20	2	1	9.993521386811142e-05	0.0	0.0	3.157881885061578	276.318984844129	20002	82.50896497300374	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	98.2	0			36.3,-150.4,452.0
281595	20	3	1	0.0001019270778869326	0.0	0.0	3.2849228438427622	273.7039030505228	20002	82.73284323859453	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	96.6	0			36.0,-150.2,449.3
281837	63	2	65	0.02365408218570713	24.33969098170222	0.5690312680245169	6.80836071018568	59.39906998901581	63030	2.2763706987573396	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	73.9	0			151.4,-69.8,222.2
281837	63	1	50	0.02400322642237694	16.85452915764872	0.5721579891060088	6.985102003550139	69.27154205508924	63030	1.0098874291222637	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	82.2	0			151.8,-60.8,217.4
281837	63	0	38	0.014096455578496809	6.045319903693024	0.3932787236066125	5.572725275841253	9.283771862772157	63041	14.424346982991425	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	56.3	0			149.5,-131.0,196.9
281837	63	5	28	0.004713706242488734	3.805596409553805	0.34627125108221385	4.870128027064599	4.142060477588391	63030	13.521472482971252	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	64.7	0			144.9,-131.0,190.7
281837	63	6	24	0.003828012827496132	8.089999378771413	0.33619954670353414	5.227122439736785	14.812787651215412	63030	0.6205921575302973	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	67.8	0			144.2,-116.7,192.3
281837	63	7	15	0.0035911175583923194	5.429047944716132	0.24272930821474578	4.786393736415761	19.14586514106896	63030	7.376516693236513	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	63.5	0			144.2,-117.7,200.9
281837	63	4	9	0.002940937727607871	4.2030882916507775	0.26989623301503496	4.841318544570258	47.80574535356602	63030	11.750117521306167	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	71.8	0			149.2,-88.1,205.5
281837	63	3	8	0.002642443842606108	2.2473476290465006	0.06311020477177308	3.5532279690444777	14.784668038207698	63041	10.684199916193501	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	51.5	0			149.9,-138.9,201.2
281953	10	2	150	0.03948354444011266	31.798521256190227	0.39528788280794536	5.701085247564715	13.367386618183854	10000	0.4636117968386857	NEARVTX	1	1	1.0	0.0	1.0	13:150	-1.0	-1	-1.0	-1.0	131.2	0			194.5,171.3,176.3
281953	10	3	65	0.016742285388676625	9.111400660307341	0.43488373476263803	5.998904733365903	4.141327927126777	10000	3.053517946013996	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	131.8	0			194.5,192.9,176.5
281953	10	1	15	0.008564924429697128	4.895072208677925	0.2045753636352368	4.427388056179399	73.22372342349166	10000	5.130227152038606	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	144.7	0			194.9,124.0,181.3
281953	10	4	3	0.00032137643745132463	1.7317911508984267	0.05357451451189917	4.270286875609165	47.214429584608986	10000	17.700465397957597	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	133.6	0			194.2,151.7,175.6
281953	10	0	2	0.00027929532034213844	0.3129999999999882	7.105427357601002e-15	3.176113977803687	71.10885565103689	10000	85.2842452203268	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	140.3	0			194.8,128.6,175.5
282072	7	0	120	0.024947652485392463	26.779512401682624	0.24899087118145258	6.475752457436902	17.11578249569674	7003	4.305373729622013	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	145.2	0			87.4,24.1,277.4
282072	7	1	1	0.00026942861801477526	0.0	0.0	3.06983257523924	88.96898399762692	7005	76.41754529139128	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	96.9	0			108.3,82.6,318.5
282204	4	0	448	0.08559887561984271	45.761751786924656	0.3722938160276233	6.440565124769721	4.728761147287951	4001	0.9470100585572825	NEARVTX	1	1	1.0	0.0	1.0	13:442;2212:6	3.2	4003	-1.0	37.8	96.8	0			-198.4,1.0,234.7
282217	9	0	1	0.0002789385677432882	0.0	0.0	3.0223068408088554	251.85232249764942	9004	66.5839486030765	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	50.6	0			142.8,79.1,248.9
282231	19	0	1	0.0001467849801205718	0.0	0.0	3.175511090848219	53.796469174461784	19000	84.25510622693321	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	138.7	0			-0.7,54.2,466.4
282979	14	0	74	0.05149303393027873	5.037362820628532	0.362612322261314	5.242353392322948	11.124500754640627	14004	32.90285396655418	NEARVTX	1	1	0.72	1.0	0.0	11:53	84.6	46036	-1.0	90.4	56.8	0		a5(seg14003,d4.3,g1.10,b0.57,v0)	-25.0,160.5,398.4
282979	14	2	46	0.020797824899828697	9.871672840728962	0.19702975139721762	5.151818478945069	20.197962551703096	14002	2.640745536783117	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	66.3	0			-25.9,154.4,410.5
282979	14	5	41	0.017408506581438134	6.847324782198646	0.27391783970785155	4.683844254455965	5.7394250443751025	14003	8.411530504534733	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	52.7	0	pr54drop(cid14,npts3,3.8cm,d2.8)	a5(seg14003,d3.8,g1.10,b0.57,v0)	-25.2,168.9,401.5
282979	14	1	7	0.0022590773541381844	3.1173015227397123	0.14194293546143008	4.217351587193106	14.70499375586403	14002	10.838104188354254	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	60.9	0		a5(seg14003,d5.2,g1.10,b0.57,v0)	-25.6,164.5,407.0
282979	14	3	4	0.0010087688374175888	1.447355160675727	0.05172196037617434	3.310830717508808	20.684245018854323	14002	13.02224833925325	sub	0	0	-1.0	-1.0	-1.0		-1.0	-1	-1.0	-1.0	66.3	0		a5(seg14003,d9.3,g1.10,b0.57,v0)	-25.6,161.6,411.6
