kind	event	arm	id	cluster	pdg	length_cm	energy_mev	gap_cm
B	171729	work-pr125r1-flipS141-mcp2k	35023	35	11	0.4	0.5	-1.00
B	399052	work-pr125r1-flipS98-mcp1k	56051	56	11	0.4	2.0	-1.00
B	71872	work-pr125r1-flipS141-mcp2k	20013	20	11	0.4	0.6	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	41006	41	11	0.4	1.3	-1.00
B	282979	work-pr125r1-flipS141-mcp1k	56046	56	11	0.4	1.5	-1.00
B	486907	work-pr125r1-flipS141-mcp1k	64012	64	11	0.4	1.3	-1.00
B	94224	work-pr125r1-flipS141-mcp2k	56021	56	11	0.4	1.1	-1.00
B	170761	work-pr125r1-flipS141-mcp2k	15028	15	11	0.4	1.7	-1.00
B	499423	work-pr125r1-flipS141-mcp2k	20005	20	11	0.4	2.2	-1.00
B	10550	work-pr125r1-flipS98-nuecc48	16037	16	11	0.4	1.6	-1.00
B	77328	work-pr125r1-flipS141-mcp2k	19010	19	11	0.4	0.7	-1.00
B	349549	work-pr125r1-flipS141-mcp1k	67081	67	2212	0.4	3.0	-1.00
B	395870	work-pr125r1-flipS141-mcp2k	65046	65	11	0.4	1.2	-1.00
B	37112	work-pr125r1-flipS98-ncpi0	14014	14	11	0.4	1.6	-1.00
B	172266	work-pr125r1-flipS141-mcp1k	52026	52	11	0.4	2.1	-1.00
B	122660	work-pr125r1-flipS98-nuecc48	15024	15	11	0.4	1.6	-1.00
B	58755	work-pr125r1-flipS141-mcp1k	64007	64	11	0.4	1.8	-1.00
B	170761	work-pr125r1-flipS141-mcp2k	16029	16	11	0.4	0.9	-1.00
B	176533	work-pr125r1-flipS141-mcp2k	74081	74	11	0.4	1.8	-1.00
B	81597	work-pr125r1-flipS98-nuecc48	30047	30	2212	0.4	1.4	-1.00
B	321367	work-pr125r1-flipS141-mcp2k	11008	11	2212	0.4	7.4	-1.00
B	292005	work-pr125r1-flipS141-mcp1k	25009	25	11	0.4	2.2	-1.00
B	54341	work-pr125r1-flipS141-mcp1k	30009	30	11	0.4	2.3	-1.00
B	521075	work-pr125r1-flipS98-ncpi0	27024	27	11	0.4	1.9	-1.00
B	423981	work-pr125r1-flipS98-nuecc48	61068	61	13	0.4	1.7	-1.00
B	281567	work-pr125r1-flipS98-mcp2k	15038	15	11	0.4	2.1	-1.00
B	406125	work-pr125r1-flipS141-mcp2k	16011	16	11	0.4	0.8	-1.00
B	171572	work-pr125r1-flipS141-mcp2k	21010	21	11	0.4	1.3	-1.00
B	433451	work-pr125r1-flipS98-nuecc48	54128	54	11	0.4	2.5	-1.00
B	99782	work-pr125r1-flipS141-mcp2k	26010	26	11	0.4	1.2	-1.00
B	111412	work-pr125r1-flipS98-nuecc48	25028	25	11	0.4	1.6	-1.00
B	412242	work-pr125r1-flipS141-mcp2k	25013	25	11	0.4	1.1	-1.00
B	401450	work-pr125r1-flipS141-mcp1k	58067	58	11	0.4	3.0	-1.00
B	408678	work-pr125r1-flipS141-mcp2k	23009	23	11	0.4	2.1	-1.00
B	105074	work-pr125r1-flipS141-mcp2k	29007	29	11	0.4	1.2	-1.00
B	76346	work-pr125r1-flipS98-mcp2k	50052	50	11	0.4	2.5	-1.00
B	72786	work-pr125r1-flipS141-mcp2k	18030	18	11	0.4	1.5	-1.00
B	486907	work-pr125r1-flipS141-mcp1k	62010	62	11	0.4	2.2	-1.00
B	122660	work-pr125r1-flipS98-nuecc48	14023	14	11	0.4	1.9	-1.00
B	475096	work-pr125r1-flipS98-mcp2k	29029	29	11	0.4	0.8	-1.00
B	403023	work-pr125r1-flipS141-mcp2k	22005	22	11	0.4	0.8	-1.00
B	486247	work-pr125r1-flipS141-mcp1k	16004	16	11	0.4	2.0	-1.00
B	179611	work-pr125r1-flipS141-mcp2k	18005	18	2212	0.4	3.3	-1.00
B	285443	work-pr125r1-flipS141-mcp1k	18002	18	11	0.4	1.1	-1.00
