event	bucket	shower	matched	n_target	n_actual	n_inter	n_miss	n_extra	comp	pur	q_comp	q_pur	q_f1	q_target	q_actual	q_miss	q_extra	drift	miss	extra
350121	?	2011	2011	5	5	5	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	4989383.7000	4989383.7000	0	0	1		
350354	?	18092	18092	32	34	32	0	2	1.0000	0.9412	1.0000	0.8785	0.9353	8249728.9000	9390225.7000	0	1140496.8000	0		18008,18015
386442	?	16008	16008	3	4	3	0	1	1.0000	0.7500	1.0000	0.9939	0.9970	2705352.2000	2721901.7000	0	16549.5000	0		42016
393505	?	63025	63025	3	3	3	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1049198.7000	1049198.7000	0	0	1		
395597	?	20004	20004	2	1	1	1	0	0.5000	1.0000	0.7619	1.0000	0.8649	2794145.1976	2128897.0000	665248.1976	0	1	20006	
396037	?	69026	69026	7	6	6	1	0	0.8571	1.0000	0.9165	1.0000	0.9564	2289558.5000	2098321.9000	191236.6000	0	0	65017	
396323	?	18012	18012	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2946164.6000	2946164.6000	0	0	0		
397630	?	33038	19010	11	2	2	9	0	0.1818	1.0000	0.5432	1.0000	0.7040	4409552.8000	2395106.7000	2014446.1000	0	11	25015,32022,33028,33029,33037,33038,33039,34041,34042	
400504	?	62014	62014	3	4	3	0	1	1.0000	0.7500	1.0000	0.9444	0.9714	1229642.5000	1302059.8000	0	72417.3000	0		21003
406125	?	38021	38021	1	5	1	0	4	1.0000	0.2000	1.0000	0.0512	0.0974	140400.4000	2742466.8000	0	2602066.4000	0		18013,68048,69049,73053
408304	?	9039	9039	13	12	12	1	0	0.9231	1.0000	0.7726	1.0000	0.8717	3947633.3477	3049781.3000	897852.0477	0	0	9038	
409140	?	13006	13006	4	4	4	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	1328860.3000	1328860.3000	0	0	0		
412242	?	14007	14007	7	5	5	2	0	0.7143	1.0000	0.9666	1.0000	0.9830	8325753.1000	8047813.7000	277939.4000	0	0	49048,50049	
489327	?	19005	19005	23	24	23	0	1	1.0000	0.9583	1.0000	0.6548	0.7914	3421964.1000	5225901.4000	0	1803937.3000	0		19005
499423	?	11045	11045	2	2	2	0	0	1.0000	1.0000	1.0000	1.0000	1.0000	2151051.3000	2151051.3000	0	0	1		
