key	npts	len_cm	dpw	dpu	dpv	dpt	cm_w	cm_u	cm_v	q_med	q_rms	dirx	diry	dirz	f
028084_2/19	567	344.7	0.35	1.2	1.167	1.4	2.857	0.8333	0.8571	4.214e+04	2.461e+04	0.486	-0.8607	0.1517	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_2-c19.json
028084_2/26	99	59.57	0.9333	1.067	1.6	1.433	1.071	0.9375	0.625	1.677e+04	1.406e+04	-0.6635	0.344	-0.6644	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_2-c26.json
028084_2/27	118	67.84	0.6167	0.4167	1.567	1.95	1.622	2.4	0.6383	3.648e+04	2.869e+04	-0.7636	-0.5869	-0.2693	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_2-c27.json
028084_2/49	256	152.8	0.5167	1.533	0.7667	1.183	1.935	0.6522	1.304	5.37e+04	1.593e+04	0.4095	-0.8839	0.2259	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_2-c49.json
028084_20/107	189	112.4	0.6	0.5667	1.517	1.483	1.667	1.765	0.6593	6.535e+04	1.489e+04	0.4628	-0.8362	0.2944	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c107.json
028084_20/116	323	193.4	0.4833	2	0.3667	2.233	2.069	0.5	2.727	5.553e+04	1.298e+04	0.7341	-0.63	-0.2534	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c116.json
028084_20/124	380	229	0.7833	0.4	1.7	2.267	1.277	2.5	0.5882	5.67e+04	1.807e+04	-0.7274	-0.5446	-0.4176	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c124.json
028084_20/20	408	260.5	0.2	1.083	1.8	1.483	5	0.9231	0.5556	3.835e+04	2.198e+04	0.4856	-0.8737	0.02912	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c20.json
028084_20/26	203	124.9	0.7861	1.683	1.067	0.3833	1.272	0.5941	0.9375	7807	7429	-0.07877	-0.8645	0.4964	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c26.json
028084_20/39	408	241.3	0.3	0.7333	1.6	2.133	3.333	1.364	0.625	3.86e+04	2.346e+04	0.7287	0.6829	0.05139	/home/xqian/toolkit-dev/wcp-porting-img/pdhd/stm_michel_scan/prep-pdhd/smprep-028084_20-c39.json
