sample	event	arm	nseg	len_cm	fit_bow	img_bow	res_bow	res_rms	res_med	cover
mcp2k	72055	pr150tcsp3bw	4	272.7	1.795	1.624	0.731	1.029	0.091	0.993
mcp2k	72196	pr150tcsp3bw	1	165.8	3.056	2.660	0.799	1.077	0.029	1.000
mcp2k	72275	pr150tcsp3bw	4	316.0	0.570	0.553	0.361	0.695	0.045	1.000
mcp2k	73538	pr150tcsp3bw	1	132.4	7.655	7.542	0.099	0.228	0.027	1.000
mcp2k	74326	pr150tcsp3bw	4	160.8	1.405	1.866	0.814	1.093	0.282	0.993
mcp2k	74784	pr150tcsp3bw	4	320.4	3.897	3.867	0.284	0.452	-0.130	0.994
mcp2k	75206	pr150tcsp3bw	4	370.4	3.525	5.296	0.500	0.896	-0.190	0.997
mcp2k	75795	pr150tcsp3bw	1	114.0	4.673	4.110	0.414	0.584	0.015	1.000
mcp2k	76170	pr150tcsp3bw	3	387.7	4.376	5.752	0.162	0.515	0.024	0.998
mcp2k	77328	pr150tcsp3bw	3	332.7	1.227	1.047	0.347	0.593	0.003	0.995
mcp2k	79616	pr150tcsp3bw	4	343.5	0.577	1.417	0.349	0.629	-0.004	0.998
mcp2k	91235	pr150tcsp3bw	1	250.3	6.669	6.702	0.501	0.688	0.004	0.995
mcp2k	92225	pr150tcsp3bw	1	140.3	4.074	3.839	0.319	0.532	0.026	1.000
mcp2k	93776	pr150tcsp3bw	2	157.7	1.470	1.858	0.091	0.405	0.018	1.000
mcp2k	97084	pr150tcsp3bw	1	142.9	4.038	3.971	0.594	0.732	0.044	1.000
mcp2k	98452	pr150tcsp3bw	1	185.5	1.479	1.593	0.143	0.393	0.022	0.994
mcp2k	98660	pr150tcsp3bw	1	392.6	15.003	14.927	0.149	0.399	0.026	0.994
mcp2k	99232	pr150tcsp3bw	1	275.1	12.078	12.257	0.770	0.837	0.026	0.998
mcp2k	99716	pr150tcsp3bw	2	199.1	9.020	7.213	0.927	1.206	0.137	1.000
mcp2k	99838	pr150tcsp3bw	3	456.3	4.727	5.786	0.561	0.724	0.013	0.999
mcp2k	100135	pr150tcsp3bw	1	416.4	19.212	19.213	0.128	0.311	0.010	0.997
mcp2k	100421	pr150tcsp3bw	1	247.4	6.427	6.776	0.171	0.363	0.006	0.985
mcp2k	101454	pr150tcsp3bw	1	214.3	4.655	3.144	0.379	0.631	0.027	0.997
mcp2k	101554	pr150tcsp3bw	1	240.7	42.285	42.237	0.194	0.482	0.032	1.000
mcp2k	101675	pr150tcsp3bw	2	157.9	2.580	2.753	0.356	0.668	0.021	0.996
mcp2k	104304	pr150tcsp3bw	2	193.3	3.419	4.145	0.633	0.789	0.025	1.000
mcp2k	104920	pr150tcsp3bw	1	203.0	1.754	1.255	0.556	0.658	0.014	1.000
mcp2k	157281	pr150tcsp3bw	2	224.2	10.159	10.327	0.623	0.740	0.043	0.997
mcp2k	158227	pr150tcsp3bw	2	227.8	22.771	23.079	0.100	0.263	0.017	1.000
mcp2k	161725	pr150tcsp3bw	1	194.1	19.257	18.724	0.086	0.401	0.022	1.000
mcp2k	162143	pr150tcsp3bw	4	408.7	4.877	5.230	0.356	0.568	0.001	0.999
mcp2k	169240	pr150tcsp3bw	1	354.4	2.504	2.527	0.326	0.631	0.027	0.997
