event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
169067	1	10	11	428	2349.3	0.53314	0.16574	0	0	0.10762	0.0046729	0.42567	1	0.96754	2455	0.016355	0.044393	0	0	0.27261	0	0.0023364	427	0.0025707	0.0025707	0.23613	0	0.091121	389	0.0023923	0.0023923	0.2515	0	0.023364	418
169152	1	22	9	219	1370.2	0.074713	0.15896	0.022831	0	0.18923	0.022831	0	0	0.54709	1865	0	0.091324	0	0	0.27211	0	0	219	0	0	0.24818	0	0	219	0	0	0.24019	0.022936	0.0045662	218
169160	0																																		
169182	0																																		
169204	0																																		
169221	1	69	4	171	470.55	0.058397	0.18945	0	0	0.087431	0.02924	0	0	0.85043	936	0.017544	0.035088	0.011765	0.0058824	0.27436	0.011765	0.005848	170	0	0	0.22933	0.023392	0	171	0	0	0.2595	0.023669	0.011696	169
169240	1	19	4	614	1600.7	0.18471	0.476	0.078176	0.004886	0.33829	0.014658	0.62474	1	0.21871	10693	0.017915	0.017915	0	0	0.24009	0	0	614	0.01	0.0066667	0.25035	0	0.022801	600	0.013136	0.013136	0.24327	0	0.0081433	609
169306	1	14	10	218	799.35	0.18442	0.20834	0.0091743	0	0.20181	0.0045872	0	0	0.85149	1285	0.018349	0.13761	0.013761	0	0.25085	0	0	218	0.018349	0.0045872	0.27026	0	0	218	0	0	0.23267	0	0	218
169331	0																																		
169622	0																																		
169658	1	7	7	535	2557	0.085019	0.1799	0.0093458	0	0.15866	0.0018692	0.39109	1	0.96415	2888	0.011215	0.046729	0.0018692	0.0018692	0.24735	0.0018692	0	535	0	0	0.23298	0.0018692	0	535	0	0	0.21912	0.0018832	0.0074766	531
169724	1	12	6	151	2256.6	0.015657	0.35561	0.046358	0	0.093408	0.086093	1.3294	3	1	601	0.11258	0.11921	0.0066225	0.0066225	0.2103	0.059603	0	151	0.02649	0.013245	0.25515	0.059603	0	151	0.033113	0.02649	0.25421	0.059603	0	151
169746	0																																		
169749	0																																		
169776	0																																		
169793	1	11	40	602	3908.6	0.052679	0.24414	0.021595	0	0.12731	0.011628	0.25585	1	0.97764	3027	0.01495	0.15282	0.0066445	0.0049834	0.25299	0	0	602	0.0099668	0.0083056	0.25173	0	0	602	0.0016639	0.0016639	0.22101	0	0.0016611	601
169886	0																																		
169900	0																																		
