event	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
91235	1	13	7	556	1823	0.25595	0.33465	0.028777	0.0053957	0.27074	0.023381	1.6456	3	0.67736	5195	0.028777	0.039568	0.01087	0.009058	0.24918	0	0.0071942	552	0.030741	0.0217	0.2764	0	0.0053957	553	0	0	0.24037	0	0.0053957	553
91367	1	7	4	597	1271.9	0.49655	0.49466	0	0	0.09191	0.0033501	0	0	0.98557	2931	0.0033501	0.025126	0.0033501	0.0033501	0.25819	0	0	597	0.0033557	0	0.25155	0	0.001675	596	0	0	0.24945	0	0.0067002	593
91433	0																																		
91609	1	42	8	38	589.75	0.44187	0.24442	0	0	0.11928	0	1.6956	1	1	136	0.10526	0.39474	0	0	0.18527	0	0	38	0	0	0.26418	0	0	38	0	0	0.10312	0	0	38
91653	1	13	8	72	1760.5	0.46297	0.13531	0.19444	0	0.3378	0.055556	0.56802	1	0.38301	753	0.097222	0.25	0	0	0.2572	0	0	72	0.014706	0	0.19831	0	0.055556	68	0.073529	0.058824	0.21007	0	0.055556	68
91697	1	2	5	183	322.31	0.11717	0.19951	0.032787	0.021858	0.093688	0.04918	6.2052	2	1	849	0.060109	0.060109	0	0	0.25669	0	0	183	0.016393	0.032787	0.2713	0.038251	0	183	0	0	0.22511	0	0	183
91782	0																																		
91807	0																																		
91917	1	17	19	736	3457.2	0.6927	0.45886	0.021739	0	0.15594	0.016304	0.86777	3	0.83946	5004	0.023098	0.12092	0.0095109	0.0040761	0.26903	0	0	736	0.013717	0.0096022	0.2456	0	0.0095109	729	0.010929	0.0054645	0.25463	0	0.0054348	732
92049	0																																		
92071	0																																		
92134	1	18	5	346	1669.1	0.55859	0.15583	0	0	0.068479	0	0	0	0.9975	1851	0.0057803	0.028902	0	0	0.25707	0	0	346	0	0	0.24469	0	0	346	0	0	0.22154	0	0.0028902	345
92159	1	4	13	368	2041.8	0.1182	0.11138	0.0081522	0	0.067278	0.0027174	0	0	0.99353	1801	0.016304	0.086957	0.0027174	0.0027174	0.2438	0	0	368	0	0	0.29275	0	0	368	0	0	0.24247	0	0.059783	346
92225	1	14	9	290	2785.3	0.065082	0.093409	0.013793	0	0.28243	0	0.71805	2	0.9377	1590	0.027586	0.07931	0.0034602	0	0.22426	0	0.0034483	289	0.0068966	0	0.30426	0	0	290	0	0	0.22585	0	0.013793	286
92310	0																																		
92379	0																																		
92420	0																																		
92511	0																																		
92552	0																																		
