# PDVD per-event charge/trigger/light time bases (DTS clock, 16 ns ticks)
# charge_start_us / tc_us / fs_t0_us / light_t0_us are in the 40-bit-masked domain (same as the rawwf 'timestamp' branch); offsets wrapped to that period
# offset_us = charge_window_start - fs_light_window_start  (add to light times to land on charge time base)
# charge_tde_us / charge_bde_us: per-crate charge window starts (TDE=top, BDE=bottom CRPs)
# run subrun event rd_timestamp_ns tc_type n_tc tc_us charge_tde_us charge_bde_us fs_t0_us light_t0_us fs_nsamp offset_tde_us offset_bde_us
39349 1 22957 1757423260057664000 15 1 16650779064.112 16650778638.848 16650778664.112 16650776564.032 16650776388.944 331264 2074.816 2100.080
39349 1 22977 1757423260389184000 15 1 16651110559.616 16651110158.848 16651110159.536 16651108059.456 16651107777.248 331264 2099.392 2100.080
39349 1 22997 1757423260815296000 15 1 16651536688.000 16651536270.848 16651536287.920 16651534187.840 16651533950.624 331264 2083.008 2100.080
39349 1 23017 1757423261311456000 15 2 16652032844.272 16652032430.848 16652032444.080 16652030343.488 16652030071.040 331328 2087.360 2100.592
39349 1 23037 1757423261526624000 15 1 16652248012.128 16652247598.848 16652247612.080 16652245511.488 16652245321.344 331328 2087.360 2100.592
39349 1 23057 1757423261994560000 15 1 16652715955.760 16652715534.848 16652715556.016 16652713454.912 16652713316.192 331328 2079.936 2101.104
39349 1 23077 1757423262288800000 15 1 16653010200.032 16653009774.848 16653009799.856 16653007699.264 16653007579.808 331328 2075.584 2100.592
39349 1 23097 1757423262720448000 15 1 16653441830.976 16653441422.848 16653441431.216 16653439330.624 16653439182.576 331328 2092.224 2100.592
39349 1 23117 1757423283591008000 15 1 16674312407.888 16674311982.848 16674312007.856 16674309907.776 16674309579.520 331264 2075.072 2100.080
39349 1 23137 1757423284081984000 22 1 16674803374.320 16674802958.848 16674802974.384 16674800873.792 16674800614.400 331328 2085.056 2100.592
39349 1 23157 1757423284715904000 15 1 16675437302.976 16675436878.848 16675436903.088 16675434802.496 16675434651.152 331328 2076.352 2100.592
39349 1 23177 1757423285164768000 15 1 16675886174.512 16675885742.848 16675885774.512 16675883673.920 16675883242.704 331328 2068.928 2100.592
39349 1 23197 1757423285518752000 15 1 16676240148.048 16676239726.848 16676239748.272 16676237647.168 16676237442.592 331328 2079.680 2101.104
39349 1 23217 1757423285996384000 20 1 16676717783.968 16676717358.848 16676717383.856 16676715283.776 16676714920.976 331264 2075.072 2100.080
39349 1 23237 1757423286458016000 15 1 16677179413.120 16677178990.848 16677179013.296 16677176912.192 16677176551.136 331328 2078.656 2101.104
39349 1 23257 1757423287069600000 15 1 16677791001.200 16677790574.848 16677790601.392 16677788500.288 16677788201.424 331328 2074.560 2101.104
39349 1 23277 1757423287517600000 15 1 16678238993.248 16678238574.848 16678238593.200 16678236493.120 16678236202.064 331264 2081.728 2100.080
39349 1 23297 1757423287981664000 15 2 16678703060.320 16678702638.848 16678702660.272 16678700559.680 16678700153.232 331328 2079.168 2100.592
39349 1 23317 1757423308785248000 15 1 16699506634.736 16699506222.848 16699506234.544 16699504134.464 16699503863.712 331328 2088.384 2100.080
39349 1 55766 1757427896344416000 15 1 3694879749.424 3694879346.432 3694879349.424 3694877248.832 3694876950.176 331328 2097.600 2100.592
39349 1 55786 1757427896940896000 15 1 3695476227.328 3695475826.432 3695475827.376 3695473726.784 3695473455.728 331328 2099.648 2100.592
39349 1 55806 1757427897536928000 15 1 3696072278.688 3696071858.432 3696071878.832 3696069777.728 3696069763.056 331328 2080.704 2101.104
39349 1 55826 1757427898111872000 15 1 3696647224.960 3696646802.432 3696646825.136 3696644724.032 3696644424.592 331328 2078.400 2101.104
39349 1 55846 1757427898491648000 15 2 3697026982.272 3697026578.432 3697026582.192 3697024481.600 3697024294.752 331328 2096.832 2100.592
39349 1 55866 1757427899085920000 15 1 3697621258.736 3697620850.432 3697620858.544 3697618757.952 3697618535.440 331328 2092.480 2100.592
39349 1 55886 1757427899586592000 15 1 3698121941.840 3698121522.432 3698121541.808 3698119441.728 3698119272.128 331264 2080.704 2100.080
39349 1 55906 1757427920735904000 15 1 3719271237.360 3719270834.432 3719270837.424 3719268737.344 3719268524.032 331264 2097.088 2100.080
39349 1 55926 1757427921203616000 15 1 3719738954.880 3719738546.432 3719738555.056 3719736454.464 3719736110.528 331328 2091.968 2100.592
39349 1 55946 1757427921688064000 15 1 3720223401.056 3720222994.432 3720223001.264 3720220900.672 3720220559.488 331328 2093.760 2100.592
39349 1 55966 1757427922016864000 15 2 3720552220.608 3720551794.432 3720551820.464 3720549720.384 3720549482.656 331264 2074.048 2100.080
39349 1 55986 1757427922361120000 15 1 3720896455.152 3720896050.432 3720896054.960 3720893954.368 3720893692.288 331328 2096.064 2100.592
39349 1 56006 1757427922810976000 15 1 3721346334.448 3721345906.432 3721345934.512 3721343834.432 3721343473.536 331264 2072.000 2100.080
39349 1 56026 1757427923447296000 15 1 3721982638.240 3721982226.432 3721982238.384 3721980137.792 3721979812.848 331328 2088.640 2100.592
39349 1 56046 1757427923969568000 15 1 3722504899.344 3722504498.432 3722504499.376 3722502399.296 3722502116.064 331264 2099.136 2100.080
39349 1 56066 1757427924424992000 15 1 3722960353.664 3722959922.432 3722959953.584 3722957852.992 3722957559.072 331328 2069.440 2100.592
39349 1 56086 1757427924861408000 15 1 3723396758.896 3723396338.432 3723396358.832 3723394258.240 3723393910.688 331328 2080.192 2100.592
39349 1 56106 1757427945888576000 15 1 3744423918.448 3744423506.432 3744423518.384 3744421418.304 3744421153.600 331264 2088.128 2100.080
39349 1 56126 1757427946505152000 15 1 3745040508.576 3745040082.432 3745040108.720 3745038007.616 3745037632.896 331328 2074.816 2101.104
39349 1 56146 1757427946908960000 15 1 3745444309.360 3745443890.432 3745443909.296 3745441808.704 3745441477.872 331328 2081.728 2100.592
39349 1 56166 1757427947372224000 15 2 3745907557.872 3745907154.432 3745907157.680 3745905057.088 3745904833.280 331328 2097.344 2100.592
39349 1 56186 1757427948034176000 15 1 3746569534.096 3746569106.432 3746569134.256 3746567033.152 3746566755.280 331328 2073.280 2101.104
39349 1 56206 1757427948581440000 15 1 3747116794.704 3747116370.432 3747116394.672 3747114294.592 3747113970.176 331264 2075.840 2100.080
39349 1 56226 1757427949173088000 15 1 3747708448.464 3747708018.432 3747708048.560 3747705947.456 3747705825.392 331328 2070.976 2101.104
39349 1 56246 1757427949704768000 15 1 3748240123.520 3748239698.432 3748239723.696 3748237622.592 3748237227.488 331328 2075.840 2101.104
39349 1 56266 1757427950124064000 22 1 3748659419.728 3748658994.432 3748659019.952 3748656918.848 3748656629.712 331328 2075.584 2101.104
39349 1 56286 1757427971336864000 15 2 3769872212.624 3769871794.432 3769871812.784 3769869711.680 3769869516.992 331328 2082.752 2101.104
39349 1 56306 1757427971705440000 15 2 3770240776.800 3770240370.432 3770240377.008 3770238275.904 3770238172.368 331328 2094.528 2101.104
