# doc 81 sec 10 -- stage-A reference-side member-content hashes
# the reference half of doc 81 sec 7's 24536/24536 gate
# img=work-img-mcp2k ql=work-mcp2k-ql0819 events=2000 products=16000 missing=0
#evt	product	rollup_sha256	members
48488	ql/pctree-evt48488.tar.gz	dfebb14d6ff9ccc43c93b2b6a4e45b8b6ff51a9dcfebbfdbf75d99c0ca8963e8	412
48774	img/icluster-apa0-active	cff0f01b9852cee3c04a96b2fcaca268026f3c29fb2394ba83d8cb340f857243	12
48774	img/icluster-apa0-masked	13da158ad9f4c2ab074a162f6a2a796a959566b198094750728ce226eb051733	9
48774	img/icluster-apa1-active	3ff31651467b14b2b3162f17360c2413c5446e56c8701c8704374347d16973a2	12
48774	img/icluster-apa1-masked	e8e0770c4f759eb01c36d0affe5d3be11b071aa95f3ae95e0c488bd5cdce84db	9
48774	ql/mabc-all-apa.zip	3d3fe8de7de7aea6e19e958ccbabaf4ecb6218b38ca18acde23f2ea3c0cdc6a3	5
48774	ql/mabc-apa0-face0.zip	9fadbfc3e05a602dae3bb234c2707161828d9a2a42621e752e282650ee9d9805	2
48774	ql/mabc-apa1-face0.zip	da244d04343ab364ddfbbdce5212854f7612317a431839b481231a4618101914	2
48774	ql/pctree-evt48774.tar.gz	41d1efbfe0181f23887e247afb8a3d464dff3935f3ea516ec897f5725bff8414	412
48840	img/icluster-apa0-active	59c02836a6e231cfbe6e933589d2fcded130f1de363db298142fb747e2e69154	12
48840	img/icluster-apa0-masked	7bcafefb4a7024867fd62e3a56f59ab11a7cedb9a349d736fdffffb7ab21cf4e	9
48840	img/icluster-apa1-active	ff19c01ef29b8d0e7a0b00f2ebfc688e5a3cc0563595c0b445f8610ef4c77ca4	12
48840	img/icluster-apa1-masked	4552372c98bd90282815391974b7ca2c37a7db05b3d18238185913d0f69538a4	9
48840	ql/mabc-all-apa.zip	f06524cd7855c104567ba93d5677127b4151ef7f0584aaabc5514586aa1077e8	5
48840	ql/mabc-apa0-face0.zip	2ccc22186e6353963f43a120374f247edd62bd94e5a6ffd9b49a595bab2e66e6	2
48840	ql/mabc-apa1-face0.zip	4f6e2decfed9ede9fea45d21bb80ceffe42a14b94167a1434a379a9faa9bcf1e	2
48840	ql/pctree-evt48840.tar.gz	1e1de18d42f443edbc5ecf2d8325e650109451eefb618411a3dd0094e9d1720e	410
49016	img/icluster-apa0-active	8c4f633631f8615907abb91026d2fd647302edc02b3ef6bff9fff3eef3eb8645	12
49016	img/icluster-apa0-masked	69160a47f37f8f3863252080fc1f84c8b6a0b20f0c09b6cf4c14830b94da59aa	9
49016	img/icluster-apa1-active	3c5ee0392a7a9a28c7d2c0dde2ded72cc02f16e64eb2d1fc9f71a7a372a76db2	12
49016	img/icluster-apa1-masked	e17c57ff730891306441805d4f8d508f172e9d9630c56ee79bbcee36c5290293	9
49016	ql/mabc-all-apa.zip	5ab74ed1c0f27cc36aba5eef6a6c4ee5031ccd626860c53d22236ad7a7e746e8	5
49016	ql/mabc-apa0-face0.zip	26f90ea121e1d3aa597fab23879c3ec1df6bc7fbecf700006891ac636a3e8c6a	2
49016	ql/mabc-apa1-face0.zip	d5ca79265ef9d8afe301d7efcb75f6194e198619d76ca3217e2ad67776f75647	2
