evt	nofitx_id	nofitx_d	off_id	off_d	uniW0_id	uniW0_d	snapD2_id	snapD2_d
410680	1	0.535	1	0.262	1	0.262	1	0.262
410698	1	0.602	1	0.0	1	0.0	1	0.0
412396	1	0.716	1	0.809	1	0.809	1	0.809
412612	0	146.45	0	146.45	0	146.45	0	146.45
412638	1	0.0	1	0.0	1	0.0	1	0.0
414024	1	0.0	1	0.0	1	0.0	1	0.0
414200	1	0.531	1	0.671	1	0.671	1	0.671
414240	0	21.225	1	0.588	1	0.588	0	22.103
414288	0	4.549	0	4.68	0	4.68	0	4.68
414306	1	0.0	1	0.0	1	0.0	1	0.0
415186	1	1.47	0	8.524	0	8.524	1	1.515
415564	0	73.637	0	73.637	0	73.637	0	73.637
417100	1	0.0	1	0.0	1	0.0	1	0.0
417496	1	0.0	1	0.0	1	0.0	1	0.0
417782	0	6.573	0	10.984	0	10.984	0	10.984
473952	1	0.0	1	1.408	1	1.408	1	1.408
474370	1	0.0	1	0.0	1	0.0	1	0.0
474612	1	0.0	1	0.0	1	0.0	1	0.0
474678	1	0.517	1	0.41	1	0.41	1	0.41
477142	0	68.051	0	67.51	0	67.51	0	67.51
478088	1	1.056	1	0.908	1	0.908	1	0.908
478220	1	0.0	1	0.0	1	0.0	1	0.0
478374	1	4.27	1	0.0	1	0.0	1	0.0
478594	1	0.836	1	1.22	1	1.22	1	1.22
478638	1	0.685	1	1.039	1	1.039	1	1.039
478880	1	0.094	1	0.177	1	0.177	1	0.177
479650	0	3.818	0	25.874	0	25.874	0	25.874
480728	1	0.477	1	0.975	1	0.975	1	0.975
480772	1	0.765	1	0.734	1	0.734	1	0.734
480970	1	4.223	1	1.942	1	1.942	1	1.942
481014	1	0.0	1	0.0	1	0.0	1	0.0
493659	0	70.152	0	70.152	0	70.152	0	70.152
494297	1	0.118	1	0.203	1	0.203	1	0.203
494847	1	0.0	1	0.0	1	0.0	1	0.0
495199	1	0.0	1	0.574	1	0.574	1	0.574
495881	0	33.159	1	0.21	1	0.21	0	34.458
497311	0	191.811	0	145.665	0	191.743	0	191.743
497399	0	121.225	0	121.225	0	121.225	0	121.225
497553	1	0.514	1	0.737	1	0.737	1	0.737
498851	1	0.217	1	0.234	1	0.234	1	0.234
499115	1	0.719	1	0.706	1	0.706	1	0.706
499423	0	41.367	0	41.367	0	41.367	0	41.358
499577	1	1.119	1	0.527	1	0.527	1	0.527
500149	1	0.589	1	0.393	1	0.393	1	0.393
500567	1	0.0	1	0.0	1	0.0	1	0.0
501711	1	0.0	1	0.193	1	0.193	1	0.193
502019	1	1.042	0	120.928	1	1.319	1	1.319
502525	1	0.963	1	0.296	1	0.296	1	0.296
502921	1	0.098	1	0.093	1	0.093	1	0.093
