evt	d_target_base	d_target_off	n_base	n_off	R0	R1	snap_cm	R2	target_gap	R3_uniW0
70010	0.0	0.0	2	2	0	0	0.0	0	0.0	0
70084	1.834	2.615	24	23	1	1	1.834	1	2.494	1
70178	0.43	0.468	13	13	1	1	0.43	1	0.176	1
70186	0.625	0.555	20	20	1	1	0.625	1	0.091	1
70472	3.053	3.053	30	30	1	1	1.615	1	0.0	1
70538	0.122	0.122	4	4	1	1	0.83	1	0.0	1
70612	0.103	0.0	15	15	0	0	0.0	0	0.103	0
70692	0.395	0.427	23	23	1	1	0.395	1	0.633	1
70766	0.0	0.0	16	16	1	1	0.0	1	0.0	1
70912	0.317	0.227	9	9	1	1	0.301	1	0.092	1
71022	0.033	0.033	28	28	1	1	0.033	1	0.0	1
71092	0.198	0.0	18	19	0	0	0.0	0	0.198	0
71748	1.132	1.169	29	29	1	1	1.132	1	0.812	1
71778	0.0	0.0	22	22	1	1	0.0	1	0.0	1
71872	1.105	0.551	97	97	1	1	1.105	1	0.581	1
72055	0.809	0.849	18	18	1	1	0.809	1	0.486	1
72099	0.0	0.0	25	25	1	1	0.0	1	0.0	1
72170	0.26	0.288	9	9	1	1	0.26	1	0.398	1
72174	0.996	1.051	15	15	1	1	0.996	1	0.189	1
72742	0.344	0.615	9	9	1	1	0.344	1	0.376	1
72759	1.423	1.217	10	9	0	0	0.0	0	1.58	0
72840	0.841	0.598	5	5	1	1	0.841	1	0.247	1
72940	0.143	0.0	19	19	1	1	0.143	1	0.143	1
73336	1.211	0.34	48	48	1	1	1.211	1	1.322	1
73412	0.426	0.444	8	8	1	1	0.426	1	0.166	1
73688	0.354	0.598	49	49	0	0	0.94	0	0.439	0
73698	0.272	0.0	7	7	1	1	0.272	1	0.272	1
73727	9.79	9.79	12	12	0	0	0.0	0	0.0	0
73838	0.315	0.241	13	13	0	1	0.315	1	0.114	0
74146	0.354	0.0	20	20	0	0	0.486	0	0.354	0
74270	0.0	0.0	9	9	0	0	0.355	0	0.0	0
74326	0.693	0.726	47	45	1	1	0.693	1	0.242	1
74336	0.485	0.37	36	36	1	1	0.485	1	0.217	1
74380	0.182	0.308	8	8	1	1	0.182	1	0.203	1
75040	0.154	0.155	15	16	0	1	0.154	1	0.005	0
75135	0.977	1.196	18	18	1	1	0.977	1	0.261	1
75206	0.056	0.0	48	50	1	1	0.056	1	0.056	1
75316	0.173	0.0	23	23	0	0	0.952	0	0.173	0
75377	0.697	0.382	7	7	1	1	0.697	1	0.319	1
75554	0.0	0.0	63	63	0	0	0.0	0	0.0	0
75678	0.0	0.0	28	28	1	1	0.0	1	0.0	1
75700	2.938	2.877	26	26	1	1	2.938	1	0.305	1
75729	0.254	0.0	26	25	0	0	0.077	0	0.254	0
75862	1.135	0.914	36	38	1	1	1.135	1	0.315	1
75954	0.22	0.0	38	39	1	1	0.276	1	0.22	1
76038	0.402	0.422	8	8	1	1	0.402	1	0.099	1
76059	0.443	0.123	20	20	1	1	0.443	1	0.327	1
76250	1.271	0.735	9	9	1	1	1.271	1	0.641	1
76280	1.267	1.012	29	29	1	1	1.267	1	0.474	1
76346	0.0	0.0	42	43	0	0	0.515	0	0.0	0
76350	1.103	0.776	104	104	0	1	1.103	1	1.756	0
76866	0.0	0.0	22	22	0	0	0.0	0	0.0	0
76888	1.151	0.709	13	13	1	1	1.151	1	0.448	1
76998	0.0	0.0	11	11	1	1	0.0	1	0.0	1
77328	0.537	1.157	14	13	1	1	0.537	1	0.628	1
77702	0.706	0.25	15	15	1	1	0.706	1	0.546	1
77846	0.255	0.479	19	19	1	1	0.255	1	0.309	1
77878	0.672	0.718	29	28	0	0	0.514	0	0.05	0
77978	0.696	0.83	9	9	1	1	0.696	1	0.98	1
78242	0.913	0.688	23	24	1	1	0.787	1	0.338	1
79491	0.677	0.33	5	5	1	1	0.677	1	0.361	1
79616	0.0	0.0	11	11	1	1	0.0	1	0.0	1
81420	2.998	2.965	13	13	1	1	2.998	1	0.117	1
82322	7.536	7.536	12	11	0	0	0.0	0	0.0	0
90135	0.0	0.0	21	21	1	1	0.0	1	0.0	1
90179	0.927	0.225	29	29	1	1	0.927	1	0.968	1
91235	0.261	0.187	17	17	1	1	0.261	1	0.096	1
91367	0.641	0.498	11	11	1	1	0.641	1	0.156	1
91697	2.482	2.195	13	11	1	1	2.482	1	0.378	1
91917	0.119	0.0	45	47	1	1	0.119	1	0.119	1
92134	0.292	0.77	11	11	1	1	0.292	1	0.994	1
92225	0.352	0.643	20	20	0	0	0.54	0	0.332	0
92904	0.0	0.0	13	13	0	0	0.0	0	0.0	0
92992	1.004	1.337	17	17	1	1	1.004	1	0.352	1
93105	0.432	0.513	25	25	1	1	0.432	1	0.255	1
93545	0.0	0.0	2	2	1	1	0.0	1	0.0	1
93677	0.359	0.034	37	37	1	1	0.359	1	0.332	1
93696	0.211	0.46	13	13	1	1	0.211	1	0.576	1
93776	0.0	0.0	14	14	1	1	0.0	1	0.0	1
94092	4.405	2.953	12	12	0	1	4.405	1	1.494	0
94224	0.303	0.35	20	21	1	1	0.286	1	0.139	1
94293	0.38	0.53	30	31	1	1	0.38	1	0.21	1
94392	1.815	0.188	29	28	1	1	1.815	1	1.754	1
94546	0.086	0.079	10	10	0	1	0.086	1	0.108	0
94678	0.0	0.0	8	8	1	1	0.0	1	0.0	1
94942	0.609	0.536	14	13	0	0	0.516	0	0.125	0
95074	0.457	0.808	26	26	1	1	0.457	1	0.497	1
95170	0.0	0.0	22	22	0	0	0.319	0	0.0	0
95405	0.712	0.663	11	11	1	1	0.712	1	0.17	1
95412	0.464	0.194	26	26	1	1	0.464	1	0.346	1
95690	2.214	2.243	15	15	1	1	2.214	1	0.085	1
95899	0.433	0.417	43	44	0	1	0.433	1	0.165	0
96306	0.379	0.471	13	13	1	1	0.379	1	0.134	1
96383	2.842	0.0	39	38	0	1	2.842	1	2.842	0
97010	6.922	4.751	45	45	1	1	2.492	1	2.401	1
97062	0.484	0.0	13	13	0	0	1.356	0	0.484	0
97084	0.698	0.869	37	37	1	1	0.698	1	0.183	1
97231	0.409	0.376	25	22	0	1	0.171	1	0.209	0
97260	0.417	0.0	11	10	1	0	6.867	0	0.417	1
98294	0.0	0.0	66	64	0	1	0.0	1	0.0	0
98338	0.506	0.0	11	11	1	1	0.506	1	0.506	1
98353	0.649	0.773	18	18	1	1	0.649	1	0.128	1
98470	1.082	0.608	17	17	1	1	1.082	1	0.606	1
98704	0.057	0.0	3	2	0	1	0.057	1	0.057	0
98778	0.561	0.605	19	19	1	1	0.561	1	0.094	1
98844	0.557	0.126	83	81	1	0	6.118	0	0.464	0
98947	0.505	0.416	9	9	1	1	0.505	1	0.195	1
99035	0.353	0.213	7	7	1	0	0.0	0	0.475	0
99232	0.26	0.361	11	11	1	1	0.26	1	0.103	1
