event	kind	gid	apa	t0	dx	k_npts	k_len	k_dcath	k_dirx	p_cid	p_npts	p_len	p_ext	p_ncorr	p_dcath	p_dx	disp	p_inrange	gap2d	angle	y_cath	z_cath
172262	crosser-ok	14	1	180.1	28.15	2088	223.4	0.4605	0.8893	6	2234	278.8	51.77	670	2.336	-28.76	0.6067	0.9928	0.5688	7.862	37.1	114.7
164466	crosser-ok	10	0	-83.12	12.99	1645	155.8	2.455	0.6887	17	2818	269.7	51.2	499	0.5791	-12.1	0.8887	1	1.759	7.521	101.3	156.1
290740	crosser-ok	9	1	-1193	-186.5	389	47.89	2.768	0.8592	9	468	108.2	50.62	448	1.518	187.9	1.413	0.9573	2.552	1.745	14.72	310.8
57731	other-flash	12	1	-956	-149.4	1485	135.4	1.073	0.6102	9	593	50.71	50.57	561	0.1346	-29.13	178.5	0.9899	2.232	9.417	166.3	226.9
168448	other-flash	11	1	-1302	-203.4	488	51.26	2.061	0.551	7	424	49.91	49.9	424	2.374	100.7	102.7	1	2.1	0.4421	-0.0005681	57.78
57731	crosser-ok	9	1	-947.8	-148.1	2664	242.6	3.28	0.3264	11	2442	231.5	48.69	700	2.342	148.5	0.3103	1	9.116	2.88	105	224.5
317427	other-flash	9	0	0.9123	-0.1426	2790	287	0.2719	0.7065	23	1376	140.9	48.48	444	0.5845	17.06	16.92	1	0.3717	6.655	126.7	163.8
290740	crosser-ok	7	0	-1202	187.9	448	50.73	0.1043	0.8559	12	389	47.89	47.8	389	1.354	-186.5	1.413	1	0.8781	1.745	14.7	310.8
94796	crosser-ok	6	0	-1308	204.4	1031	94.16	0.1482	0.3088	18	504	47.1	46.96	490	0.7736	-204.6	0.1821	1	4.12	4.667	151.7	218.7
480222	other-flash	16	1	-346.4	-54.14	3201	278	0.07408	0.6681	8	610	59.79	43.68	407	0.0741	24.23	29.91	0.9852	0.8051	17.95	-156.7	238.7
72940	crosser-ok	2	0	-1295	202.5	219	39.33	0.2422	0.6982	24	291	43.03	43.01	291	0.5552	-203.8	1.337	1	3.654	1.495	-9.939	165.6
78523	other-flash	5	1	-1321	-206.4	368	40.16	0.3612	0.5149	5	354	41.53	41.53	354	0.6734	106	100.4	1	1.994	0.9758	72.49	137.1
281215	other-flash	9	1	-1257	-196.5	332	33.94	1.156	0.9207	9	356	39.78	39.77	356	0.2189	63.26	133.3	1	2.205	1.743	-144.9	216
480068	other-flash	1	0	-628.9	98.29	802	85.31	1.246	0.8183	16	1713	163.6	39.39	467	1.559	-66.86	31.43	1	0.1966	8.073	-150.8	97.03
283723	other-flash	9	1	184.9	28.89	1240	284.9	1.201	0.5846	6	432	44.42	39.09	405	0.0496	-133.8	104.9	0.9769	0.8717	13.84	87.24	288.1
51722	other-flash	14	1	-437.1	-68.31	1823	175.8	0.9025	0.9467	14	535	38.63	38.76	520	0.9025	-0.1547	68.47	1	6.392	14.56	81.26	90.2
394463	other-flash	6	0	-1256	196.3	215	33.42	0.1179	0.895	14	318	38.38	38.37	318	1.056	-82.27	114.1	1	1.564	6.041	78.22	345
99416	other-flash	1	0	-1363	213	343	38.06	0.005464	0.5423	13	300	35.61	35.61	300	1.256	-200.1	12.93	1	1.81	4.64	-156.5	270.1
173585	other-flash	4	0	-1294	202.2	250	31.36	4.232	0.8308	17	289	33.64	33.64	289	1.731	-99.52	102.7	1	1.204	3.534	-2.326	98.01
90597	crosser-ok	11	0	-1257	196.4	570	62.19	0.3112	0.5898	19	315	33.59	33.59	315	0.9365	-196.9	0.4895	1	2.675	0.1812	181	195.6
291248	other-flash	11	1	-1368	-213.8	494	28.05	1.409	0.5527	4	519	33.25	33.25	519	0.1593	124.2	89.54	1	2.993	3.005	-28.56	468.9
167876	other-flash	10	0	-641.4	100.3	1594	149	0.2166	0.9116	20	1601	150.2	33.18	382	0.8418	-29.46	70.79	1	1.1	18.82	-130.1	318.5
70713	other-flash	18	1	268.2	41.91	4457	468.2	7.969	0.4169	8	336	32.25	32.24	336	7.969	-118.9	77	1	5.409	1.764	-149.6	470.4
168561	other-flash	2	0	103.4	-16.16	1966	262	0.03365	0.7762	25	288	31.42	31.42	288	0.6589	76.68	60.52	1	1.691	1.394	-181.2	320.6
167612	other-flash	6	0	-550.8	86.08	2555	229	1.885	0.5565	26	1985	233.9	29.85	440	3.135	-73.86	12.23	1	2.715	9.892	-3.435	451.9
275187	other-flash	6	0	-1315	205.6	293	66.53	0.2291	0.8877	14	217	27.7	27.7	217	0.8541	-87.97	117.6	1	1.381	3.435	-118.5	224.6
173049	other-flash	7	0	-1288	201.3	204	378.4	5.18	0.885	10	201	27.41	27.41	201	4.868	-68.09	133.2	1	3.94	0.4555	-20.4	140.7
171935	other-flash	14	1	77.91	12.18	2810	320.4	0.1151	0.5146	4	254	26.75	26.75	254	0.7403	-126.6	114.5	1	3.343	2.519	-14.22	17.51
49657	other-flash	7	1	-1433	-224	246	25.27	1.483	0.303	7	227	22.51	22.51	227	2.734	180.8	43.23	1	7.795	4.498	110.8	245.8
275671	crosser-ok	21	0	211.5	-33.05	7410	480.3	0.04465	0.3999	13	226	22.04	22.03	226	0.6698	33.32	0.2701	1	3.492	2.435	-181.3	217.9
236742	other-flash	4	0	-1318	206	281	33.1	1.742	0.749	14	206	20.54	20.54	206	1.116	-22.45	183.5	1	4.023	0.3687	-164.9	34.44
52693	crosser-ok	4	0	-1245	194.6	578	69.04	0.9184	0.5495	24	199	53.68	19.2	187	1.856	-195.5	0.9327	1	9.883	16.59	-174.4	274.4
51934	other-flash	21	1	-637.2	-99.6	4824	236.4	1.19	0.5659	6	202	18.71	18.71	202	0.0609	55.06	44.53	0.9703	3.779	7.35	181.8	351.8
74270	other-flash	8	0	-427	66.74	3137	306.7	0.2873	0.4003	16	204	18.55	18.55	204	1.225	0.1624	66.9	1	4.237	3.317	13.22	485.2
324225	other-flash	9	1	-886.4	-138.5	2065	117.9	0.3801	0.767	7	296	40.39	15.85	121	0.6925	91.55	46.99	1	2.414	10.32	-27.96	13.54
409052	other-flash	21	1	-1024	-160	1740	124.7	0.7761	0.6962	9	442	69.96	13.38	177	1.088	-7.577	167.6	1	1.187	4.137	-180.3	15.49
71466	crosser-ok	3	0	-1156	180.7	823	92.23	0.4199	0.5627	24	125	12.73	12.73	125	2.921	-182	1.26	1	7.225	7.53	144.8	491.1
161043	other-flash	2	0	-507.6	79.34	5473	428.9	0.1875	0.3259	13	1912	201.8	12.19	148	0.5001	-86.08	6.739	1	5.596	2.672	-184.6	188.3
170194	other-flash	3	0	-47.45	7.416	736	78.33	0.2156	0.6722	13	2206	222.8	10.92	111	0.5282	-14.56	7.141	0.9583	2.437	5.18	-143.9	494.5
275429	crosser-ok	14	1	-434.5	-67.91	2766	312.3	0.9954	0.5555	6	104	10.3	10.3	104	0.0575	66.7	1.202	0.9808	4.021	5.645	-192.2	165.9
71092	crosser-ok	9	0	-829.3	129.6	1857	305.5	0.2318	0.6233	12	2420	238.2	4.163	44	0.8574	-130.4	0.8019	1	2.845	10.94	191.8	229.9
