event	cluster	shift	ncl	nstm	base_x	base_y	base_z	base_d_charge	base_d_stm_end	base_d_stm_path	arm_x	arm_y	arm_z	arm_d_charge	arm_d_stm_end	arm_d_stm_path
039349_42	53	15.03	952	217	171.74	294.90	15.85	0.42	60.44	0.16	157.93	299.68	19.36	0.48	45.45	0.63
039349_43	65	267.27	1920	474	320.51	119.34	216.26	0.43	22.93	0.33	97.45	261.45	177.70	0.41	0.19	0.19
039349_43	66	150.53	1111	283	-32.89	182.31	42.28	0.58	27.80	0.04	91.78	255.85	0.92	1.05	0.96	0.52
039349_44	26	71.46	1929	345	-268.01	-312.75	32.12	0.22	45.07	0.08	-211.74	-276.14	56.57	0.67	89.84	4.00
039349_44	53	21.19	633	160	149.51	48.40	270.30	0.38	21.35	0.16	132.82	38.19	262.15	0.18	0.18	0.18
039349_44	66	6.74	1769	418	76.86	111.85	181.52	0.73	31.85	0.23	70.94	109.24	179.61	0.53	25.42	0.50
039349_44	68	12.69	609	119	304.97	178.94	259.81	0.64	18.18	6.47	311.38	189.29	256.26	0.38	27.50	0.57
039349_44	75	582.05	4946	1186	217.85	116.68	195.75	0.37	133.41	0.27	-307.41	-103.72	76.15	0.33	2.38	0.27
039349_45	16	78.37	1568	427	-269.86	-13.97	240.32	0.76	77.72	0.28	-339.86	-45.86	225.34	0.35	0.69	0.69
039349_45	25	41.10	335	73	-44.44	90.10	240.39	0.55	1.09	0.09	-5.93	104.42	239.21	0.23	0.03	0.03
039349_45	52	131.28	3852	604	262.68	-0.78	220.78	0.32	141.34	0.82	285.96	100.00	139.93	0.80	89.23	1.09
039349_47	24	143.10	1524	449	-202.46	-265.25	174.48	0.43	120.92	0.21	-339.80	-243.10	140.93	0.12	0.48	0.48
039349_47	31	94.01	735	164	-271.11	225.44	298.35	0.40	0.64	0.64	-324.34	182.25	234.01	0.33	3.45	0.74
039349_47	57	187.89	831	412	106.61	-308.97	54.88	0.76	23.20	0.12	287.35	-335.10	10.68	0.68	23.14	0.67
039349_47	59	105.73	1114	243	58.35	-186.37	73.06	0.24	39.22	0.32	137.40	-174.75	3.81	0.55	4.45	0.26
039349_48	14	14.32	1358	380	-25.17	-316.90	97.91	0.87	22.17	0.08	-10.95	-317.11	96.22	0.93	7.89	0.58
039349_48	58	15.68	1827	405	229.06	150.91	1.33	0.73	1.08	0.45	216.74	152.04	10.96	0.83	16.66	0.75
039349_48	63	59.78	2165	515	-126.32	-156.30	175.71	0.34	65.94	0.17	-174.85	-172.52	144.79	0.41	6.58	0.20
039349_49	48	64.47	2205	464	-157.24	249.05	63.89	0.45	64.06	0.12	-103.00	242.94	29.58	0.89	0.73	0.73
