sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18255	1	400117	0	20.702	9.537	22	1310584	0	nu-candidate	12	1	1	1	0	1.648	316.4	2	-82.88116	-8.650591	165.3622	5.4589505	-15.0	1.0	0.0	0.7	0.0	1102.8123	0.0	0.0	0.0	0	0.0
mcp2k	18255	1	400185	0	16.901	6.017	18	1156724	0	nu-candidate	10	1	1	1	0	1.402	71.2	23	118.89733	129.62573	25.58001	0.04865993	-15.0	1.0	0.0	0.7	0.0	374.90863	144.73743	0.0	144.73743	2	26.251476
mcp2k	18255	1	400239	0	18.116	6.660	20	1224944	0	nu-candidate	11	1	1	1	0	1.768	183.2	2	-133.41469	-44.28183	330.87628	4.26856	-15.0	1.0	0.0	0.7	0.0	554.5941	0.0	0.0	0.0	0	1.735402
mcp2k	18255	1	400251	0	16.895	5.791	19	1186212	0	nu-candidate	13	1	1	1	0	0.582	23.0	12	-64.840515	123.3064	70.23296	-0.4574168	-15.0	1.0	0.0	0.7	0.0	458.81903	1.2588582	0.0	1.2588582	1	11.66617
mcp2k	18255	1	400273	0	16.964	5.314	19	1160280	0	nu-candidate	9	2	2	1	0	1.064	2.5	1	116.57998	-127.73563	316.19476	-2.2469792	-15.0	1.0	0.0	0.7	0.0	14.014359	0.0	0.0	0.0	0	1.5837696
mcp2k	18255	1	400349	0	18.571	6.977	20	1410816	0	cosmic-tagged	14	1	1	1	0	0.975	17.5	5	0.0	0.0	0.0	-1.9416895	-15.0	1.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0	0.0
mcp2k	18255	1	400427	0	17.059	5.830	19	1196016	0	nu-candidate	8	1	1	1	0	1.834	7.4	17	-57.376877	68.6765	66.92805	-1.560769	-15.0	1.0	0.0	0.7	0.0	164.52544	1.9124345	0.0	1.9124345	2	76.15659
mcp2k	18255	1	400779	0	17.131	6.192	19	1236696	0	nu-candidate	18	1	1	1	0	0.891	88.0	4	99.62635	32.268845	266.68228	0.82359844	-15.0	1.0	0.0	0.7	0.0	507.1482	5.727929	5.727929	0.0	1	4.7529674
mcp2k	18255	1	401109	0	12.324	1.427	14	462676	0	no-bundle	14	0	2	0	0																		
mcp2k	18255	1	401197	0	16.990	5.507	19	1234264	0	nu-candidate	9	1	2	1	0	1.370	11.1	1	74.32097	-186.58685	384.49792	-2.9584296	-15.0	1.0	0.0	0.7	0.0	126.61217	0.0	0.0	0.0	0	0.0
mcp2k	18255	1	401241	0	14.465	4.832	16	1162164	0	nu-candidate	7	1	1	1	0	1.993	18.4	4	56.646687	199.948	371.7143	-1.2805983	-15.0	1.0	1.0	0.7	0.0	80.269646	89.05043	0.0	89.05043	3	15.815994
mcp2k	18255	1	401351	0	12.193	1.293	14	443556	0	no-bundle	14	0	1	0	0																		
mcp2k	18255	1	401395	0	12.217	1.383	14	470648	0	cosmic-tagged	17	1	1	0	0																		
