arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	280466	1	8	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280598	0	15	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280752	0	13	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280774	0	16	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280853	0	11	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	280972	0	7	7172	1288.81103515625	0.0990142673254013	481.5256652832031	1093.612060546875	1107.2	1057.4	483.1	0	0	0	0	1	3	4	33
work-mcp1k-mcs80on	280994	0	18	18001	291.6397399902344	0.38387128710746765	119.77659606933594	292.0062255859375	295.4	319.7	120.7	1	0	0	0	1	0	0	8
work-mcp1k-mcs80on	281214	0	60	15000	186.9230194091797	0.4754060208797455	78.25936889648438	204.45631408691406	206.9	210.0	79.1	1	0	0	0	1	1	1	5
work-mcp1k-mcs80on	281337	0	28	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	281485	0	93	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	281505	0	18	18001	224.62860107421875	0.1500270962715149	98.8844985961914	247.94979858398438	249.0	226.9	98.9	1	0	0	0	1	0	0	7
work-mcp1k-mcs80on	281507	0	8	8001	573.9149169921875	0.8412830829620361	119.75347137451172	291.95745849609375	299.9	275.0	122.8	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	281527	0	14	14002	423.1419982910156	0.6052364110946655	159.4238739013672	375.8420104980469	383.4	361.1	161.8	0	0	0	0	1	0	0	11
work-mcp1k-mcs80on	281595	0	20	20002	536.2290649414062	0.21063785254955292	219.67431640625	506.9679870605469	513.0	473.9	221.0	0	0	0	0	1	2	2	15
work-mcp1k-mcs80on	281639	0	80	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	281727	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	281837	0	63	13002	984.770751953125	0.9062901139259338	120.07766723632812	292.64111328125	295.4	270.3	120.7	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	281953	0	10	10000	217.77914428710938	0.5651658773422241	85.117431640625	218.91831970214844	225.2	196.0	87.7	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	282057	0	19	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	282072	0	7	7004	502.4842224121094	0.1776619255542755	210.30169677734375	486.43572998046875	493.9	465.6	212.3	0	0	0	0	1	0	0	14
work-mcp1k-mcs80on	282204	0	4	4001	199.43190002441406	0.10132801532745361	87.57420349121094	224.0990753173828	226.3	222.9	88.2	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	282217	0	9	9004	878.4946899414062	0.3581424653530121	299.940673828125	682.8045043945312	693.8	684.3	301.3	0	0	0	0	1	0	0	21
work-mcp1k-mcs80on	282231	0	19	19000	-1.0	-1.0	52.033416748046875	148.18673706054688	149.6	132.6	52.4	1	0	0	0	1	3	3	4
work-mcp1k-mcs80on	282385	0	11	11005	1611.675537109375	0.8948245644569397	99.22802734375	248.67420959472656	252.1	231.4	100.3	0	0	0	0	1	0	0	7
work-mcp1k-mcs80on	282459	0	10	10001	378.60833740234375	0.7842971682548523	90.828369140625	230.96133422851562	232.4	203.3	91.0	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	282666	0	10	10001	415.24957275390625	0.5681701302528381	129.56170654296875	312.6789855957031	314.3	367.3	129.6	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	282737	0	21	21018	387.70465087890625	0.08446259051561356	174.49635314941406	407.998291015625	415.6	400.4	176.6	1	0	0	0	1	0	0	12
work-mcp1k-mcs80on	282899	0	7	7014	489.0903015136719	0.7216235399246216	132.55520629882812	319.0107116699219	322.9	437.6	133.6	1	0	0	0	1	0	0	9
work-mcp1k-mcs80on	282979	0	14	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	283009	0	23	23014	821.3892822265625	0.7376465797424316	162.84121704101562	383.0702209472656	387.2	358.3	163.5	0	0	0	0	1	0	0	11
work-mcp1k-mcs80on	283040	0	2	2008	412.2078552246094	0.9148566126823425	68.97566986083984	184.59214782714844	185.3	206.4	69.0	1	0	0	0	1	0	0	5
work-mcp1k-mcs80on	283091	0	24	24014	362.586181640625	0.6142443418502808	121.03376770019531	294.6573181152344	296.1	294.9	121.0	1	0	0	0	1	0	0	8
work-mcp1k-mcs80on	283229	0	6	6001	446.0260925292969	0.23204323649406433	173.10092163085938	404.9413757324219	411.5	414.5	174.7	0	0	0	0	1	0	0	12
