sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	286818	work-d84r3-cens-mcp1k	5002	long_muon_else_pf	1	73	43.4	117.9	0.7077	43.4	129.1	129.5	121.2	3	false	0	0	0	0.0	-1.0	0	0
mcp1k	286906	work-d84r3-cens-mcp1k	9001	long_muon_else_pf	1	213	127.3	554.0	0.6256	127.3	307.9	309.5	293.4	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	287007	work-d84r3-cens-mcp1k	21008	long_muon_else_pf	1	68	40.2	216.3	0.9699	39.5	120.3	122.2	112.7	3	false	0	0	0	0.0	-1.0	0	0
mcp1k	287211	work-d84r3-cens-mcp1k	10001	long_muon_else_pf	1	170	101.7	233.6	0.1472	99.1	248.3	254.9	239.5	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	287249	work-d84r3-cens-mcp1k	14001	long_muon_else_pf	1	233	139.0	348.2	0.1552	138.5	331.5	334.6	331.8	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	287517	work-d84r3-cens-mcp1k	13010	long_muon_else_pf	1	240	143.2	337.4	0.1166	143.2	341.5	343.4	376.1	10	false	0	0	0	0.0	-1.0	0	0
mcp1k	287555	work-d84r3-cens-mcp1k	18004	long_muon_else_pf	1	197	118.0	337.9	0.6215	116.7	285.5	289.5	259.0	8	false	1	1	0	0.0	-1.0	0	0
mcp1k	287621	work-d84r3-cens-mcp1k	6007	long_muon_else_pf	1	93	55.0	657.0	0.933	55.0	154.6	155.2	270.7	4	false	0	0	0	0.0	-1.0	0	0
mcp1k	287825	work-d84r3-cens-mcp1k	5001	long_muon_else_pf	1	205	122.4	250.1	0.2951	121.5	295.5	298.9	299.3	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	288287	work-d84r3-cens-mcp1k	10003	long_muon_else_pf	3	427	254.8	706.5	0.5745	249.2	571.6	588.3	580.1	17	false	0	0	3	254.8	588.3	0	0
