root	plane	slice	t_ns	adv	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
work/039252_16_d42fit/tracking-stm.root	0	1148	1.58927e+06	0.0779851	246.288	0	0	0	21378	1137	0	0
work/039252_16_d42fit/tracking-stm.root	0	1150	1.59411e+06	0.0361673	246.288	0	0	67	13359	3924	0	0
work/039252_16_d42fit/tracking-stm.root	0	1152	1.59727e+06	0.0381243	246.288	0	0	296	11849	5828	0	0
work/039252_16_d42fit/tracking-stm.root	0	1153	1.60005e+06	0.0318495	246.288	0	0	0	8512	6979	0	0
work/039252_16_d42fit/tracking-stm.root	0	1155	1.60394e+06	0.0555109	246.288	0	0	271	8814	11472	0	0
work/039252_16_d42fit/tracking-stm.root	0	1157	1.60685e+06	0.0577488	258.388	0	535	9097	18002	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1159	1.61141e+06	0.0956473	258.388	0	0	5588	15670	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1163	1.61896e+06	0.0224752	273.839	13	2230	20060	0	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1166	1.62588e+06	0.142945	258.388	0	0	468	22839	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1168	1.6289e+06	0.0171021	258.388	0	1	130	23897	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1169	1.63152e+06	0.0200627	258.388	0	243	0	20459	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1170	1.63425e+06	0.220168	258.388	0	0	0	20102	350	0	0
work/039252_16_d42fit/tracking-stm.root	0	1173	1.63876e+06	0.0817995	246.288	0	0	0	0	17098	2933	0
work/039252_16_d42fit/tracking-stm.root	0	1174	1.6415e+06	0.112802	258.388	0	0	0	14436	4720	0	0
work/039252_16_d42fit/tracking-stm.root	0	1178	1.64952e+06	0.144599	273.839	0	0	9382	10673	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1179	1.65237e+06	0.0590241	273.839	0	69	7604	12515	0	0	0
