label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:q3	rms	U	2	417.171	19	733931	1.68272	1.24303	0.983911	2.00001	0.149799	2.25451	0.381502	0	0.634704
phase:q3	rms	U	3	612.973	13	760760	2.05755	1.37229	1.14573	3.45082	0.681539	3.66302	0.181794	0	0.582629
phase:q3	rms	U	4	859.311	12	765332	2.02726	1.47375	1.32146	3.36547	0.558482	3.68409	1.45519e-11	0	0.553426
phase:q3	rms	U	5	1123.71	13	843169	2.66943	2.13832	1.48714	4.76389	3.40018	4.76505	1.41793	0	0.486083
phase:q3	share	U	0	68.878	18	751564	1.72807	0.500136	0.59589	1.8335	0.305758	3.09119	0.225188	0	0.701939
phase:q3	share	U	1	220.621	29	774124	1.68833	0.959732	0.788766	2.06412	0.176972	2.55151	0.336524	0	0.670626
phase:q3	share	U	2	417.171	19	733931	1.68272	1.24303	0.983911	2.41687	0.168568	2.25451	0.381502	0	0.634704
phase:q3	share	U	3	612.973	13	760760	2.05755	1.37229	1.14573	3.19377	0.250391	3.66302	0.181794	0	0.582629
phase:q3	share	U	4	859.311	12	765332	2.02726	1.47375	1.32146	3.69408	0.72444	3.68409	1.45519e-11	0	0.553426
phase:q3	share	U	5	1123.71	13	843169	2.66943	2.13832	1.48714	3.30619	5.31187	4.76505	1.41793	0	0.486083
phase:q3	rms	V	0	58.1344	20	811262	1.78629	1.15931	0.867143	2.24453	0.719068	2.59877	0.504551	0	0.647272
phase:q3	rms	V	1	188.198	25	808395	1.88381	1.23779	0.990378	2.70044	0.771019	2.99744	0.344256	0	0.600173
phase:q3	rms	V	2	325.032	21	767466	1.73917	1.24155	1.10529	2.3151	0.61255	2.70494	1.45519e-11	0	0.635448
phase:q3	rms	V	3	679.101	13	868998	2.09385	1.73827	1.35825	3.15749	0.655392	3.20744	0.753684	0	0.551974
phase:q3	rms	V	4	896.458	16	770151	1.98742	1.73972	1.49244	3.09755	0.767648	3.15058	0.337596	0	0.59768
phase:q3	rms	V	5	1204.07	9	863595	2.32068	1.91372	1.66397	4.47159	0.881309	4.49203	0.423557	0	0.480082
phase:q3	share	V	0	58.1344	20	811262	1.78629	1.15931	0.867143	2.18476	0.639585	2.59877	0.504551	0	0.647272
phase:q3	share	V	1	188.198	25	808395	1.88381	1.23779	0.990378	2.86883	0.661225	2.99744	0.344256	0	0.600173
