label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
length:L<100cm	share	V(joint)	5.69573	1.65757	2.26944	0.0906573	5.15036	0.411483	29.8151	14	7.9135	0.4316	5.69573e-07	2.26944
length:L<100cm	share	W(joint)	5.69573	1.65757	1.23298	0.115353	1.52023	0.284455	29.8151	14	7.9135	0.0575	5.69573e-07	1.23298
length:L>=100cm	rms	U	3.71897	2.7172	2.86105	0.105797	8.18562	0.605381	1.91299	4	7.9135	0.259	3.71897e-07	2.86105
length:L>=100cm	share	U	6.78618	1.51168	2.23467	0.0702869	4.99374	0.314136	1.99454	4	7.9135	0.259	6.78618e-07	2.23467
length:L>=100cm	rms	V	2.05804	2.7772	2.88312	0.113187	8.31236	0.652664	0.761255	4	7.9135	0.4316	2.05804e-07	2.88312
length:L>=100cm	share	V	3.63815	1.50792	2.35152	0.070846	5.52963	0.333191	1.00087	4	7.9135	0.4316	3.63815e-07	2.35152
length:L>=100cm	rms	W	3.48605	1.40245	1.94106	0.0832508	3.76772	0.32319	1.88063	4	7.9135	0.0575	3.48605e-07	1.94106
length:L>=100cm	share	W	4.97855	0.584972	1.14704	0.0503365	1.31571	0.115476	1.35633	4	7.9135	0.0575	4.97855e-07	1.14704
length:L>=100cm	rms	U(joint)	3.28748	1.13701	2.87553	0.0652796	8.26866	0.375427	4.79611	14	7.9135	0.259	3.28748e-07	2.87553
length:L>=100cm	rms	V(joint)	3.28748	1.13701	2.83962	0.0710427	8.06344	0.403469	4.79611	14	7.9135	0.4316	3.28748e-07	2.83962
length:L>=100cm	rms	W(joint)	3.28748	1.13701	1.95139	0.0710229	3.80792	0.277186	4.79611	14	7.9135	0.0575	3.28748e-07	1.95139
length:L>=100cm	share	U(joint)	5.03159	0.513008	2.30354	0.0403257	5.30631	0.185784	6.5611	14	7.9135	0.259	5.03159e-07	2.30354
length:L>=100cm	share	V(joint)	5.03159	0.513008	2.29474	0.0430056	5.26583	0.197373	6.5611	14	7.9135	0.4316	5.03159e-07	2.29474
length:L>=100cm	share	W(joint)	5.03159	0.513008	1.1432	0.0461953	1.3069	0.105621	6.5611	14	7.9135	0.0575	5.03159e-07	1.1432
rr:rr<10cm	rms	U	-2.22794	8.7064	3.56499	0.322731	12.7092	2.30106	4.92255	4	7.9135	0.259	-2.22794e-07	3.56499
rr:rr<10cm	share	U	6.32392	4.50117	2.51054	0.230876	6.30283	1.15925	4.15624	4	7.9135	0.259	6.32392e-07	2.51054
rr:rr<10cm	rms	V	-18.6019	6.81471	4.04075	0.274155	16.3277	2.21559	7.79103	4	7.9135	0.4316	-1.86019e-06	4.04075
rr:rr<10cm	share	V	-3.69791	3.82177	2.91251	0.211393	8.48271	1.23137	4.34704	4	7.9135	0.4316	-3.69791e-07	2.91251
rr:rr<10cm	rms	W	-2.10158	4.69624	2.64536	0.24648	6.99794	1.30406	1.59271	4	7.9135	0.0575	-2.10158e-07	2.64536
rr:rr<10cm	share	W	3.25029	2.22337	1.57173	0.196093	2.47033	0.616411	0.887062	4	7.9135	0.0575	3.25029e-07	1.57173
rr:rr<10cm	rms	U(joint)	-6.55995	3.53405	3.70494	0.1812	13.7266	1.34267	18.5776	14	7.9135	0.259	-6.55995e-07	3.70494
rr:rr<10cm	rms	V(joint)	-6.55995	3.53405	3.567	0.191552	12.7235	1.36653	18.5776	14	7.9135	0.4316	-6.55995e-07	3.567
rr:rr<10cm	rms	W(joint)	-6.55995	3.53405	2.85298	0.181581	8.13948	1.0361	18.5776	14	7.9135	0.0575	-6.55995e-07	2.85298
rr:rr<10cm	share	U(joint)	2.23813	1.76746	2.68683	0.129216	7.21904	0.69436	12.834	14	7.9135	0.259	2.23813e-07	2.68683
rr:rr<10cm	share	V(joint)	2.23813	1.76746	2.59157	0.136348	6.71622	0.70671	12.834	14	7.9135	0.4316	2.23813e-07	2.59157
rr:rr<10cm	share	W(joint)	2.23813	1.76746	1.6518	0.154831	2.72845	0.5115	12.834	14	7.9135	0.0575	2.23813e-07	1.6518
