# doc pdvd/116 movers pdvd: A0=d115voff A1=d115vp3bwp05; truth sources [('pdvd_stm_michel_own103v2_verdicts.json', 24), ('pdvd_stm_michel_own103v_verdicts.json', 40), ('pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json', 610), ('pdvd_stm_michel_smx11_verdicts.json', 204)]
population 550 (Michel population 550); candidates A0 563, A1 543, common 478, A0-only 85, A1-only 65; unlabelled candidates 25

== is_stm
      039349_21/27     truth THRU/none [record]  A0 None  A1 (1, 1)
      039349_23/55     truth THRU/none [new_agent]  A0 (0, 0)  A1 (0, 1)
      039349_37/55     truth THRU/none [new_agent]  A0 None  A1 (1, 1)
      039349_48/59     truth STM_ONLY/None [record]  A0 None  A1 (1, 1)
      039349_57/21     truth THRU/none [record]  A0 (0, 0)  A1 (0, 1)
      039349_70/58     truth THRU/None [record]  A0 (0, 0)  A1 (1, 1)
  fp_gone    3  candidate in: {'both': 2, 'A0 only': 1, 'A1 only': 0}  truth source: {'record': 2, 'owner_review': 1}
      039253_1/101     truth STM_ONLY/None [record]  A0 (0, 1)  A1 (0, 0)
      039349_28/50     truth THRU/None [owner_review]  A0 (0, 1)  A1 None
      039349_29/48     truth STM_ONLY/None [record]  A0 (1, 1)  A1 (1, 0)
