det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_12	116	0	3611	3617	7	3.82	3.79	325.7	110.4	75.9	2.16	2.88	1	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.00	0.00	0.14	3live:t/3live:i	0			
pdvd	039252_12	126	0	4174	4175	2	10.57	11.16	-0.2	287.8	27.5	1.44	1.14	3	GAP-live	0	0.14	0.00	0.14	0.00	0.00	0.00	0.00	0.50	1blank:t/3live:i/3live:t/1dead:i	0			
pdvd	039252_13	35	0	554	556	3	1.78	3.22	-171.8	204.5	1.8	1.56	1.44	3	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/1blank:i/3live:e	0			
pdvd	039252_13	70	0	2447	2451	5	3.08	3.69	188.7	-144.4	107.8	1.42	2.09	2	GAP-short	0	0.86	0.00	0.86	0.00	0.00	0.40	0.00	0.20	3live:i/1dead:t/3live:t	0			
pdvd	039252_13	71	0	2576	2584	9	5.28	5.81	289.5	271.1	2.0	5.85	0.25	2	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	0	2587	2595	9	5.36	6.00	289.5	264.3	2.0	12.54	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	0	2601	2604	4	3.03	3.53	289.5	257.0	2.0	16.18	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	0	2610	2613	4	2.27	2.93	289.6	250.8	2.0	11.23	nan	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdvd	039252_13	71	0	2622	2625	4	2.41	2.98	289.6	243.6	2.0	4.89	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_13	71	0	2633	2636	4	2.52	3.16	289.5	237.1	2.0	1.84	nan	2	GAP-short	0	0.00	0.50	0.50	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_13	71	0	2656	2659	4	2.75	3.45	289.6	222.5	2.1	5.67	nan	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t	0			
pdvd	039252_13	71	0	2688	2737	50	30.66	30.62	289.6	195.8	15.5	16.37	2.91	2	GAP-live	0	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	1blank:i/3live:i/3live:i/1dead:i	0			
pdvd	039252_13	71	0	2746	2773	28	18.68	15.04	289.7	176.3	30.2	8.77	3.91	2	GAP-live	0	0.03	0.00	0.03	0.04	0.00	0.04	0.00	0.00	3live:i/1blank:i/1blank:i/1blank:t	0			
pdvd	039252_13	71	0	3166	3169	4	2.87	3.42	292.2	-33.4	150.3	1.46	1.81	2	D-bridge	1	1.00	0.00	1.00	0.00	0.00	0.75	0.00	0.00	1blank:i/3live:i/1blank:i	0	2.55		
pdvd	039252_13	71	1	4037	4040	4	2.49	2.87	292.3	-33.5	150.4	1.37	1.86	2	D-bridge	1	0.83	0.00	0.83	0.00	0.00	1.00	0.00	0.00	1blank:i/1blank:i	0	2.55		
pdvd	039252_13	71	1	4447	4475	29	17.53	14.82	289.7	177.0	29.7	8.85	3.89	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	3live:i/1blank:i/1blank:i/1blank:t	0			
pdvd	039252_13	71	1	4484	4539	56	33.91	30.49	289.6	195.1	16.3	16.64	3.03	2	GAP-live	0	0.00	0.00	0.00	0.02	0.00	0.04	0.00	0.00	1blank:i/3live:i/3live:i/1dead:i	0			
