det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_11	34	0	521	525	5	2.89	3.42	-181.2	313.0	15.9	0.75	2.27	3	D-3live	1	0.57	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i	0	4.81		
pdhd	028084_11	34	0	527	533	7	5.69	6.07	-180.2	317.3	16.9	0.85	2.22	3	D-3live	1	0.75	1.00	1.00	0.00	0.00	0.00	0.00	0.14	3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0	7.36		
pdhd	028084_11	34	0	541	547	7	4.27	4.51	-178.5	326.5	18.8	0.67	2.75	3	XID	1	0.44	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	551	553	3	1.63	2.23	-177.8	330.8	20.0	0.56	2.02	1	XID	1	0.25	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	555	570	16	10.70	11.06	-176.5	337.2	21.2	0.72	2.95	3	XID	1	0.36	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	588	594	7	4.62	5.40	-173.1	354.8	24.8	0.62	2.97	3	D-3live	1	0.64	1.00	1.00	0.00	0.00	0.00	0.00	0.29	3live:i/3live:i/3live:i/3live:i/3live:i	0	8.54		
pdhd	028084_11	34	0	599	601	3	2.04	2.50	-171.9	359.9	26.1	0.63	2.88	3	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	603	606	4	2.54	3.15	-171.1	362.7	26.6	0.60	2.67	3	XID	1	0.33	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	609	615	7	4.95	5.51	-170.2	367.4	27.7	0.64	2.76	3	XID	1	0.36	1.00	1.00	0.00	0.00	0.00	0.00	0.14	3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	618	619	2	1.68	2.26	-169.3	371.6	28.7	0.54	1.99	3	XID	1	0.20	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	632	638	7	4.44	5.07	-167.1	381.2	31.2	0.74	2.52	3	XID	1	0.40	1.00	1.00	0.00	0.00	0.00	0.00	0.29	3live:i/3live:i/3live:i/3live:i/3live:t	0			
