arm	event	block	npts	ngood	length	has_left	f_low	nbins	k	shape	contrast	qneg	holes
base	029107_19	1060	418	392	274.2265	1	0.0485	8	1.1635	0.1866	0.2058	15	3
base	029107_19	1110	176	175	120.7384	0	0.0229	5	0.9125	0.5057	0.3037	4	1
base	029107_19	1200	239	239	151.4221	0	0.0126	8	0.9066	0.5796	0.7820	3	1
base	029107_2	640	598	588	373.5227	0	0.5986	8	0.3413	0.6047	0.4887	255	32
base	029107_2	1170	10	5	49.6537	0	1.0000	1	nan	nan	nan	9	1
base	029107_20	480	87	86	231.8155	0	0.6512	2	0.1907	0.4587	1.0264	37	4
base	029107_20	570	170	169	105.5342	1	0.0000	8	1.1179	0.0986	1.8163	0	0
base	029107_20	1390	444	444	280.1076	0	0.0023	8	1.0739	0.0897	0.4106	1	0
base	029107_20	1480	217	217	140.6290	0	0.0000	8	1.0213	0.0312	2.0381	0	0
base	029107_20	1510	890	888	571.4640	1	0.1273	8	0.7822	0.4236	2.4883	58	9
base	029107_21	410	166	166	104.1757	0	0.0723	8	1.0036	0.3551	0.6288	7	0
base	029107_21	430	669	669	430.2842	0	0.0837	6	0.6560	0.9392	0.3738	40	3
base	029107_21	470	35	35	22.8406	0	0.0000	6	0.8972	0.3201	3.8862	0	0
base	029107_21	510	116	91	249.3516	0	0.8462	3	0.1143	0.0979	nan	76	9
base	029107_21	530	65	65	40.8800	0	0.0462	7	0.8859	0.3105	0.3322	2	0
base	029107_21	640	90	90	52.6621	0	0.2889	8	0.3495	0.8713	0.5961	21	2
base	029107_21	650	426	426	269.2466	0	0.0164	8	0.8730	0.2303	3.9605	2	0
base	029107_21	710	300	273	197.8706	1	0.0000	8	1.0836	0.0679	1.7373	5	1
base	029107_22	400	304	292	188.7309	1	0.0000	8	1.1408	0.1060	1.9863	1	0
base	029107_22	460	86	86	55.2317	0	0.0116	8	1.1606	0.0859	2.8308	0	0
base	029107_22	1080	115	89	70.4616	1	0.0112	8	0.9968	0.2009	1.3255	5	1
base	029107_22	1230	412	412	265.9056	0	0.0000	8	1.0929	0.0681	2.3720	0	0
base	029107_23	350	161	156	100.5882	0	0.2564	8	0.3457	0.7929	0.6499	33	4
base	029107_23	410	143	143	90.3285	0	0.0070	8	1.1562	0.0501	2.6976	0	0
base	029107_23	550	64	53	39.9850	1	0.0755	7	0.9757	0.2351	1.9005	4	1
base	029107_23	1150	60	60	37.2141	0	0.0333	7	0.9933	0.0652	2.4030	1	0
base	029107_23	1160	165	165	104.4749	0	0.0364	8	0.7873	0.2463	0.5367	5	1
base	029107_23	1280	99	80	62.2120	1	0.0750	8	1.1827	0.1709	1.4552	5	1
base	029107_24	190	131	126	83.4068	1	0.0317	8	1.0394	0.1561	nan	3	0
base	029107_24	330	220	220	140.9040	0	0.0000	8	1.1359	0.0431	2.7249	0	0
base	029107_24	470	63	25	41.3142	1	0.0000	4	1.0271	0.1164	nan	0	0
base	029107_25	270	90	59	57.2640	0	0.9153	3	0.2365	0.3840	nan	70	3
base	029107_25	930	45	41	28.1708	0	0.7073	5	0.1314	0.5154	2.2039	29	2
base	029107_25	1090	155	155	99.1042	0	0.0000	8	1.1195	0.1433	2.4871	0	0
base	029107_25	1100	254	229	162.1936	1	0.0044	8	1.0498	0.0758	0.6946	8	1
base	029107_26	270	218	218	139.7425	0	0.3991	7	0.4836	0.6713	0.3335	61	8
