label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:q2	rms	W	2	938.027	495	9.72405e+06	2.18003	1.37211	1.51558	3.38282	0.395343	5.16685	1.45519e-11	0	0.831176
phase:q2	rms	W	3	1320.83	481	9.7317e+06	2.36881	1.66473	1.63401	4.01284	0.65929	5.50991	1.45519e-11	0	0.802861
phase:q2	rms	W	4	1659.49	482	9.70931e+06	2.34362	1.90665	1.73204	3.92289	0.414046	4.8572	1.45519e-11	0	0.785498
phase:q2	rms	W	5	2048.18	460	9.76094e+06	2.35736	2.10725	1.83813	3.97173	0.386377	4.49536	1.45519e-11	0	0.780732
phase:q2	share	W	0	189.604	453	9.70467e+06	2.58588	0.614605	1.25209	2.95043	0.56327	7.87674	1.45519e-11	0	0.827035
phase:q2	share	W	1	572.613	481	9.72322e+06	2.61773	1.00961	1.39317	2.95559	0.354891	7.77413	1.45519e-11	0	0.826717
phase:q2	share	W	2	938.027	495	9.72405e+06	2.18003	1.37211	1.51558	2.88349	0.238231	5.16685	1.45519e-11	0	0.831176
phase:q2	share	W	3	1320.83	481	9.7317e+06	2.36881	1.66473	1.63401	3.3572	0.280765	5.50991	1.45519e-11	0	0.802861
phase:q2	share	W	4	1659.49	482	9.70931e+06	2.34362	1.90665	1.73204	3.66817	0.314999	4.8572	1.45519e-11	0	0.785498
phase:q2	share	W	5	2048.18	460	9.76094e+06	2.35736	2.10725	1.83813	3.75655	0.239713	4.49536	1.45519e-11	0	0.780732
phase:q3	rms	U	0	246.467	532	1.53528e+07	3.60335	0.645015	2.35163	9.30404	1.77339	18.0982	1.45519e-11	0	0.783422
phase:q3	rms	U	1	637.459	491	1.53655e+07	3.33191	1.15355	2.43128	7.90212	1.09495	15.6821	1.45519e-11	0	0.796825
phase:q3	rms	U	2	961.974	465	1.53083e+07	3.15136	1.40063	2.49547	7.08091	0.543965	14.1966	1.45519e-11	0	0.797027
phase:q3	rms	U	3	1283.71	520	1.53408e+07	3.71774	1.6699	2.55751	9.96093	1.45148	17.5739	1.45519e-11	0	0.762176
phase:q3	rms	U	4	1585.44	531	1.54227e+07	3.43439	1.9621	2.61435	8.40658	0.995658	14.7801	1.45519e-11	0	0.791166
phase:q3	rms	U	5	1978.59	581	1.54006e+07	3.85812	2.16152	2.68662	10.8241	2.23088	17.4309	1.45519e-11	0	0.77927
phase:q3	share	U	0	246.467	532	1.53528e+07	3.60335	0.645015	2.35163	8.33961	0.998221	18.0982	1.45519e-11	0	0.783422
phase:q3	share	U	1	637.459	491	1.53655e+07	3.33191	1.15355	2.43128	7.79266	0.874195	15.6821	1.45519e-11	0	0.796825
phase:q3	share	U	2	961.974	465	1.53083e+07	3.15136	1.40063	2.49547	7.78459	0.568194	14.1966	1.45519e-11	0	0.797027
phase:q3	share	U	3	1283.71	520	1.53408e+07	3.71774	1.6699	2.55751	9.25719	0.953178	17.5739	1.45519e-11	0	0.762176
phase:q3	share	U	4	1585.44	531	1.54227e+07	3.43439	1.9621	2.61435	8.02075	0.743672	14.7801	1.45519e-11	0	0.791166
phase:q3	share	U	5	1978.59	581	1.54006e+07	3.85812	2.16152	2.68662	8.51389	1.02108	17.4309	1.45519e-11	0	0.77927
phase:q3	rms	V	0	269.269	393	1.13096e+07	3.13923	0.724852	2.36025	7.02867	0.639312	14.9001	1.45519e-11	0	0.786423
phase:q3	rms	V	1	647.781	373	1.13138e+07	3.58029	1.37801	2.43713	9.17656	2.09828	16.8592	1.45519e-11	0	0.752818
phase:q3	rms	V	2	975.503	320	1.14668e+07	3.31985	1.76876	2.50179	7.84461	1.88683	14.1518	1.45519e-11	0	0.795555
phase:q3	rms	V	3	1253.85	310	1.13748e+07	3.71381	1.73419	2.55542	9.93768	1.35085	17.3152	1.45519e-11	0	0.769619
phase:q3	rms	V	4	1576.63	342	1.13746e+07	4.03662	2.31012	2.61623	12.0156	1.93888	17.8023	1.45519e-11	0	0.73691
phase:q3	rms	V	5	2015.2	397	1.13725e+07	3.53849	2.51389	2.69667	8.94954	1.3408	13.4733	1.45519e-11	0	0.773732
phase:q3	share	V	0	269.269	393	1.13096e+07	3.13923	0.724852	2.36025	8.21512	0.681249	14.9001	1.45519e-11	0	0.786423
phase:q3	share	V	1	647.781	373	1.13138e+07	3.58029	1.37801	2.43713	9.68294	1.74241	16.8592	1.45519e-11	0	0.752818
phase:q3	share	V	2	975.503	320	1.14668e+07	3.31985	1.76876	2.50179	7.84351	1.02806	14.1518	1.45519e-11	0	0.795555
phase:q3	share	V	3	1253.85	310	1.13748e+07	3.71381	1.73419	2.55542	8.92829	0.86015	17.3152	1.45519e-11	0	0.769619
phase:q3	share	V	4	1576.63	342	1.13746e+07	4.03662	2.31012	2.61623	10.4398	1.2752	17.8023	1.45519e-11	0	0.73691
phase:q3	share	V	5	2015.2	397	1.13725e+07	3.53849	2.51389	2.69667	8.75004	0.908218	13.4733	1.45519e-11	0	0.773732
phase:q3	rms	W	0	247.788	501	9.8682e+06	2.10741	0.627792	1.27453	3.16586	0.808085	5.67147	1.45519e-11	0	0.865575
phase:q3	rms	W	1	635.723	506	9.88137e+06	1.99648	0.976681	1.41507	2.85892	0.306825	5.03444	1.45519e-11	0	0.856584
phase:q3	rms	W	2	981.298	515	9.90084e+06	2.30768	1.36255	1.52943	3.79781	0.527546	5.80801	1.45519e-11	0	0.826511
phase:q3	rms	W	3	1355.19	499	9.87804e+06	2.18325	1.69591	1.64422	3.39275	0.252848	4.59395	1.45519e-11	0	0.805181
phase:q3	rms	W	4	1720.3	497	9.87883e+06	2.48831	1.91204	1.74907	4.46598	1.13301	5.595	1.45519e-11	0	0.784396
