sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand
mcp2k	395209	UNHELD	0	5	13373.0	0.0002	1.7	0.12	13.3	3.0	-171.8	173.7	103.4	-1	OWN	0	0	0.0	9950	59757343.6
mcp2k	395209	NEARBY	-1	14	73423.6	0.0012	335.1	0.33	60.8	nan	-210.3	157.7	192.4	3	COMPANION	14	0	0.2	9950	59757343.6
mcp2k	395277	NEARBY	-1	14	81792.0	0.0172	0.7	0.35	22.2	nan	-159.8	186.2	114.9	81	COMPANION	14	5	1.1	781	4751588.3
mcp2k	395298	NEARBY	-1	14	70331.0	0.0064	1.5	0.4	184.5	nan	201.8	-58.3	333.2	11	UNMATCHED	14	1000000	0.5	1641	10930327.9
mcp2k	395298	NEARBY	-1	1	1824.0	0.0002	0.0	0.0	186.6	nan	201.2	-58.7	334.5	57	UNMATCHED	1	1000000	1.6	1641	10930327.9
mcp2k	395695	NEARBY	-1	20	81129.6	0.004	1.9	0.71	96.0	nan	201.8	-98.0	136.7	8	UNMATCHED	20	1000000	0.3	2816	20084371.7
mcp2k	395837	NEARBY	-1	7	116911.0	0.0121	0.6	0.25	0.7	nan	-201.7	135.7	419.7	5	COMPANION	7	4	0.4	1129	9635204.5
mcp2k	395837	NEARBY	-1	36	1370004.0	0.1422	2.7	0.68	3.7	nan	-201.7	138.3	424.9	8	OTHER	36	2	4.1	1129	9635204.5
mcp2k	395837	NEARBY	-1	2835	41428587.1	4.2997	149.0	1.44	3.3	nan	-142.0	48.6	415.0	9	OTHER	2835	2	0.2	1129	9635204.5
mcp2k	395837	NEARBY	-1	20	90788.5	0.0094	1.1	0.46	216.7	nan	0.9	123.3	341.9	10	COMPANION	20	4	4.5	1129	9635204.5
mcp2k	395837	NEARBY	-1	14	145575.9	0.0151	0.8	0.39	15.7	nan	-193.7	121.7	423.4	41	OTHER	14	2	3.2	1129	9635204.5
mcp2k	395870	NEARBY	-1	2	3487.3	0.0001	0.0	0.0	359.8	nan	-0.7	183.0	9.4	23	UNMATCHED	2	1000002	0.3	3856	33857556.1
mcp2k	396037	NEARBY	-1	10	122522.4	0.0195	0.5	0.29	22.0	nan	-162.3	132.7	500.7	3	COMPANION	10	6	0.2	631	6268153.5
mcp2k	396037	NEARBY	-1	6	44207.1	0.0071	0.5	0.17	18.6	nan	-164.8	131.4	496.6	64	COMPANION	6	6	1.5	631	6268153.5
mcp2k	396057	NEARBY	-1	5	12488.7	0.0022	0.5	0.15	104.7	nan	44.7	153.7	339.4	37	UNMATCHED	5	1000006	0.9	590	5684701.3
mcp2k	396091	NEARBY	-1	2281	16200118.7	0.4413	143.5	0.98	78.5	nan	159.6	-96.7	169.0	6	UNMATCHED	2281	1000000	3.6	2378	36710716.7
mcp2k	396222	UNHELD	0	9	84510.4	0.0005	1.3	0.29	20.7	3.1	114.8	-180.1	324.7	-1	OWN	0	0	0.0	17631	165961318.9
mcp2k	396222	UNHELD	2	17	98991.0	0.0006	2.1	0.77	27.3	3.0	120.8	-166.2	342.2	-1	OWN	0	0	0.0	17631	165961318.9
mcp2k	396222	UNHELD	3	34	582384.7	0.0035	4.1	0.45	19.2	3.1	118.8	-184.6	319.4	-1	OWN	0	0	0.0	17631	165961318.9
mcp2k	396222	UNHELD	4	100	496115.5	0.003	3.3	0.98	35.6	3.0	127.9	-145.1	344.1	-1	OWN	0	0	0.0	17631	165961318.9
mcp2k	396222	NEARBY	-1	1	1593.0	0.0	0.0	0.0	68.2	nan	136.5	-162.5	379.2	92	UNMATCHED	1	1000000	3.5	17631	165961318.9
mcp2k	396222	NEARBY	-1	8	47008.0	0.0003	0.7	0.17	51.2	nan	135.8	-144.0	357.8	94	UNMATCHED	8	1000000	0.8	17631	165961318.9
mcp2k	396222	NEARBY	-1	62	410583.0	0.0025	4.9	0.47	24.5	nan	126.0	-151.8	335.9	120	UNMATCHED	62	1000000	0.9	17631	165961318.9
mcp2k	396222	NEARBY	-1	18	153847.4	0.0009	1.2	0.47	41.1	nan	101.5	-150.2	346.4	121	UNMATCHED	18	1000000	2.3	17631	165961318.9
mcp2k	396222	NEARBY	-1	24	251409.1	0.0015	1.3	0.51	93.6	nan	53.1	-135.8	371.5	122	UNMATCHED	24	1000000	1.2	17631	165961318.9
mcp2k	396222	NEARBY	-1	22	74690.0	0.0005	1.7	0.42	23.6	nan	126.0	-169.1	335.9	124	UNMATCHED	22	1000000	1.2	17631	165961318.9
mcp2k	396222	NEARBY	-1	35	218326.3	0.0013	1.5	0.75	20.0	nan	116.6	-170.9	333.0	127	UNMATCHED	35	1000000	3.0	17631	165961318.9
mcp2k	396355	NEARBY	-1	3	5730.0	0.0005	0.6	0.13	38.2	nan	-147.9	-146.8	500.7	7	COMPANION	3	4	0.4	1501	10906567.6
