direction	kind	run	subrun	event	idx	cls	Edep	vx	vy	vz	klass	d_other	d_main	d_main_candidate	d_any_vertex	route_own	route_other	flav	cut	stage	score_own	score_other	dEnu	tagger_changed
LOST	sel_numu0.9	719	4	40	0	numuCC	593.1	-164.5	-122.4	161.2		199.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	4.060	nan		
LOST	sel_numu0.9	719	43	26	1	numuCC	310.9	-189.7	-174.1	220.6		0.3				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.432	0.005	-149.3	numu_1_score,numu_score
LOST	sel_numu0.9	719	44	4	0	numuCC	635.8	-62.3	-61.1	261.5		5.8				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	3.043	nan		
LOST	sel_numu0.9	719	45	42	1	numuCC	236.7	-54.3	-124.2	415.8		7.7				dl-veto-protected/nodl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.802	nan		
LOST	sel_numu0.9	719	5	38	0	numuCC	328.9	70.5	-9.3	44.9		1.5				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.528	-0.219	31.8	numu_1_score,numu_score
LOST	sel_numu0.9	719	74	16	1	numuCC	948.7	-175.7	-71.6	444.1		10.0				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	not matched (< 5 cm)	2.805	nan		
LOST	sel_numu0.9	719	8	46	1	numuCC	885.2	-140.7	-180.1	124.4		5.5				dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl	numu	0.9	not matched (< 5 cm)	2.597	nan		
LOST	sel_numu0.9	720	45	32	1	numuCC	1185.4	107.9	-121.4	359.5		0.9				dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl	numu	0.9	score below cut	3.855	0.386	-331.3	cosmict_2_filled,cosmict_4_filled,numu_1_score,numu_score
LOST	sel_numu0.9	720	5	32	0	numuCC	680.8	70.4	47.8	124.8		1.4				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	1.248	0.236	197.6	br3_3_score,br3_5_score,br3_6_score,lol_1_score,lol_2_score,nue_score,numu_1_score,numu_3_score,numu_score,pio_2_score,sig_2_score,tro_1_score,tro_4_score,tro_5_score
LOST	sel_numu0.9	720	64	28	0	numuCC	1149.0	-115.8	-74.3	434.2		0.6				dl-dual-snap-accept/dl	dl-dual-snap-accept/dl	numu	0.9	score below cut	0.911	0.735	-28.4	cosmict_2_filled,cosmict_4_filled,numu_1_score,numu_3_score,numu_score
LOST	sel_numu0.9	720	66	23	0	numuCC	230.5	75.0	75.1	105.4		2.3				dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl	numu	0.9	score below cut	2.409	-0.534	-112.7	cosmict_8_filled,cosmict_flag,cosmict_flag_2,numu_1_score,numu_score
GAINED	sel_numu0.9	712	12	38	0	numuCC	537.5	-8.5	-162.3	365.3		1.6				dl-dual-snap-accept/dl	dl-dual-snap-reject-accept/dl	numu	0.9	score below cut	2.002	0.514	156.8	cosmict_2_filled,cosmict_4_filled,numu_1_score,numu_score
