run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
717	88	21	work-r3cv-d116p3bw/f079/pr_evt21	1	23	35	577	2617.9	0.3539	0.40519	0.11438	0	0.42643	0.034662	4.9658	13	0.40594	9268	0.14558	0.2461	0.02253	0.0069324	0.26069	0	0	577	0.048527	0.019064	0.27242	0	0	577	0.026882	0.016129	0.22169	0	0.032929	558
717	88	28	work-r3cv-d116p3bw/f079/pr_evt28	1	18	5	217	753.04	0.14831	0.44463	0.013825	0	0.14299	0.018433	0	0	0.92205	1578	0.0092166	0.064516	0	0	0.26893	0	0	217	0.018519	0.018519	0.26834	0	0.0046083	216	0	0	0.22586	0	0	217
717	88	29	work-r3cv-d116p3bw/f079/pr_evt29	0																																		
717	88	33	work-r3cv-d116p3bw/f079/pr_evt33	1	8	1	20	31.432	0.017996	0.017996	0	0	0.072016	0	0	0	1	101	0	0	0	0	0.24795	0	0	20	0	0	0.2545	0	0	20	0	0	0.22096	0	0	20
717	88	38	work-r3cv-d116p3bw/f079/pr_evt38	1	21	9	355	2013.2	0.41192	0.52438	0.030986	0.030986	0.114	0.04507	1.4901	3	0.94643	2178	0.067606	0.078873	0.025352	0.025352	0.26076	0.011268	0	355	0.025352	0.022535	0.26246	0.014085	0	355	0.045082	0.040984	0.21425	0.016393	0.31268	244
717	88	45	work-r3cv-d116p3bw/f079/pr_evt45	0																																		
717	88	46	work-r3cv-d116p3bw/f079/pr_evt46	0																																		
717	88	47	work-r3cv-d116p3bw/f079/pr_evt47	1	13	3	204	403.34	0.051846	0.34722	0.014706	0	0.11005	0.014706	0	0	0.9964	1029	0	0.034314	0.004902	0.004902	0.2434	0	0	204	0	0	0.25932	0	0	204	0.014706	0.014706	0.2518	0	0	204
715	47	10	work-r3cv-d116p3bw/f080/pr_evt10	0																																		
715	47	11	work-r3cv-d116p3bw/f080/pr_evt11	0																																		
715	47	17	work-r3cv-d116p3bw/f080/pr_evt17	0																																		
715	47	19	work-r3cv-d116p3bw/f080/pr_evt19	1	23	32	876	4649.3	0.20372	0.25611	0.031963	0.010274	0.11922	0.015982	0.21509	1	0.84337	5024	0.019406	0.11416	0.01484	0.013699	0.24773	0	0	876	0.008	0.0034286	0.25766	0	0.0011416	875	0.0022936	0	0.23787	0	0.0045662	872
715	47	2	work-r3cv-d116p3bw/f080/pr_evt2	1	9	1	15	13.928	0	0	0	0	0.070463	0	0	0	1	94	0	0	0	0	0.30092	0	0	15	0	0	0.23108	0	0	15	0	0	0.23691	0	0	15
715	47	21	work-r3cv-d116p3bw/f080/pr_evt21	1	6	44	1250	5120.6	0.31941	0.49293	0.1288	0.0016	0.47378	0.0232	5.0776	26	0.38684	25357	0.1352	0.2736	0.023501	0.0089141	0.25679	0	0.0128	1234	0.033735	0.014458	0.27334	0	0.004	1245	0.017642	0.0064154	0.25417	0	0.0024	1247
715	47	23	work-r3cv-d116p3bw/f080/pr_evt23	1	16	17	452	2981.6	0.093262	0.12171	0.015487	0	0.09646	0.024336	0.67079	2	0.9746	2445	0.026549	0.079646	0.0022124	0.0022124	0.22836	0.015487	0	452	0.0088692	0.0088692	0.26176	0.015521	0.0022124	451	0.0044346	0	0.22949	0.015521	0.0022124	451
715	47	24	work-r3cv-d116p3bw/f080/pr_evt24	0																																		
715	47	26	work-r3cv-d116p3bw/f080/pr_evt26	0																																		
715	47	27	work-r3cv-d116p3bw/f080/pr_evt27	1	21	24	256	2272.2	0.42073	0.15281	0.054688	0.0039062	0.13248	0.0625	0.8802	2	0.85005	1202	0.0625	0.28125	0.027344	0.023438	0.24093	0	0	256	0.066406	0.054688	0.28692	0	0	256	0.030043	0.021459	0.21792	0	0.089844	233
715	47	29	work-r3cv-d116p3bw/f080/pr_evt29	1	78	35	440	2694.8	0.14956	0.11396	0.0022727	0	0.080381	0.0068182	1.8554	5	0.99988	2120	0.068182	0.15227	0.0022727	0.0022727	0.28669	0.0045455	0	440	0.0046189	0.0023095	0.23684	0.0046189	0.015909	433	0.0045455	0.0022727	0.1894	0.0045455	0	440
715	47	32	work-r3cv-d116p3bw/f080/pr_evt32	0																																		
715	47	33	work-r3cv-d116p3bw/f080/pr_evt33	0																																		
715	47	41	work-r3cv-d116p3bw/f080/pr_evt41	1	28	4	300	957.9	0.027335	0.030468	0.0033333	0	0.080877	0	0	0	0.95319	1843	0.016667	0.05	0	0	0.23606	0	0	300	0	0	0.24027	0	0.01	297	0.0033333	0	0.25003	0	0	300
715	47	46	work-r3cv-d116p3bw/f080/pr_evt46	1	19	25	494	2737.7	0.30748	0.37003	0.0060729	0	0.090314	0.010121	0.73054	2	0.99568	2457	0.026316	0.11336	0.0020325	0.0020325	0.23284	0	0.0040486	492	0.0040486	0.0040486	0.24277	0.0020243	0	494	0.0041152	0.0041152	0.23096	0.0041152	0.016194	486
715	47	9	work-r3cv-d116p3bw/f080/pr_evt9	1	5	4	118	408.68	0.024793	0.010631	0	0	0.067304	0	0	0	1	525	0.016949	0.059322	0	0	0.25358	0	0	118	0	0	0.24947	0	0	118	0	0	0.22227	0	0	118
720	38	12	work-r3cv-d116p3bw/f081/pr_evt12	0																																		
