run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
713	57	29	work-r3cv-d116cs/f142/pr_evt29	1	10	7	118	958.83	0.17137	0.32272	0.033898	0	0.093945	0.016949	2.0859	2	1	649	0.076271	0.10169	0	0	0.25381	0	0	118	0.016949	0.016949	0.2795	0	0	118	0	0	0.18877	0	0	118
713	57	3	work-r3cv-d116cs/f142/pr_evt3	1	12	5	63	264.57	0.057247	0.14875	0	0	0.096387	0	3.7797	1	0.97419	360	0.12698	0.14286	0	0	0.22704	0	0	63	0	0	0.29971	0	0	63	0	0	0.13788	0	0	63
713	57	32	work-r3cv-d116cs/f142/pr_evt32	1	4	5	269	731.05	0.20355	0.1771	0.040892	0	0.22511	0	1.3679	1	0.61071	3100	0.018587	0.04461	0.0074349	0	0.22361	0	0	269	0.0090909	0	0.26233	0	0.18216	220	0.0074349	0	0.25264	0	0	269
713	57	34	work-r3cv-d116cs/f142/pr_evt34	0																																		
713	57	46	work-r3cv-d116cs/f142/pr_evt46	0																																		
713	57	50	work-r3cv-d116cs/f142/pr_evt50	0																																		
713	8	10	work-r3cv-d116cs/f143/pr_evt10	1	2	1	143	175.29	0.047682	0.047682	0.020979	0	0.31774	0.006993	0	0	0.62426	1095	0	0	0.006993	0.006993	0.26659	0	0	143	0	0	0.23644	0	0	143	0	0	0.24464	0	0	143
713	8	12	work-r3cv-d116cs/f143/pr_evt12	1	12	2	380	873.63	0.64372	0.33607	0	0	0.10632	0.0026316	0	0	0.9806	2014	0.0052632	0.018421	0	0	0.25694	0	0.0052632	378	0	0	0.25831	0	0	380	0.0080214	0.0026738	0.25951	0	0.015789	374
713	8	18	work-r3cv-d116cs/f143/pr_evt18	1	2	1	15	14.524	0.099119	0.099119	0	0	0.21168	0	0	0	0.833	150	0	0	0	0	0.27079	0	0	15	0	0	0.20999	0	0	15	0	0	0.22026	0	0	15
713	8	19	work-r3cv-d116cs/f143/pr_evt19	1	9	13	216	993.61	0.21692	0.10004	0.0046296	0	0.11302	0	1.0064	1	0.99332	1067	0.041667	0.1713	0.0046296	0	0.22859	0	0	216	0.0046296	0	0.26266	0	0	216	0.0046296	0	0.22503	0	0	216
713	8	26	work-r3cv-d116cs/f143/pr_evt26	1	13	20	271	1566.9	0.16679	0.17355	0.03321	0	0.21846	0.02952	0.63821	1	0.95705	1576	0.04797	0.23985	0.02214	0.01845	0.25979	0	0	271	0.01476	0.01107	0.23777	0.0073801	0	271	0	0	0.23535	0.0074906	0.01476	267
713	8	29	work-r3cv-d116cs/f143/pr_evt29	1	14	40	850	3334.5	0.34742	0.38201	0.08	0.0023529	0.3796	0.024706	2.699	9	0.46794	13257	0.065882	0.25765	0.016888	0.0084439	0.25632	0	0.024706	829	0.021176	0.010588	0.27137	0	0	850	0.020311	0.0059737	0.26319	0	0.015294	837
713	8	31	work-r3cv-d116cs/f143/pr_evt31	0																																		
713	8	32	work-r3cv-d116cs/f143/pr_evt32	1	20	20	492	2625.2	0.48868	0.13647	0.0081301	0	0.14215	0.01626	0.38093	1	0.65667	4103	0.02439	0.10163	0.010163	0.0020325	0.21152	0.004065	0	492	0.0040984	0.0040984	0.26212	0.0081967	0.0081301	488	0.0061475	0.0020492	0.22994	0.0040984	0.0081301	488
713	8	33	work-r3cv-d116cs/f143/pr_evt33	1	16	9	437	1714.1	0.1122	0.044731	0.011442	0	0.11867	0	0	0	0.68003	3691	0.011442	0.045767	0	0	0.24291	0	0.0091533	433	0	0	0.25673	0	0	437	0	0	0.19669	0	0.0045767	435
713	8	39	work-r3cv-d116cs/f143/pr_evt39	1	33	29	659	2989.7	0.33371	0.34199	0.030349	0	0.19028	0.018209	0.66896	2	0.92767	4376	0.034901	0.1654	0.015198	0.0030395	0.23171	0	0.0015175	658	0.031397	0.018838	0.24736	0	0.033384	637	0.007728	0	0.24591	0	0.018209	647
713	8	41	work-r3cv-d116cs/f143/pr_evt41	1	16	14	590	2810	0.010856	0.090637	0	0	0.15706	0.0016949	0.35588	1	0.61208	5838	0.011864	0.067797	0.0033898	0.0016949	0.23743	0	0	590	0.0016949	0.0016949	0.24528	0	0	590	0	0	0.23155	0	0.0050847	587
713	8	9	work-r3cv-d116cs/f143/pr_evt9	1	14	2	580	1333.6	0.016858	0.0084289	0.0051724	0	0.10886	0	0	0	0.98508	3990	0	0.0051724	0	0	0.26117	0	0	580	0	0	0.25402	0	0.0017241	579	0	0	0.25855	0	0.0086207	575
717	99	11	work-r3cv-d116cs/f144/pr_evt11	0																																		
717	99	12	work-r3cv-d116cs/f144/pr_evt12	0																																		
717	99	14	work-r3cv-d116cs/f144/pr_evt14	0																																		
717	99	15	work-r3cv-d116cs/f144/pr_evt15	0																																		
717	99	16	work-r3cv-d116cs/f144/pr_evt16	0																																		
