run	subrun	event	dir	has	main_cid	n_union	rows	len_cm	uncov	uncov_union	P1	P1_2	ridge_med	P2	P3	holes	P4	img_pts	qneg	wig1	R2D_U	R2Dpm1_U	med_d_U	noslice_U	dead_U	nlive_U	R2D_V	R2Dpm1_V	med_d_V	noslice_V	dead_V	nlive_V	R2D_W	R2Dpm1_W	med_d_W	noslice_W	dead_W	nlive_W
297	38	12059	work-r3nue-d115pr/f209/pr_evt12059	1	86	50	837	4116	0.32669	0.36785	0.10394	0.0083632	0.40855	0.078853	0.97183	4	0.62559	8655	0.040621	0.27001	0.045509	0.032335	0.26792	0	0.0023895	835	0.077576	0.047273	0.2744	0	0.014337	825	0.0087719	0.0050125	0.25024	0	0.046595	798
297	38	3717	work-r3nue-d115pr/f209/pr_evt3717	1	24	27	540	3244.4	0.15365	0.23709	0.12037	0.081481	0.1464	0.085185	1.8494	6	0.93061	2292	0.059259	0.10926	0.042593	0.02037	0.26147	0	0	540	0.074627	0.05597	0.27831	0	0.0074074	536	0.046904	0.020638	0.23669	0	0.012963	533
297	38	387	work-r3nue-d115pr/f209/pr_evt387	1	13	34	992	3102	0.25645	0.53908	0.17641	0.0080645	0.47543	0.084677	4.5132	14	0.38421	17159	0.10988	0.25202	0.053427	0.029234	0.27492	0	0	992	0.074872	0.051282	0.275	0	0.017137	975	0.025381	0.013198	0.24094	0	0.0070565	985
297	38	485	work-r3nue-d115pr/f209/pr_evt485	1	87	65	996	4364.3	0.84814	0.43883	0.13153	0	0.42243	0.049197	3.6661	16	0.4597	13303	0.13052	0.25301	0.051205	0.0251	0.27202	0.001004	0	996	0.047228	0.020534	0.2655	0.0010267	0.022088	974	0.037336	0.0080727	0.25391	0.0010091	0.0050201	991
297	38	5792	work-r3nue-d115pr/f209/pr_evt5792	1	31	20	104	851.77	0.14733	0.24216	0	0	0.13371	0.038462	1.174	1	0.99842	368	0.125	0.34615	0.038462	0.038462	0.25947	0	0	104	0.0096154	0.0096154	0.25422	0	0	104	0	0	0.0784	0	0.0096154	103
297	38	7266	work-r3nue-d115pr/f209/pr_evt7266	1	83	26	656	2828.8	0.16858	0.36287	0.12652	0.0060976	0.44543	0.042683	3.8886	11	0.68637	6236	0.10823	0.29421	0.044207	0.012195	0.27298	0.007622	0	656	0.024502	0.013783	0.26724	0.0015314	0.0045732	653	0.033537	0.012195	0.24332	0.01372	0	656
297	38	8023	work-r3nue-d115pr/f209/pr_evt8023	1	12	13	358	2225.5	0.20794	0.38345	0.13128	0.013966	0.29323	0.02514	0.89866	2	0.57923	3731	0.050279	0.22067	0.016949	0.0084746	0.23547	0	0.011173	354	0.03352	0.01676	0.25509	0	0	358	0	0	0.23121	0	0.0055866	356
297	38	9991	work-r3nue-d115pr/f209/pr_evt9991	0																																		
295	9	11595	work-r3nue-d115pr/f210/pr_evt11595	1	8	15	476	1372.5	0.51174	0.57965	0.17227	0.0063025	0.5153	0.063025	5.8287	8	0.49415	4602	0.15336	0.2479	0.052521	0.037815	0.28777	0	0	476	0.035714	0.018908	0.27482	0	0	476	0.023305	0.0084746	0.25461	0	0.0084034	472
295	9	12208	work-r3nue-d115pr/f210/pr_evt12208	1	2	41	798	3679.5	0.27367	0.35411	0.12406	0.0012531	0.41343	0.042607	3.8048	14	0.38043	12513	0.13283	0.24812	0.038847	0.011278	0.26118	0	0	798	0.050633	0.027848	0.26053	0	0.010025	790	0.016352	0.0062893	0.22854	0	0.0037594	795
295	9	163	work-r3nue-d115pr/f210/pr_evt163	1	23	33	496	2240.5	0.35055	0.2967	0.070565	0.0060484	0.31117	0.03629	1.339	3	0.75717	3685	0.070565	0.28024	0.044355	0.024194	0.24838	0.0020161	0	496	0.018277	0.0078329	0.26824	0.002611	0.22782	383	0.022222	0.0060606	0.27818	0.0020202	0.0020161	495
295	9	5740	work-r3nue-d115pr/f210/pr_evt5740	1	10	38	648	2539.9	0.24164	0.46318	0.12037	0.0030864	0.41763	0.026235	3.5435	9	0.69787	6403	0.10185	0.30556	0.026235	0.012346	0.25266	0	0	648	0.026235	0.010802	0.26104	0	0	648	0.016975	0.0030864	0.25512	0	0	648
293	6	100	work-r3nue-d115pr/f211/pr_evt100	1	58	18	355	1264.6	0.20407	0.38576	0.2	0.025352	0.45479	0.092958	0.79074	1	0.83427	2760	0.016901	0.27042	0.061972	0.042254	0.2543	0	0	355	0.050704	0.030986	0.30599	0	0	355	0.028169	0.019718	0.28955	0	0	355
